entity_token,frequency,entity_class
end stage renal disease,3,CONDITION
neural feedback,3,OTHER
neurodevelopment therapy,3,OTHER
cervical mobilization,3,PHYSICAL
aut00206,3,DRUG
iti,3,OTHER
pompe disease,3,CONDITION
orthotic garment,3,OTHER
frontotemporal dementia,3,CONDITION
oral motor exercises,3,PHYSICAL
breathing exercises,3,PHYSICAL
partial onset seizures,3,CONDITION
aphasic,3,CONDITION
severe dementia,3,CONDITION
fibromyalgia syndrome,3,CONDITION
schizoaffective disorder,3,CONDITION
actimmune,3,DRUG
chronic fatigue,3,CONDITION
spinraza,3,DRUG
nusinersen,3,DRUG
medulloblastoma,3,CONDITION
pda-002,3,SURGICAL
severe post-stroke hemiparesis,3,CONDITION
tes,3,OTHER
anorexia nervosa,3,CONDITION
f-pst,3,BEHAVIOURAL
imovax polio,3,DRUG
obese,3,CONDITION
tolerogenic fibroblasts,3,SURGICAL
e2814,3,DRUG
tacs,3,OTHER
dementias,3,CONDITION
dystonia,3,CONDITION
spastic,3,CONDITION
golytely,3,DRUG
bcaa,3,DRUG
status epilepticus,3,CONDITION
thc,3,DRUG
rcmp,3,OTHER
ttm,3,OTHER
ich,3,CONDITION
bradykinesia,3,CONDITION
bf2.649,3,DRUG
pitolisant,3,DRUG
eds,3,CONDITION
sleep wake disorders,3,CONDITION
mnd,3,CONDITION
minor head trauma,3,CONDITION
speech-language therapy,3,OTHER
non-invasive brain stimulation,3,OTHER
gait training,3,PHYSICAL
clozapine,3,DRUG
hepatectomy,3,CONDITION
paravertebral block,3,OTHER
dysmenorrhea,3,CONDITION
cpp,3,CONDITION
spirit,3,BEHAVIOURAL
tep,3,BEHAVIOURAL
moderate to severe dementia,3,CONDITION
sevoflurane,3,DRUG
octreotide,3,DRUG
somatostatin analogues,3,DRUG
obstructive sleep apnea syndrome,3,CONDITION
median nerve stimulation,3,OTHER
partial-onset seizures,3,CONDITION
st,3,OTHER
paliperidone,3,DRUG
lewy body dementia,3,CONDITION
brain tumors,3,CONDITION
huntington's disease,3,CONDITION
tachosil,3,OTHER
liver cirrhosis,3,CONDITION
compression garments,3,OTHER
dp-vpa,3,DRUG
migraine attacks,3,CONDITION
esmolol,3,DRUG
stress,3,CONDITION
antipsychotics,3,DRUG
ultra-resistant schizophrenia,3,CONDITION
ais,3,CONDITION
improvisational dance,3,PHYSICAL
training program,3,PHYSICAL
short wave diathermy,3,OTHER
nmd,3,CONDITION
gpb,3,OTHER
as,3,OTHER
trichotillomania,3,CONDITION
rt-pa,3,DRUG
cerebellar ataxia,3,CONDITION
ctdcs,3,OTHER
asld,3,CONDITION
intellectual disabilities,3,CONDITION
mild and moderate hepatic impairment,3,CONDITION
venlafaxine,3,DRUG
lurasidone hcl,3,DRUG
lurasidone,3,DRUG
diabetes mellitus,3,CONDITION
vitamin b12,3,DRUG
hearing-impaired,3,CONDITION
asymptomatic ccmv,3,CONDITION
fabrazyme,3,DRUG
esdt,3,OTHER
pea,3,DRUG
everolimus,3,DRUG
sws,3,CONDITION
sci&u,3,BEHAVIOURAL
aeds,3,DRUG
aed,3,DRUG
perampanel,3,DRUG
segmental muscle vibration,3,OTHER
supervised physical therapy,3,PHYSICAL
mental retardation,3,CONDITION
theophylline,3,DRUG
dysgeusia,3,CONDITION
robotic exoskeleton,3,PHYSICAL
mi,3,OTHER
hyperactivity disorder,3,CONDITION
adhd,3,CONDITION
dry needling,3,OTHER
magnesium,3,DRUG
apitegromab,3,DRUG
st101,3,DRUG
aricept,3,DRUG
constraint induced movement therapy,3,OTHER
cimt,3,OTHER
migraine headaches,3,CONDITION
gaucher disease type 1,3,CONDITION
hemiplegic cerebral palsy,3,CONDITION
citalopram,3,DRUG
baf312,3,DRUG
binge eating,3,CONDITION
pf-03654746,3,DRUG
tourette's syndrome,3,CONDITION
terminal visual feedback therapy,3,OTHER
paf,3,CONDITION
trns,3,OTHER
transcranial magnetic stimulation,3,OTHER
xanamem,3,DRUG
pa,3,PHYSICAL
cardio exercise program,3,PHYSICAL
carbetocin,3,DRUG
lv-101,3,DRUG
pf-05236812,3,DRUG
memantine,3,DRUG
eliprodil,3,DRUG
csdh,3,CONDITION
acute intermittent hypoxia,3,OTHER
osteopathic manipulative therapy,3,OTHER
symptomatic urinary tract infections,3,CONDITION
uti,3,CONDITION
nipocalimab,3,DRUG
fragile x,3,CONDITION
oxidative stress,3,CONDITION
tuberous sclerosis complex,3,CONDITION
tsc,3,CONDITION
magic camp,3,OTHER
mandibular advancement device,3,OTHER
mad,3,OTHER
btxa,3,DRUG
lanreotide,3,DRUG
hypertonic saline,3,DRUG
cs,3,CONDITION
postoperative pain,3,CONDITION
menthol,3,DRUG
hip surgery,3,CONDITION
a-t.,3,CONDITION
tnk,3,DRUG
haloperidol,3,DRUG
shatavari supplementation,3,OTHER
rosuvastatin,3,DRUG
water immersion,3,PHYSICAL
n-acetyl-l-leucine,3,DRUG
ib1001,3,DRUG
pirfenidone,3,DRUG
acu,3,OTHER
moxa,3,OTHER
primary parkinsonian pain,3,CONDITION
dual-task+aot-mi,3,OTHER
dual-task,3,OTHER
rasagiline,3,DRUG
cvt-427,3,DRUG
cerebellar stimulation,3,OTHER
didgeridoo,3,OTHER
brindley technique,3,SURGICAL
computerized attention training,3,BEHAVIOURAL
deficit syndrome,3,CONDITION
vasospasm,3,CONDITION
liver resection surgery,3,CONDITION
positive airway pressure,3,OTHER
pap,3,OTHER
visual feedback training,3,OTHER
dlpfc,3,OTHER
itbs,3,OTHER
neurologic music therapy,3,OTHER
nmt,3,OTHER
massage therapy,3,OTHER
mt-mse,3,OTHER
tavns,3,OTHER
ctbs,3,OTHER
aggressive medical treatment,2,OTHER
fragile brain,2,CONDITION
acute brain injury,2,CONDITION
health education,2,CONTROL
arthritis,2,CONDITION
z160,2,DRUG
eculizumab,2,DRUG
severe behavioural problems,2,CONDITION
intellectual and developmental disabilities,2,CONDITION
sbp,2,CONDITION
prescribing errors,2,CONDITION
audiobooks for hearing loss app,2,OTHER
auditory training,2,OTHER
ci and ha users,2,CONDITION
phonak hearing systems,2,OTHER
cabotegravir,2,DRUG
rilpivirine,2,DRUG
integrase inhibitor,2,DRUG
crd007,2,DRUG
becker muscular dystrophy,2,CONDITION
bmd,2,CONDITION
postoperative delirium,2,CONDITION
cardiac surgery,2,CONDITION
septorhinoplasty,2,CONDITION
relapsing remitting multiple sclerosis,2,CONDITION
copaxone,2,DRUG
percutaneous electrical nerve stimulation,2,OTHER
indocyanine green,2,OTHER
carbon dioxide,2,DRUG
classical trigeminal neuralgia,2,CONDITION
haemodialysis,2,CONDITION
mild-to-moderate hearing loss,2,CONDITION
traditional therapy,2,CONTROL
traditional + cervical mobilization,2,PHYSICAL
risk of falls,2,CONDITION
magnetic seizure therapy,2,OTHER
ren-1654,2,DRUG
post-herpetic neuralgia,2,CONDITION
immune tolerance induction,2,OTHER
family-based treatment,2,BEHAVIOURAL
hip helpers,2,OTHER
primary restless legs syndrome,2,CONDITION
1072nm infrared (ir) phototherapy,2,OTHER
sonlicromanol,2,DRUG
mitochondrial disease,2,CONDITION
type 2 diabetes,2,CONDITION
focused ultrasound,2,OTHER
physical frailty,2,CONDITION
intensive care unit,2,CONDITION
delirium prevention bundle,2,OTHER
square stepping exercises,2,PHYSICAL
ards,2,CONDITION
mncc,2,DRUG
behavioural disturbances,2,CONDITION
tourette's disorder,2,CONDITION
watchman laa closure technology,2,SURGICAL
preventing loss of independence through exercise,2,PHYSICAL
hpdsc,2,SURGICAL
sch 900800,2,DRUG
l-dopa,2,DRUG
standard therapy,2,CONTROL
social cognition impairment,2,CONDITION
oxt,2,DRUG
fa,2,CONDITION
amygdala retraining program,2,BEHAVIOURAL
arp program,2,BEHAVIOURAL
sma type ii,2,CONDITION
sma,2,CONDITION
cryptococcal meningitis,2,CONDITION
art,2,OTHER
cisplatin,2,CONDITION
neuroblastoma,2,CONDITION
alzt-op1a,2,DRUG
mild to moderate als,2,CONDITION
dpn,2,CONDITION
physical therapy,2,PHYSICAL
mild alzheimer's disease,2,CONDITION
lu af20513,2,DRUG
collaborative care,2,OTHER
usual neurology care,2,OTHER
new-onset post-operative atrial fibrillation,2,CONDITION
poaf,2,CONDITION
brain stimulation,2,OTHER
transcranial electric stimulation,2,OTHER
memory impairment,2,CONDITION
early alzheimer's disease,2,CONDITION
cerebellar transcranial direct current stimulation,2,OTHER
insulin-like growth factor-1,2,DRUG
moxibustion,2,OTHER
fluorescence-guided resection,2,SURGICAL
malignant gliomas,2,CONDITION
5-aminolevulinic acid,2,DRUG
5-ala,2,DRUG
conventional resection,2,CONTROL
tumour,2,CONDITION
parkinson,2,CONDITION
oxymorphone,2,DRUG
eating disorder,2,CONDITION
iacd,2,OTHER
multiple system atrophy,2,CONDITION
lucerastat,2,DRUG
well-established outpatient group therapy,2,CONTROL
chronic tinnitus,2,CONDITION
risperdal,2,DRUG
consta,2,DRUG
respiratory muscle training,2,PHYSICAL
fibroblasts,2,SURGICAL
dominantly inherited alzheimer's disease,2,CONDITION
diad,2,CONDITION
concussion,2,CONDITION
aoc 1020,2,DRUG
facioscapulohumeral muscular dystrophy,2,CONDITION
fshd,2,CONDITION
small fiber neuropathy,2,CONDITION
gi dysmotility,2,CONDITION
intensive cognitive rehabilitation,2,OTHER
cti-1601,2,DRUG
t-62,2,DRUG
stx209,2,DRUG
arbaclofen,2,DRUG
fxs,2,CONDITION
assertive community treatment,2,OTHER
hepatic encephalopathy,2,CONDITION
polyethylene glycol,2,DRUG
lactulose,2,DRUG
esp,2,BEHAVIOURAL
low-intensity laser,2,OTHER
eswt,2,OTHER
after stroke,2,CONDITION
ambroxol,2,DRUG
rad011,2,DRUG
overweight,2,CONDITION
traditional chinese medicine,2,OTHER
vgh-ad1,2,OTHER
mencevax acw135 polysaccharide vaccine,2,DRUG
cbd,2,DRUG
moderate to severe osa,2,CONDITION
ponesimod,2,DRUG
teriflunomide,2,DRUG
relapsing multiple sclerosis,2,CONDITION
prx-03140,2,DRUG
carotid artery stenting,2,SURGICAL
neuroguard iep system,2,SURGICAL
carotid endarterectomy,2,SURGICAL
sativex,2,DRUG
upper-limb rehabilitation,2,PHYSICAL
etoricoxib,2,DRUG
tst,2,CONTROL
4-aminopyridine,2,DRUG
atenolol,2,DRUG
cerebral small vessel disease,2,CONDITION
cryptogenic stroke,2,CONDITION
mobile application,2,OTHER
alectinib,2,DRUG
supplemental inspired oxygen,2,OTHER
td,2,CONDITION
positive end expiratory pressure,2,OTHER
motor neuron disease,2,CONDITION
brain safe,2,OTHER
ziconotide,2,DRUG
incobotulinum toxin a,2,DRUG
xeomin,2,DRUG
sialorrhea,2,CONDITION
parkinsonism,2,CONDITION
meditation relaxation therapy,2,BEHAVIOURAL
roflumilast,2,DRUG
type 2 diabetic,2,CONDITION
chronic inflammation,2,CONDITION
b-all,2,CONDITION
cpwalker,2,PHYSICAL
mp-214,2,DRUG
receiving multiple drugs schizophrenia,2,CONDITION
rem sleep behavior disorder,2,CONDITION
wid-clz18,2,DRUG
clozaril,2,DRUG
intelligent physical training,2,PHYSICAL
comprehensive rehabilitation,2,PHYSICAL
-cerebrovascular diseases,2,CONDITION
sleep-disordered breathing,2,CONDITION
adenotonsillectomy,2,SURGICAL
telehealth education program,2,BEHAVIOURAL
deferiprone,2,DRUG
pkan,2,CONDITION
glutamine,2,DRUG
breast cancer,2,CONDITION
paclitaxel,2,DRUG
minor-to moderate-risk noncardiac surgery,2,CONDITION
neuromuscular,2,CONDITION
iv amantadine,2,DRUG
adaptative servoventilation,2,OTHER
central sleep apnea,2,CONDITION
zopiclone,2,DRUG
hypopituitary,2,CONDITION
tourette syndrome,2,CONDITION
mns,2,OTHER
rhythmic auditory cueing,2,OTHER
auditory cues,2,OTHER
diffuse intrinsic pontine glioma,2,CONDITION
diffuse midline glioma,2,CONDITION
dipg,2,CONDITION
b7h3-specific car t cells,2,SURGICAL
ga,2,DRUG
chemotherapy-induced painful peripheral neuropathy,2,CONDITION
cipn,2,CONDITION
speeded anomia therapy,2,OTHER
chronic post-stroke aphasia,2,CONDITION
prehd,2,CONDITION
sphenopalatine ganglion block,2,OTHER
postdural puncture headache,2,CONDITION
bupivacaine,2,DRUG
skull base surgery,2,CONDITION
affitope ad02,2,DRUG
bat4406f,2,DRUG
neuromyelitis optica spectrum disorders,2,CONDITION
safinamide,2,DRUG
motor fluctuations,2,CONDITION
idiopathic parkinson's disease,2,CONDITION
minimal hepatic encephalopathy,2,CONDITION
tuberculosis meningitis,2,CONDITION
muscle failure,2,CONDITION
dynapenia,2,CONDITION
intracranial procedures,2,CONDITION
tachycardia,2,CONDITION
chronic sci,2,CONDITION
cancer surgery,2,CONDITION
task-oriented training,2,PHYSICAL
exercise training,2,PHYSICAL
fmt,2,OTHER
psychotic,2,CONDITION
b-stn dbs,2,SURGICAL
play intervention for dementia,2,OTHER
wait-list,2,CONTROL
pid programme,2,OTHER
sertraline,2,DRUG
diabetic foot ulcers,2,CONDITION
hydrogel,2,CONTROL
dm199,2,DRUG
mitoxantrone,2,DRUG
nmo,2,CONDITION
mito,2,DRUG
relapsing-remitting ms,2,CONDITION
somatosensory stimulation,2,OTHER
vestibular stimulation,2,OTHER
wc,2,CONTROL
external shoe lift,2,OTHER
insulin resistance,2,CONDITION
carbidopa,2,DRUG
standard rehabilitation,2,CONTROL
erythropoietin,2,DRUG
preterm,2,CONDITION
diathermy,2,OTHER
air stacking,2,OTHER
glossopharyngeal breathing,2,OTHER
animal-assisted therapy,2,OTHER
tibial nerve mobilization,2,PHYSICAL
tarsal tunnel syndrome,2,CONDITION
transient ischemic attack,2,CONDITION
screw retained arch bar,2,OTHER
conventional erich's arch bar,2,OTHER
maxillomandibular fixation,2,OTHER
3aps,2,DRUG
balance training,2,PHYSICAL
biodex balance system,2,PHYSICAL
consecutive exotropia,2,CONDITION
no,2,DRUG
argininosuccinate lyase deficiency,2,CONDITION
traumatic coma,2,CONDITION
serious mental illness,2,CONDITION
wound dehiscence,2,CONDITION
prep-to-play,2,BEHAVIOURAL
ip program,2,BEHAVIOURAL
early stage dementia,2,CONDITION
stem cell therapy,2,SURGICAL
fingolimod,2,DRUG
myotonic dystrophy type 1(dm1),2,CONDITION
sodium oxybate,2,DRUG
xyrem,2,DRUG
rimegepant,2,DRUG
episodic migraine,2,CONDITION
ziprasidone,2,DRUG
headaches,2,CONDITION
endovascular treatment,2,CONDITION
hydrocoil,2,OTHER
transcatheter patent foramen ovale closure,2,SURGICAL
stroke-in-evolution,2,CONDITION
bun/cr ratio based hydration therapy,2,OTHER
clinically definite multiple sclerosis,2,CONDITION
paroxetine,2,DRUG
sgs-742,2,DRUG
ssadh deficiency,2,CONDITION
ccmv-infected,2,CONDITION
ohs,2,CONDITION
nippv,2,OTHER
zydena,2,DRUG
udenafil,2,DRUG
normal and subcortical vascular cognitive impairment,2,CONDITION
ac-3933,2,DRUG
fixed pressure,2,OTHER
ast-726,2,DRUG
extracorporeal shock wave therapy,2,OTHER
sci -110,2,DRUG
agitation,2,CONDITION
dlb,2,CONDITION
neurodegenerative disease,2,CONDITION
multimorbid,2,CONDITION
emfit mattress monitor dvm-gprs-v2,2,OTHER
online self-management program,2,BEHAVIOURAL
antiepileptic drugs,2,DRUG
carbamazepine,2,DRUG
postural tachycardia syndrome,2,CONDITION
aci-24,2,DRUG
nebivolol,2,DRUG
argininosuccinic aciduria,2,CONDITION
asa,2,CONDITION
hirrem-sop,2,OTHER
per,2,DRUG
protracted opioid withdrawal,2,CONDITION
injection site erythema,2,CONDITION
hyalase,2,DRUG
cvd,2,CONDITION
smv,2,OTHER
spt-smv,2,OTHER
gluten-free diet,2,OTHER
hypocaloric diet,2,OTHER
celiac-type symptoms,2,CONDITION
celiac disease,2,CONDITION
abobotulinumtoxina,2,DRUG
post-traumatic headache,2,CONDITION
od,2,CONDITION
remote ischemic conditioning,2,OTHER
hypoglossal acupuncture,2,OTHER
extracorporeal photopheresis,2,OTHER
combined exercise-nutrition intervention,2,OTHER
renal insufficiency,2,CONDITION
convention therapy,2,CONTROL
aot,2,OTHER
purging disorder,2,CONDITION
bn,2,CONDITION
cardiorespiratory exercise,2,PHYSICAL
atomoxetine,2,DRUG
parkinsonian,2,CONDITION
tumors,2,CONDITION
rehabilitation,2,PHYSICAL
kabat motor control re-education therapy,2,PHYSICAL
botox,2,DRUG
qigong,2,PHYSICAL
hcp,2,CONDITION
early hd,2,CONDITION
ssri,2,DRUG
polymyositis,2,CONDITION
dermatomyositis,2,CONDITION
surgery,2,SURGICAL
craniotomy surgery,2,CONDITION
clenbuterol,2,DRUG
motor dysfunction,2,CONDITION
soc,2,CONTROL
ovarian hormones,2,OTHER
ovarian hormone,2,OTHER
mobilization,2,OTHER
electromagnetic tracking,2,OTHER
probiotics,2,OTHER
prebiotics,2,OTHER
bright light therapy,2,OTHER
rds,2,CONDITION
blt,2,OTHER
jumpstart form,2,BEHAVIOURAL
growth hormone,2,DRUG
growth hormone deficiency,2,CONDITION
trans-spinal electrical stimulation,2,OTHER
cervical spinal cord injury,2,CONDITION
cognitive dysfunction,2,CONDITION
gabapentin,2,DRUG
liuwei dihuang pill,2,OTHER
presbycusis,2,CONDITION
shen (kidney)-yin deficiency,2,CONDITION
covid,2,CONDITION
complete spinal cord injury,2,CONDITION
fes,2,OTHER
np101,2,DRUG
imitrex,2,DRUG
acute migraine attack,2,CONDITION
istradefylline,2,DRUG
service dogs,2,OTHER
igf-1,2,DRUG
self-management guide,2,BEHAVIOURAL
guardian cap,2,OTHER
juvenile myoclonic epilepsy,2,CONDITION
cleft lip,2,CONDITION
lidcombe program,2,BEHAVIOURAL
calcium,2,DRUG
osteopenia,2,CONDITION
silkworms (bombyx mori l.) pupae extracts,2,OTHER
lack of self-compassion,2,CONDITION
disorder of empathy,2,CONDITION
self-compassion deficit,2,CONDITION
empathy disorder,2,CONDITION
"chronic, incomplete spinal cord injury",2,CONDITION
trust,2,PHYSICAL
isis 396443,2,DRUG
spinal muscular atrophy,2,CONDITION
rmp,2,PHYSICAL
standard physiotherapy,2,CONTROL
autoimmune disorders,2,CONDITION
transcutaneous tibial nerve stimulation,2,OTHER
dystrophinopathy,2,CONDITION
actipatch,2,OTHER
chronic subdural hematoma,2,CONDITION
hematoma,2,CONDITION
supratentorial craniotomy,2,CONDITION
transcutaneous electrical spinal cord stimulation,2,OTHER
