entity_token,in_test_frq,entity_class,in_train_frq,evaluation,model
cannabinoid,1,drug,1,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
cbd,1,drug,2,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
cannabinoids,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
medicinal cannabis,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
delta-9-tetrahydrocannabinol,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
high-cbd cannabis,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
autistic disorder,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
pdd,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
pervasive developmental disorders,2,condition,0,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
##isperidone,3,drug,0,"{'tp': 0, 'fp': 3, 'fn': 0}",biobert-v1.1
r,3,drug,0,"{'tp': 0, 'fp': 3, 'fn': 0}",biobert-v1.1
antipsy,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
antipsychotic medication,1,drug,1,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
risperidone,3,drug,9,"{'tp': 0, 'fp': 0, 'fn': 3}",biobert-v1.1
gabapentin,4,drug,2,"{'tp': 4, 'fp': 0, 'fn': 0}",biobert-v1.1
lumbosacral radicular pain,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
lumbosacral radiculopathy,4,condition,0,"{'tp': 4, 'fp': 0, 'fn': 0}",biobert-v1.1
##eroid,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
##teroid,2,drug,0,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
e,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
injection,3,other,0,"{'tp': 0, 'fp': 3, 'fn': 0}",biobert-v1.1
epidural st,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
epidural s,2,other,0,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
steroid,3,drug,0,"{'tp': 0, 'fp': 0, 'fn': 3}",biobert-v1.1
passive static stretching,2,other,0,"{'tp': 0, 'fp': 1, 'fn': 1}",biobert-v1.1
muscle stretching,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
static passive stretching,2,other,0,"{'tp': 0, 'fp': 1, 'fn': 1}",biobert-v1.1
"muscle stretching protocol,",1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
sci,12,condition,39,"{'tp': 5, 'fp': 3, 'fn': 4}",biobert-v1.1
abi,2,condition,2,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
spinal cord injury,11,condition,26,"{'tp': 7, 'fp': 2, 'fn': 2}",biobert-v1.1
acquired brain injury,2,condition,6,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
stelo,3,other,0,"{'tp': 1, 'fp': 2, 'fn': 0}",biobert-v1.1
g,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
impairment,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
modular exoskeleton,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
exoskeleton,2,physical,0,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
stelo modular exoskeleton,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
gait impairment,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
exoskeleton based on modular technology,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
stelo exoskeleton,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
concussion,2,condition,2,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
sub - maximal exercise program,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
sub - maximal exercise protocol,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
sub-maximal exercise protocol,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
sub-maximal exercise program,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
mild cognitive impairment,3,condition,20,"{'tp': 2, 'fp': 0, 'fn': 1}",biobert-v1.1
chf 5074,2,drug,0,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
##ld cognitive impairment,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
mi,1,condition,3,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
bev,2,drug,0,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
rgbm,2,condition,0,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
recurrent glioblastoma multiforme,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
temozolomide,1,drug,2,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
bevacizumab,1,drug,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
fus,1,other,4,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
##fus system,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
##therapy,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
na,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
fus add-on,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
radiotherapy,1,radiotherapy,2,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
navifus system,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
stroke,12,condition,111,"{'tp': 8, 'fp': 1, 'fn': 3}",biobert-v1.1
obstructive sleep apnea,4,condition,25,"{'tp': 4, 'fp': 0, 'fn': 0}",biobert-v1.1
oropharyngeal exercise,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
o - pe,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
sham,1,control,6,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
##ap,1,control,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
continuous,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
post - stroke,2,condition,0,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
o - pes,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
stren,2,physical,0,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
cp,2,condition,8,"{'tp': 1, 'fp': 1, 'fn': 0}",biobert-v1.1
##gthening oropharyngeal muscles,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
o-pe,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
post-stroke,3,condition,11,"{'tp': 0, 'fp': 0, 'fn': 3}",biobert-v1.1
sham control,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
cpap,2,other,13,"{'tp': 1, 'fp': 0, 'fn': 1}",biobert-v1.1
strengthening oropharyngeal muscles,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
o-pes,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
continuous positive airway pressure,2,other,7,"{'tp': 1, 'fp': 0, 'fn': 1}",biobert-v1.1
vascular dementia,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
marrow - sea deficiency,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
sta - 1,3,drug,0,"{'tp': 0, 'fp': 3, 'fn': 0}",biobert-v1.1
marrow-sea deficiency,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
sta-1 capsule,3,other,0,"{'tp': 0, 'fp': 0, 'fn': 3}",biobert-v1.1
computer - based training,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
##lorbetapir,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
florbetapir,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
interpretation training program,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
electronic,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
electronic florbetapir (18f) interpretation training program,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
methods of interpreting florbetapir (18f) pet scans,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
computer-based training,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
asd,2,condition,1,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
cbt,5,behavioural,1,"{'tp': 5, 'fp': 0, 'fn': 0}",biobert-v1.1
disruptive behavior,4,condition,0,"{'tp': 4, 'fp': 0, 'fn': 0}",biobert-v1.1
autism spectrum disorder,2,condition,1,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
intellectual disability,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
autism spectrum disorders,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
i,4,other,0,"{'tp': 0, 'fp': 4, 'fn': 0}",biobert-v1.1
cognitive - behavioral therapy,2,behavioural,0,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
cognitive-behavioral therapy,2,behavioural,1,"{'tp': 0, 'fp': 0, 'fn': 2}",biobert-v1.1
osa,1,condition,28,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
l - carnitine,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
l - c,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
l-c,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
l-carnitine,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
memory complaint,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
mild cognitive decline,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
smartphone,2,other,0,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
alzheimer ' s disease,7,condition,0,"{'tp': 0, 'fp': 7, 'fn': 0}",biobert-v1.1
alzheimer's disease,7,condition,43,"{'tp': 0, 'fp': 0, 'fn': 7}",biobert-v1.1
pfo,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
tia,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
starflex® device,1,other,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
best medical therapy,2,control,0,"{'tp': 1, 'fp': 0, 'fn': 1}",biobert-v1.1
recurrent embolic stroke,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
transient ischemic attack,2,condition,2,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
starflex® septal closure system,2,other,0,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
paradoxical embolism,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
patent for,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
oval,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
pre,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
medical therapy,1,control,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
patent foramen ovale,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
carbamazepine,3,drug,2,"{'tp': 3, 'fp': 0, 'fn': 0}",biobert-v1.1
levetiracetam,5,drug,1,"{'tp': 5, 'fp': 0, 'fn': 0}",biobert-v1.1
re,8,drug,2,"{'tp': 6, 'fp': 2, 'fn': 0}",biobert-v1.1
epilepsy,7,condition,35,"{'tp': 7, 'fp': 0, 'fn': 0}",biobert-v1.1
rolandic epilepsy,2,condition,0,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
seizures,5,condition,10,"{'tp': 3, 'fp': 0, 'fn': 2}",biobert-v1.1
training,6,physical,1,"{'tp': 0, 'fp': 6, 'fn': 0}",biobert-v1.1
seizure,6,condition,9,"{'tp': 3, 'fp': 3, 'fn': 0}",biobert-v1.1
no sleep training at all,1,control,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
sleep,3,condition,0,"{'tp': 0, 'fp': 3, 'fn': 0}",biobert-v1.1
plan,2,other,0,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
sleep behaviour intervention,2,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 1}",biobert-v1.1
active monitoring,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
sleep training,2,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 2}",biobert-v1.1
no sleep training,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
no treatment,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
bia 28 - 6156,3,drug,0,"{'tp': 0, 'fp': 3, 'fn': 0}",biobert-v1.1
bia 28-6156,2,drug,0,"{'tp': 0, 'fp': 0, 'fn': 2}",biobert-v1.1
carbon-14 bia 28-6156,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
postoperative pain,2,condition,3,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
lidocaine,5,drug,7,"{'tp': 4, 'fp': 0, 'fn': 1}",biobert-v1.1
trigger finger release,2,condition,0,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
bupivacaine,8,drug,2,"{'tp': 1, 'fp': 0, 'fn': 7}",biobert-v1.1
post surgical pain,3,condition,0,"{'tp': 3, 'fp': 0, 'fn': 0}",biobert-v1.1
post operative pain,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
bupivicaine,1,drug,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
poorly controlled,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
elective outpatient hand surgeries,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
##upivacaine,4,drug,0,"{'tp': 0, 'fp': 4, 'fn': 0}",biobert-v1.1
##docaine,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
b,5,other,0,"{'tp': 0, 'fp': 5, 'fn': 0}",biobert-v1.1
carpal tunnel or,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
elective outpatient hand surgery,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
local anesthetic,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
complex regional pain syndromes,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
li,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
surgery,2,condition,2,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
elective carpal tunnel release,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
surge,2,condition,0,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
post - operative pain,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
post-operative pain,1,condition,4,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
hand surgeries,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
epinephrine,2,drug,0,"{'tp': 0, 'fp': 0, 'fn': 2}",biobert-v1.1
hand surgery,2,condition,0,"{'tp': 0, 'fp': 0, 'fn': 2}",biobert-v1.1
regional pain syndromes,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
urinary tract infection,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
sap,3,condition,0,"{'tp': 3, 'fp': 0, 'fn': 0}",biobert-v1.1
propranolol,2,drug,0,"{'tp': 1, 'fp': 0, 'fn': 1}",biobert-v1.1
##pranolol,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
stroke associated pneumonia,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
stroke - associated pneumonia,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
pro,2,other,0,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
adrenergic β - receptor blocker,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
anti,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
post - stroke brain injury,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
##nosuppression,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
pneumonia,1,condition,1,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
adrenergic β-receptor blocker,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
stroke-associated pneumonia,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
brain injury,1,condition,4,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
blank,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
antibiotics,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
immunosuppression,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
chronic stroke,1,condition,12,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
chronic cerebral vascular accident,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
cva,2,condition,0,"{'tp': 1, 'fp': 0, 'fn': 1}",biobert-v1.1
dry needling,1,other,3,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
haemorrhagic or ischemic cva,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
##roke,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
dnhs technique,3,other,0,"{'tp': 0, 'fp': 2, 'fn': 1}",biobert-v1.1
##que,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
stiff,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
dnhs tech,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
deep dry needling,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
spastic,1,condition,3,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
deep dry needling of myofascial trigger points,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
dnhs,2,other,0,"{'tp': 0, 'fp': 0, 'fn': 2}",biobert-v1.1
muscle stiffness,2,condition,1,"{'tp': 0, 'fp': 0, 'fn': 2}",biobert-v1.1
spasticity,2,condition,15,"{'tp': 0, 'fp': 0, 'fn': 2}",biobert-v1.1
hypertonia,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
suprascapular nerve block,2,other,0,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
hemiplegia,3,condition,0,"{'tp': 2, 'fp': 0, 'fn': 1}",biobert-v1.1
subacromial injection,3,other,0,"{'tp': 3, 'fp': 0, 'fn': 0}",biobert-v1.1
shoulder pain,5,condition,3,"{'tp': 2, 'fp': 0, 'fn': 3}",biobert-v1.1
hemiplegic shoulder pain,3,condition,0,"{'tp': 0, 'fp': 3, 'fn': 0}",biobert-v1.1
##troke,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
ultrasound - guided suprascapular nerve block,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
hemiplegic,3,condition,3,"{'tp': 0, 'fp': 0, 'fn': 3}",biobert-v1.1
ultrasound-guided suprascapular nerve block,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
poststroke,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
pth,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
mild traumatic brain injury,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
mtbi,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
post - traumatic headache,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
phosphodiesterase 5 inhibition,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
##ldenafil,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
si,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
phosphodiesterase 5 inhibitor,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
migraine - like headache,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
persistent post - traumatic headache,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
persistent post-traumatic headache,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
post-traumatic headache,1,condition,2,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
headache,1,condition,4,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
migraine,1,condition,32,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
paliperidone palmitate,2,drug,0,"{'tp': 1, 'fp': 0, 'fn': 1}",biobert-v1.1
schizophrenia,3,condition,68,"{'tp': 3, 'fp': 0, 'fn': 0}",biobert-v1.1
p,3,other,0,"{'tp': 0, 'fp': 3, 'fn': 0}",biobert-v1.1
##aliperidone palmitate,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
intralipid emulsion,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
robotic gait training,2,physical,0,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
robotic gait trainers,2,physical,0,"{'tp': 1, 'fp': 1, 'fn': 0}",biobert-v1.1
robotic trainer,2,physical,0,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
robotic training,2,physical,0,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
robotic trainers,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
robotic walking,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
intensive,2,physical,0,"{'tp': 1, 'fp': 1, 'fn': 0}",biobert-v1.1
trexo,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
nervous system disorders,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
trexo robotic gait trainers,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
mobility impairments,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
cognitive decline,3,condition,1,"{'tp': 1, 'fp': 1, 'fn': 1}",biobert-v1.1
sdb,4,condition,10,"{'tp': 4, 'fp': 0, 'fn': 0}",biobert-v1.1
ad,3,condition,23,"{'tp': 3, 'fp': 0, 'fn': 0}",biobert-v1.1
sleep disordered breathing,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
dementia,13,condition,38,"{'tp': 12, 'fp': 1, 'fn': 0}",biobert-v1.1
ne,2,condition,0,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
##degeneration,2,condition,0,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
progressive memory decline,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
nasal,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
cognitively normal,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
cognitively - normal,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
memory decline,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
ipad facetime,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
tele - nutrition counseling,2,other,0,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
tele - nutrition program,2,other,0,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
tele - nutrition,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
weight management,2,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 2}",biobert-v1.1
tele-nutrition counseling,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
