entity_token,in_test_frq,entity_class,in_train_frq,evaluation,model
- behavioral therapy,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##t,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
cb,4,condition,0,"{'tp': 0, 'fp': 4, 'fn': 0}",bert-base-uncased
cognitive - behavioral therapy,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
ir,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
disruptive behavior,4,condition,0,"{'tp': 0, 'fp': 0, 'fn': 4}",bert-base-uncased
cognitive-behavioral therapy,2,behavioural,1,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
osa,1,condition,28,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
l - carnitine,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
card,2,condition,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
l - c,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
l-carnitine,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
l-c,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
memory complaint,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
mild cognitive decline,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
smartphone,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
alzheimer ' s disease,7,condition,0,"{'tp': 0, 'fp': 7, 'fn': 0}",bert-base-uncased
alzheimer's disease,7,condition,43,"{'tp': 0, 'fp': 0, 'fn': 7}",bert-base-uncased
transient ischemic attack,2,condition,2,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
tia,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
star,2,other,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
therapy,3,other,0,"{'tp': 0, 'fp': 3, 'fn': 0}",bert-base-uncased
p,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
starflex®,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##flex® septal closure system,2,surgical,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
##fo,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
stroke and,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
or,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
medical therapy,1,control,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##urrent embolic stroke,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
starflex® septal closure system,2,other,0,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
recurrent embolic stroke,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
starflex® device,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
best medical therapy,2,control,0,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
pfo,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
patent foramen ovale,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
paradoxical embolism,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
re,6,condition,2,"{'tp': 6, 'fp': 0, 'fn': 0}",bert-base-uncased
levetiracetam,5,drug,1,"{'tp': 3, 'fp': 0, 'fn': 2}",bert-base-uncased
seizures,5,condition,10,"{'tp': 5, 'fp': 0, 'fn': 0}",bert-base-uncased
sleep training,2,behavioural,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
carbamazepine,3,drug,2,"{'tp': 2, 'fp': 0, 'fn': 1}",bert-base-uncased
rolandic epilepsy,2,condition,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
carbamaze,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
plan,2,other,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
##etiracetam,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##ile,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
ep,5,condition,0,"{'tp': 0, 'fp': 5, 'fn': 0}",bert-base-uncased
sleep training at all,1,control,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
lev,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
levetirace,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
active monitoring,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##ilepsy,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
sleep behaviour intervention,2,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 1}",bert-base-uncased
##psy,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
no sleep training,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
epilepsy,7,condition,35,"{'tp': 0, 'fp': 0, 'fn': 7}",bert-base-uncased
no treatment,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
carbon - 14 bia 28 - 6156,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
bia 28 - 61,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
bia 28 - 6156,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
bia 28-6156,2,drug,0,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
carbon-14 bia 28-6156,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
bupivicaine,1,drug,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
post surgical pain,3,condition,0,"{'tp': 3, 'fp': 0, 'fn': 0}",bert-base-uncased
bupivacaine,8,drug,2,"{'tp': 4, 'fp': 0, 'fn': 4}",bert-base-uncased
lidocaine,5,drug,7,"{'tp': 2, 'fp': 0, 'fn': 3}",bert-base-uncased
##ine,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
lid,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
lidoca,2,drug,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
##esthesia,3,condition,0,"{'tp': 0, 'fp': 3, 'fn': 0}",bert-base-uncased
poorly,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
bu,2,drug,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
##oca,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
post,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
elective outpatient hand surgery,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
operative pain,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##pivacaine,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
epinephrine,2,drug,0,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
trigger finger release,2,condition,0,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
hand surgery,2,condition,0,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
postoperative pain,2,condition,3,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
post-operative pain,1,condition,4,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
regional pain syndromes,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
hand surgeries,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
post operative pain,1,condition,1,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
propranolol,2,drug,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
urinary tract infection,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
sap,3,condition,0,"{'tp': 3, 'fp': 0, 'fn': 0}",bert-base-uncased
adrenergic β - receptor blocker,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
post - stroke brain injury,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
stroke - associated pneumonia,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
stroke associated pneumonia,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
blank,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
brain injury,1,condition,4,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
antibiotics,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
immunosuppression,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
adrenergic β-receptor blocker,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
pneumonia,1,condition,1,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
stroke-associated pneumonia,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
chronic stroke,1,condition,12,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
chronic cerebral vascular accident,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
dnhs technique,3,other,0,"{'tp': 1, 'fp': 2, 'fn': 0}",bert-base-uncased
dry needling,2,other,3,"{'tp': 1, 'fp': 1, 'fn': 0}",bert-base-uncased
cva,2,condition,0,"{'tp': 1, 'fp': 0, 'fn': 1}",bert-base-uncased
hyper,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
spa,2,condition,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
ha,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##agic or ischemic cva,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
dnhs,2,other,0,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
hypertonia,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
muscle stiffness,2,condition,1,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
spasticity,2,condition,15,"{'tp': 0, 'fp': 0, 'fn': 2}",bert-base-uncased
deep dry needling of myofascial trigger points,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
hemiplegia,3,condition,0,"{'tp': 1, 'fp': 0, 'fn': 2}",bert-base-uncased
shoulder pain,5,condition,3,"{'tp': 2, 'fp': 0, 'fn': 3}",bert-base-uncased
subacromial injection,3,other,0,"{'tp': 2, 'fp': 0, 'fn': 1}",bert-base-uncased
suprascapular nerve block,2,other,0,"{'tp': 1, 'fp': 0, 'fn': 1}",bert-base-uncased
##ia,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
ultrasound - guided suprascapular nerve block,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
hemiplegic shoulder pain,2,condition,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
hemip,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##legic shoulder pain,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
shoulder,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
suprascapular nerve block and subacromial injection,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
hem,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
rom,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
hemiplegic,3,condition,3,"{'tp': 0, 'fp': 0, 'fn': 3}",bert-base-uncased
poststroke,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
ultrasound-guided suprascapular nerve block,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
pth,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
mild traumatic brain injury,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
mtbi,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
persistent post - traumatic headache,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
migraine - like headache,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##odiesterase 5,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##phodiesterase 5 inhibitor,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
sildenafil,1,drug,1,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
post - traumatic headache,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
ph,3,condition,0,"{'tp': 0, 'fp': 3, 'fn': 0}",bert-base-uncased
##os,2,drug,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
headache,1,condition,4,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
migraine,1,condition,32,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
post-traumatic headache,1,condition,2,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
persistent post-traumatic headache,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
schizophrenia,3,condition,68,"{'tp': 3, 'fp': 0, 'fn': 0}",bert-base-uncased
paliperidone palmitate,2,drug,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
intralipid emulsion,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
robotic walking,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
robotic training,2,physical,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
trexo robotic gait trainers,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
robotic trainers,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
robotic gait training,2,physical,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
robotic gait trainers,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
robotic trainer,2,physical,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
nervous system disorders,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
mobility impairments,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
sdb,4,condition,10,"{'tp': 4, 'fp': 0, 'fn': 0}",bert-base-uncased
sleep disordered breathing,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
dementia,12,condition,38,"{'tp': 12, 'fp': 0, 'fn': 0}",bert-base-uncased
ad,3,condition,23,"{'tp': 3, 'fp': 0, 'fn': 0}",bert-base-uncased
cognitive decline,3,condition,1,"{'tp': 1, 'fp': 1, 'fn': 1}",bert-base-uncased
nasal continuous positive airway pressure,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
ne,6,condition,0,"{'tp': 0, 'fp': 6, 'fn': 0}",bert-base-uncased
memory decline,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
