,nct_id,canonical_unique_conditions,canonical_aact_conditions,canonical_bert-base-uncased_conditions,canonical_BioLinkBERT-base_conditions,canonical_biobert-v1.1_conditions,canonical_gpt_conditions,canonical_gpt-4_conditions,eval_exact_match_bert-base-uncased,eval_exact_match_bert-base-uncased_tp_fp_fn,eval_exact_match_BioLinkBERT-base,eval_exact_match_BioLinkBERT-base_tp_fp_fn,eval_exact_match_biobert-v1.1,eval_exact_match_biobert-v1.1_tp_fp_fn,eval_exact_match_gpt,eval_exact_match_gpt_tp_fp_fn,eval_exact_match_gpt-4,eval_exact_match_gpt-4_tp_fp_fn,eval_exact_match_aact,eval_exact_match_aact_tp_fp_fn,eval_majority_bert-base-uncased,eval_majority_bert-base-uncased_tp_fp_fn,eval_majority_BioLinkBERT-base,eval_majority_BioLinkBERT-base_tp_fp_fn,eval_majority_biobert-v1.1,eval_majority_biobert-v1.1_tp_fp_fn,eval_majority_gpt,eval_majority_gpt_tp_fp_fn,eval_majority_gpt-4,eval_majority_gpt-4_tp_fp_fn,eval_majority_aact,eval_majority_aact_tp_fp_fn
10,NCT01475578,"dementia, vascular|marrow-sea deficiency","dementia, vascular","dementia, vascular|marrow-sea deficiency","dementia, vascular|marrow-sea deficiency","dementia, vascular|marrow-sea deficiency","dementia, vascular","dementia, vascular","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}"
11,NCT02029547,,alzheimer disease,,,,,,"{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}"
12,NCT02914951,intellectual disability|autism spectrum disorders|autism spectrum disorder|disruptive behavior,autism|intellectual disability,intellectual disability|autism spectrum disorder|disrupt|autism spectrum disorders,autism spectrum disorders|autism spectrum disorder|intellectual disability|disruptive behavior|irritability,intellectual disability|autism spectrum disorders|autism spectrum disorder|disruptive behavior,autism spectrum disorder|irritability|tantrums|noncompliance|aggression,autism spectrum disorder|irritability|tantrums|noncompliance|aggression|disruptive behavior|intellectual disability|social perception|emotion regulation,"{'p': 0.75, 'r': 0.75, 'f1': 0.75}","{'tp': 3, 'fp': 1, 'fn': 1}","{'p': 0.8, 'r': 1.0, 'f1': 0.89}","{'tp': 4, 'fp': 1, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 4, 'fp': 0, 'fn': 0}","{'p': 0.2, 'r': 0.25, 'f1': 0.22}","{'tp': 1, 'fp': 4, 'fn': 3}","{'p': 0.33, 'r': 0.75, 'f1': 0.46}","{'tp': 3, 'fp': 6, 'fn': 1}","{'p': 0.5, 'r': 0.25, 'f1': 0.33}","{'tp': 1, 'fp': 1, 'fn': 3}","{'p': 0.75, 'r': 0.75, 'f1': 0.75}","{'tp': 3, 'fp': 1, 'fn': 1}","{'p': 0.8, 'r': 1.0, 'f1': 0.89}","{'tp': 4, 'fp': 1, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 4, 'fp': 0, 'fn': 0}","{'p': 0.33, 'r': 0.5, 'f1': 0.4}","{'tp': 2, 'fp': 4, 'fn': 2}","{'p': 0.4, 'r': 1.0, 'f1': 0.57}","{'tp': 4, 'fp': 6, 'fn': 0}","{'p': 0.5, 'r': 0.25, 'f1': 0.33}","{'tp': 1, 'fp': 1, 'fn': 3}"
13,NCT02645942,"sleep apnea, obstructive|osa","sleep apnea, obstructive","sleep apnea, obstructive|card|osa","sleep apnea, obstructive|cardio-metabolic risk|osa","sleep apnea, obstructive|osa","sleep apnea, obstructive","sleep apnea, obstructive","{'p': 0.67, 'r': 1.0, 'f1': 0.8}","{'tp': 2, 'fp': 1, 'fn': 0}","{'p': 0.67, 'r': 1.0, 'f1': 0.8}","{'tp': 2, 'fp': 1, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 0.67, 'r': 1.0, 'f1': 0.8}","{'tp': 2, 'fp': 1, 'fn': 0}","{'p': 0.67, 'r': 1.0, 'f1': 0.8}","{'tp': 2, 'fp': 1, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}"
14,NCT05709210,memory complaint|alzheimer disease|mild cognitive decline,alzheimer disease|memory disorders,alzheimer disease|memory complaint|mild cognitive decline,alzheimer disease|memory complaint|mild cognitive decline,alzheimer disease|memory complaint|mild cognitive decline,alzheimer disease|memory complaint|mild cognitive decline,alzheimer disease|memory complaint|mild cognitive decline,"{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 3, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 3, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 3, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 3, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 3, 'fp': 0, 'fn': 0}","{'p': 0.5, 'r': 0.33, 'f1': 0.4}","{'tp': 1, 'fp': 1, 'fn': 2}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 3, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 3, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 3, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 3, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 3, 'fp': 0, 'fn': 0}","{'p': 0.5, 'r': 0.33, 'f1': 0.4}","{'tp': 1, 'fp': 1, 'fn': 2}"
15,NCT00201461,"ischemic attack, transient|recurrent embolic stroke|pfo|paradoxical embolism|patent foramen ovale|stroke","ischemic attack, transient|patent foramen ovale|stroke","rec|ischemic attack, transient|stroke and","ischemic attack, transient|recurrent embolic stroke|pfo|paradoxical embolism|patent foramen ovale|stroke","stroke|recurrent embolic stroke|oval|pfo|paradoxical embolism|pre|ischemic attack, transient|patent for","stroke|ischemic attack, transient|paradoxical embolism|patent foramen ovale","stroke|ischemic attack, transient|paradoxical embolism|patent foramen ovale|recurrent embolic stroke|mortality","{'p': 0.33, 'r': 0.17, 'f1': 0.22}","{'tp': 1, 'fp': 2, 'fn': 5}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 6, 'fp': 0, 'fn': 0}","{'p': 0.62, 'r': 0.83, 'f1': 0.71}","{'tp': 5, 'fp': 3, 'fn': 1}","{'p': 1.0, 'r': 0.67, 'f1': 0.8}","{'tp': 4, 'fp': 0, 'fn': 2}","{'p': 0.83, 'r': 0.83, 'f1': 0.83}","{'tp': 5, 'fp': 1, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 3, 'fp': 0, 'fn': 3}","{'p': 0.67, 'r': 0.33, 'f1': 0.44}","{'tp': 2, 'fp': 1, 'fn': 4}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 6, 'fp': 0, 'fn': 0}","{'p': 0.62, 'r': 0.83, 'f1': 0.71}","{'tp': 5, 'fp': 3, 'fn': 1}","{'p': 1.0, 'r': 0.67, 'f1': 0.8}","{'tp': 4, 'fp': 0, 'fn': 2}","{'p': 0.83, 'r': 0.83, 'f1': 0.83}","{'tp': 5, 'fp': 1, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 3, 'fp': 0, 'fn': 3}"
16,NCT04610879,"epilepsy, rolandic|epilepsy|seizures","epilepsy, rolandic","epilepsy, rolandic|seizures","epilepsy, rolandic|epilepsy|seizures","epilepsy, rolandic|seizures|epilepsy|seizures","epilepsy, rolandic|seizures|learning|sleep|behaviour|self-esteem|mood|anti-epileptic medicines|carbamazepine|thinking|adults|levetiracetam|children|treatment|negative effect|options|castle study|poor sleep|night|morning|sleep quality|sleep training plan","epilepsy, rolandic|seizures|affected learning|affected sleep|affected behaviour|affected self-esteem|affected mood|slowed down thinking","{'p': 1.0, 'r': 0.67, 'f1': 0.8}","{'tp': 2, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 3, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 3, 'fp': 0, 'fn': 0}","{'p': 0.09, 'r': 0.67, 'f1': 0.16}","{'tp': 2, 'fp': 20, 'fn': 1}","{'p': 0.25, 'r': 0.67, 'f1': 0.36}","{'tp': 2, 'fp': 6, 'fn': 1}","{'p': 1.0, 'r': 0.33, 'f1': 0.5}","{'tp': 1, 'fp': 0, 'fn': 2}","{'p': 1.0, 'r': 0.67, 'f1': 0.8}","{'tp': 2, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 3, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 3, 'fp': 0, 'fn': 0}","{'p': 0.09, 'r': 0.67, 'f1': 0.16}","{'tp': 2, 'fp': 20, 'fn': 1}","{'p': 0.25, 'r': 0.67, 'f1': 0.36}","{'tp': 2, 'fp': 6, 'fn': 1}","{'p': 1.0, 'r': 0.33, 'f1': 0.5}","{'tp': 1, 'fp': 0, 'fn': 2}"
17,NCT05220072,,parkinson disease,,,,,,"{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0, 'r': 0, 'f1': 0}","{'tp': 0, 'fp': 0, 'fn': 0}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}"
18,NCT01751347,post operative pain|regional pain syndromes|postoperative pain|post-operative pain|trigger finger release|hand surgery|post surgical pain|hand surgeries|chronic pain|pain,carpal tunnel syndrome|trigger finger,post|elective outpatient hand surgery|operative pain|post surgical pain|chronic pain|pain|poorly,post operative pain|poorly controlled|regional pain syndromes|post-operative pain|carpal tunnel or|hand|carpal tunnel release|surgery|postoperative pain|trigger finger release|hand surgery|post surgical pain|chronic pain|pain|surgeries,post operative pain|poorly controlled|elective outpatient hand surgery|carpal tunnel or|post-operative pain|surgery|postoperative pain|complex regional pain syndromes|trigger finger release|post surgical pain|elective outpatient hand surgeries|chronic pain|elective carpal tunnel release|pain|surge,carpal tunnel release|trigger finger release|chronic pain|complex regional pain syndromes|pain,carpal tunnel syndrome|trigger finger|pain|postoperative pain|chronic pain|complex regional pain syndromes,"{'p': 0.43, 'r': 0.3, 'f1': 0.35}","{'tp': 3, 'fp': 4, 'fn': 7}","{'p': 0.6, 'r': 0.9, 'f1': 0.72}","{'tp': 9, 'fp': 6, 'fn': 1}","{'p': 0.47, 'r': 0.7, 'f1': 0.56}","{'tp': 7, 'fp': 8, 'fn': 3}","{'p': 0.6, 'r': 0.3, 'f1': 0.4}","{'tp': 3, 'fp': 2, 'fn': 7}","{'p': 0.5, 'r': 0.3, 'f1': 0.37}","{'tp': 3, 'fp': 3, 'fn': 7}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 2, 'fn': 10}","{'p': 0.71, 'r': 0.5, 'f1': 0.59}","{'tp': 5, 'fp': 2, 'fn': 5}","{'p': 0.6, 'r': 0.9, 'f1': 0.72}","{'tp': 9, 'fp': 6, 'fn': 1}","{'p': 0.67, 'r': 1.0, 'f1': 0.8}","{'tp': 10, 'fp': 5, 'fn': 0}","{'p': 0.8, 'r': 0.4, 'f1': 0.53}","{'tp': 4, 'fp': 1, 'fn': 6}","{'p': 0.83, 'r': 0.5, 'f1': 0.62}","{'tp': 5, 'fp': 1, 'fn': 5}","{'p': 0.5, 'r': 0.1, 'f1': 0.17}","{'tp': 1, 'fp': 1, 'fn': 9}"
19,NCT05375240,post-stroke|immunosuppression|pneumonia|stroke-associated pneumonia|brain injuries|stroke|urinary tract infection,beta blocker|brain diseases|cardiovascular diseases|central nervous system diseases|cerebrovascular disorders|immunologic factors|ischemic stroke|molecular mechanisms of pharmacological action|nervous system diseases|physiological effects of drugs|propranolol|stroke,stroke associated pneumonia|post-stroke brain injury|stroke-associated pneumonia|post-stroke|stroke-associated pneumonia|stroke|urinary tract infection,stroke associated pneumonia|stroke-associated pneumonia|post-stroke|stroke-associated pneumonia|stroke|urinary tract infection,stroke associated pneumonia|post-stroke brain injury|stroke-associated pneumonia|post-stroke|stroke-associated pneumonia|stroke|urinary tract infection,stroke-associated pneumonia|poor outcomes|death|stroke patients|post-stroke brain injury|adrenergic system|post-stroke immunosuppression|sap,stroke associated pneumonia|stroke|urinary tract infection|post-stroke brain injury|post-stroke immunosuppression,"{'p': 0.67, 'r': 0.57, 'f1': 0.62}","{'tp': 4, 'fp': 2, 'fn': 3}","{'p': 0.8, 'r': 0.57, 'f1': 0.67}","{'tp': 4, 'fp': 1, 'fn': 3}","{'p': 0.67, 'r': 0.57, 'f1': 0.62}","{'tp': 4, 'fp': 2, 'fn': 3}","{'p': 0.12, 'r': 0.14, 'f1': 0.13}","{'tp': 1, 'fp': 7, 'fn': 6}","{'p': 0.4, 'r': 0.29, 'f1': 0.33}","{'tp': 2, 'fp': 3, 'fn': 5}","{'p': 0.08, 'r': 0.14, 'f1': 0.11}","{'tp': 1, 'fp': 11, 'fn': 6}","{'p': 1.0, 'r': 0.71, 'f1': 0.83}","{'tp': 5, 'fp': 0, 'fn': 2}","{'p': 1.0, 'r': 0.71, 'f1': 0.83}","{'tp': 5, 'fp': 0, 'fn': 2}","{'p': 1.0, 'r': 0.71, 'f1': 0.83}","{'tp': 5, 'fp': 0, 'fn': 2}","{'p': 0.56, 'r': 0.71, 'f1': 0.63}","{'tp': 5, 'fp': 4, 'fn': 2}","{'p': 1.0, 'r': 0.71, 'f1': 0.83}","{'tp': 5, 'fp': 0, 'fn': 2}","{'p': 0.09, 'r': 0.14, 'f1': 0.11}","{'tp': 1, 'fp': 10, 'fn': 6}"
20,NCT03546517,chronic cerebral vascular accident|chronic stroke|spasticity|hypertonia|cerebral vascular accident|stroke|muscle stiffness,spasticity|stroke,chronic cerebral vascular accident|chronic stroke|spa|cerebral vascular accident|stroke|hyper,chronic cerebral vascular accident|chronic stroke|spasticity|cerebral vascular accident|haemorrhagic or ischemic cva|stroke,chronic cerebral vascular accident|spastic|chronic stroke|stiff|cerebral vascular accident|haemorrhagic or ischemic cva|stroke,chronic stroke|cerebral vascular accident|haemorrhagic or ischemic cva|spasticity|muscle stiffness|hypertonia|upper limb function,chronic stroke|spasticity|muscle stiffness|impaired upper limb function|decreased quality of life,"{'p': 0.67, 'r': 0.57, 'f1': 0.62}","{'tp': 4, 'fp': 2, 'fn': 3}","{'p': 0.83, 'r': 0.71, 'f1': 0.77}","{'tp': 5, 'fp': 1, 'fn': 2}","{'p': 0.57, 'r': 0.57, 'f1': 0.57}","{'tp': 4, 'fp': 3, 'fn': 3}","{'p': 0.71, 'r': 0.71, 'f1': 0.71}","{'tp': 5, 'fp': 2, 'fn': 2}","{'p': 0.6, 'r': 0.43, 'f1': 0.5}","{'tp': 3, 'fp': 2, 'fn': 4}","{'p': 1.0, 'r': 0.29, 'f1': 0.44}","{'tp': 2, 'fp': 0, 'fn': 5}","{'p': 0.67, 'r': 0.57, 'f1': 0.62}","{'tp': 4, 'fp': 2, 'fn': 3}","{'p': 0.83, 'r': 0.71, 'f1': 0.77}","{'tp': 5, 'fp': 1, 'fn': 2}","{'p': 0.57, 'r': 0.57, 'f1': 0.57}","{'tp': 4, 'fp': 3, 'fn': 3}","{'p': 0.78, 'r': 1.0, 'f1': 0.88}","{'tp': 7, 'fp': 2, 'fn': 0}","{'p': 0.67, 'r': 0.57, 'f1': 0.62}","{'tp': 4, 'fp': 2, 'fn': 3}","{'p': 1.0, 'r': 0.29, 'f1': 0.44}","{'tp': 2, 'fp': 0, 'fn': 5}"
21,NCT04433377,hemiplegic|poststroke|shoulder pain|hemiplegia|pain,hemiplegia|pain,hemip|hemiplegic shoulder pain|shoulder pain|hem|shoulder|hemiplegia|pain,poststroke|hemiplegic shoulder pain|shoulder pain|hemiplegia|pain,hemiplegia|pain|hemiplegic shoulder pain|shoulder pain,hemiplegic shoulder pain|range of motion|hand function|limited daily life activity|decreased quality of life,hemiplegic shoulder pain|reduced range of motion|limited hand function|decreased quality of life|pain|limited daily life activity,"{'p': 0.43, 'r': 0.6, 'f1': 0.5}","{'tp': 3, 'fp': 4, 'fn': 2}","{'p': 0.8, 'r': 0.8, 'f1': 0.8}","{'tp': 4, 'fp': 1, 'fn': 1}","{'p': 0.75, 'r': 0.6, 'f1': 0.67}","{'tp': 3, 'fp': 1, 'fn': 2}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 5, 'fn': 5}","{'p': 0.17, 'r': 0.2, 'f1': 0.18}","{'tp': 1, 'fp': 5, 'fn': 4}","{'p': 1.0, 'r': 0.4, 'f1': 0.57}","{'tp': 2, 'fp': 0, 'fn': 3}","{'p': 0.57, 'r': 0.8, 'f1': 0.67}","{'tp': 4, 'fp': 3, 'fn': 1}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 5, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 0.8, 'f1': 0.89}","{'tp': 4, 'fp': 0, 'fn': 1}","{'p': 0.43, 'r': 0.6, 'f1': 0.5}","{'tp': 3, 'fp': 4, 'fn': 2}","{'p': 0.43, 'r': 0.6, 'f1': 0.5}","{'tp': 3, 'fp': 4, 'fn': 2}","{'p': 1.0, 'r': 0.4, 'f1': 0.57}","{'tp': 2, 'fp': 0, 'fn': 3}"
22,NCT05669885,headache|migraine|migraine disorders|persistent post-traumatic headache|post-traumatic headache|mild traumatic brain injury,post-traumatic headache,persistent post-traumatic headache|mtbi|post-traumatic headache|migraine-like headache|post-traumatic headache|mild traumatic brain injury,persistent post-traumatic headache|mtbi|post-traumatic headache|migraine-like headache|post-traumatic headache|mild traumatic brain injury,persistent post-traumatic headache|post-traumatic headache|migraine-like headache|post-traumatic headache|mild traumatic brain injury,post-traumatic headache|hypersensitivity|persistent post-traumatic headache|pth|migraine-like headache|mtbi|phosphodiesterase 5 inhibition|sildenafil,post-traumatic headache|mild traumatic brain injury|migraine-like headache,"{'p': 0.6, 'r': 0.5, 'f1': 0.55}","{'tp': 3, 'fp': 2, 'fn': 3}","{'p': 0.6, 'r': 0.5, 'f1': 0.55}","{'tp': 3, 'fp': 2, 'fn': 3}","{'p': 0.75, 'r': 0.5, 'f1': 0.6}","{'tp': 3, 'fp': 1, 'fn': 3}","{'p': 0.25, 'r': 0.33, 'f1': 0.29}","{'tp': 2, 'fp': 6, 'fn': 4}","{'p': 0.67, 'r': 0.33, 'f1': 0.44}","{'tp': 2, 'fp': 1, 'fn': 4}","{'p': 1.0, 'r': 0.17, 'f1': 0.29}","{'tp': 1, 'fp': 0, 'fn': 5}","{'p': 0.8, 'r': 0.67, 'f1': 0.73}","{'tp': 4, 'fp': 1, 'fn': 2}","{'p': 0.8, 'r': 0.67, 'f1': 0.73}","{'tp': 4, 'fp': 1, 'fn': 2}","{'p': 1.0, 'r': 0.67, 'f1': 0.8}","{'tp': 4, 'fp': 0, 'fn': 2}","{'p': 0.38, 'r': 0.5, 'f1': 0.43}","{'tp': 3, 'fp': 5, 'fn': 3}","{'p': 1.0, 'r': 0.67, 'f1': 0.8}","{'tp': 4, 'fp': 0, 'fn': 2}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 3, 'fp': 0, 'fn': 3}"
23,NCT00101634,schizophrenia,schizophrenia,schizophrenia,schizophrenia,schizophrenia,schizophrenia|symptoms of schizophrenia,schizophrenia|symptoms of schizophrenia,"{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}"
24,NCT05473676,mobility impairments,brain injuries|cerebral palsy|mobility limitation|spinal dysraphism|spina bifida|spinal cord injuries,nervous system disorders,nervous system disorders|impairments|cannot walk|difficulty walking on|cannot walk independently,nervous system disorders,investigated disease names and related symptoms from the clinical trial: none,nervous system disorders|difficulty walking|mobility impairments|short and long-term health conditions|physical inactivity|different developmental experiences|better head control|improved independence in transfers|impaired sleep|impaired bowel habits,"{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 5, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}","{'p': 0.1, 'r': 1.0, 'f1': 0.18}","{'tp': 1, 'fp': 9, 'fn': 0}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 6, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 5, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}","{'p': 0.1, 'r': 1.0, 'f1': 0.18}","{'tp': 1, 'fp': 9, 'fn': 0}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 6, 'fn': 1}"
