entity_token,in_test_frq,entity_class,in_train_frq,evaluation,model
lumbosacral radicular pain,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
gabapentin,4,drug,2,"{'tp': 4, 'fp': 0, 'fn': 0}",BioLinkBERT-base
lumbosacral radiculopathy,4,condition,0,"{'tp': 2, 'fp': 0, 'fn': 2}",BioLinkBERT-base
epidural steroid injections,2,other,0,"{'tp': 0, 'fp': 2, 'fn': 0}",BioLinkBERT-base
esi,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
epidural steroid injection,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
steroid,3,drug,0,"{'tp': 0, 'fp': 0, 'fn': 3}",BioLinkBERT-base
static passive stretching,2,other,0,"{'tp': 0, 'fp': 1, 'fn': 1}",BioLinkBERT-base
passive static stretching,2,other,0,"{'tp': 0, 'fp': 1, 'fn': 1}",BioLinkBERT-base
muscle stretching,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
"muscle stretching protocol,",1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
acquired brain injury,2,condition,6,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
spinal cord injury,11,condition,26,"{'tp': 7, 'fp': 2, 'fn': 2}",BioLinkBERT-base
sci,12,condition,39,"{'tp': 5, 'fp': 3, 'fn': 4}",BioLinkBERT-base
abi,2,condition,2,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
gait impairment,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
stelo,2,other,0,"{'tp': 0, 'fp': 1, 'fn': 1}",BioLinkBERT-base
stelo modular exoskeleton,2,other,0,"{'tp': 0, 'fp': 1, 'fn': 1}",BioLinkBERT-base
exoskeleton,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
stelo exoskeleton,2,other,0,"{'tp': 0, 'fp': 1, 'fn': 1}",BioLinkBERT-base
exoskeleton based on modular technology,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
concussion,2,condition,2,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
sub - maximal exercise program,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
sub - maximal exercise protocol,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
sub-maximal exercise protocol,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
sub-maximal exercise program,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
chf 5074,2,drug,0,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
mild cognitive impairment,3,condition,20,"{'tp': 3, 'fp': 0, 'fn': 0}",BioLinkBERT-base
temozolomide,1,drug,2,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
bevacizumab,1,drug,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
rgbm,2,condition,0,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
navifus system,1,other,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
recurrent glioblastoma multiforme,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
bev,2,drug,0,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
radiotherapy,2,radiotherapy,2,"{'tp': 0, 'fp': 1, 'fn': 1}",BioLinkBERT-base
fus add-on,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
stroke,11,condition,111,"{'tp': 8, 'fp': 0, 'fn': 3}",BioLinkBERT-base
strengthening oropharyngeal muscles,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
oropharyngeal exercise,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
obstructive sleep apnea,4,condition,25,"{'tp': 4, 'fp': 0, 'fn': 0}",BioLinkBERT-base
o - pes,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
post - stroke,3,condition,0,"{'tp': 0, 'fp': 3, 'fn': 0}",BioLinkBERT-base
o - pe,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
sham,1,control,6,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
post-stroke,3,condition,11,"{'tp': 0, 'fp': 0, 'fn': 3}",BioLinkBERT-base
continuous positive airway pressure,2,other,7,"{'tp': 1, 'fp': 0, 'fn': 1}",BioLinkBERT-base
o-pe,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
o-pes,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
cpap,2,other,13,"{'tp': 1, 'fp': 0, 'fn': 1}",BioLinkBERT-base
sham control,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
vascular dementia,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
sta - 1,3,other,0,"{'tp': 0, 'fp': 3, 'fn': 0}",BioLinkBERT-base
marrow - sea deficiency,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
sta-1 capsule,3,other,0,"{'tp': 0, 'fp': 0, 'fn': 3}",BioLinkBERT-base
marrow-sea deficiency,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
- based training,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
computer,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
training program,1,behavioural,3,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
electronic,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
computer-based training,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
methods of interpreting florbetapir (18f) pet scans,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
electronic florbetapir (18f) interpretation training program,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
autism spectrum disorder,2,condition,1,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
asd,2,condition,1,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
cbt,5,behavioural,1,"{'tp': 5, 'fp': 0, 'fn': 0}",BioLinkBERT-base
disruptive behavior,4,condition,0,"{'tp': 4, 'fp': 0, 'fn': 0}",BioLinkBERT-base
intellectual disability,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
autism spectrum disorders,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
irritability,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
cognitive - behavioral therapy,2,behavioural,0,"{'tp': 0, 'fp': 2, 'fn': 0}",BioLinkBERT-base
cognitive-behavioral therapy,2,behavioural,1,"{'tp': 0, 'fp': 0, 'fn': 2}",BioLinkBERT-base
osa,1,condition,28,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
cardio - metabolic risk,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
l - carnitine,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
l - c,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
l-c,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
l-carnitine,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
memory complaint,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
mild cognitive decline,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
alzheimer ' s disease,7,condition,0,"{'tp': 0, 'fp': 7, 'fn': 0}",BioLinkBERT-base
alzheimer's disease,7,condition,43,"{'tp': 0, 'fp': 0, 'fn': 7}",BioLinkBERT-base
transient ischemic attack,2,condition,2,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
recurrent embolic stroke,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
tia,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
pfo,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
best medical therapy,2,control,0,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
patent foramen ovale,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
paradoxical embolism,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
##flex® septal closure system,2,surgical,0,"{'tp': 0, 'fp': 2, 'fn': 0}",BioLinkBERT-base
##flex® device,1,surgical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
star,3,other,0,"{'tp': 0, 'fp': 3, 'fn': 0}",BioLinkBERT-base
starflex® septal closure system,2,other,0,"{'tp': 0, 'fp': 0, 'fn': 2}",BioLinkBERT-base
starflex® device,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
epilepsy,7,condition,35,"{'tp': 7, 'fp': 0, 'fn': 0}",BioLinkBERT-base
seizures,5,condition,10,"{'tp': 4, 'fp': 0, 'fn': 1}",BioLinkBERT-base
re,6,condition,2,"{'tp': 6, 'fp': 0, 'fn': 0}",BioLinkBERT-base
sleep behaviour intervention,1,behavioural,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
levetiracetam,5,drug,1,"{'tp': 5, 'fp': 0, 'fn': 0}",BioLinkBERT-base
rolandic epilepsy,2,condition,0,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
carbamazepine,3,drug,2,"{'tp': 3, 'fp': 0, 'fn': 0}",BioLinkBERT-base
no sleep training at all,1,control,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
active monitoring,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
sleep training plan,2,behavioural,0,"{'tp': 0, 'fp': 2, 'fn': 0}",BioLinkBERT-base
treatment,1,control,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
no treatment,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
no sleep training,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
sleep training,2,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 2}",BioLinkBERT-base
bia 28 - 6156,3,drug,0,"{'tp': 0, 'fp': 3, 'fn': 0}",BioLinkBERT-base
bia 28-6156,2,drug,0,"{'tp': 0, 'fp': 0, 'fn': 2}",BioLinkBERT-base
carbon-14 bia 28-6156,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
post surgical pain,3,condition,0,"{'tp': 3, 'fp': 0, 'fn': 0}",BioLinkBERT-base
lidocaine,5,drug,7,"{'tp': 5, 'fp': 0, 'fn': 0}",BioLinkBERT-base
bupivacaine,8,drug,2,"{'tp': 8, 'fp': 0, 'fn': 0}",BioLinkBERT-base
bupivicaine,1,drug,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
postoperative pain,2,condition,3,"{'tp': 1, 'fp': 0, 'fn': 1}",BioLinkBERT-base
post operative pain,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
regional pain syndromes,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
trigger finger release,2,condition,0,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
hand surgery,2,condition,0,"{'tp': 1, 'fp': 0, 'fn': 1}",BioLinkBERT-base
surgery,1,condition,2,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
carpal tunnel release,1,condition,1,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
local,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
surgeries,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
post - operative pain,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
hand,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
poorly controlled,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
carpal tunnel or,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
epinephrine,2,drug,0,"{'tp': 0, 'fp': 0, 'fn': 2}",BioLinkBERT-base
post-operative pain,1,condition,4,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
hand surgeries,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
urinary tract infection,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
antibiotics,1,drug,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
sap,3,condition,0,"{'tp': 3, 'fp': 0, 'fn': 0}",BioLinkBERT-base
propranolol,2,drug,0,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
adrenergic β - receptor blocker,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
stroke - associated pneumonia,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
stroke associated pneumonia,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
pneumonia,1,condition,1,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
adrenergic β-receptor blocker,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
immunosuppression,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
brain injury,1,condition,4,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
blank,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
stroke-associated pneumonia,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
spasticity,2,condition,15,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
cva,2,condition,0,"{'tp': 1, 'fp': 0, 'fn': 1}",BioLinkBERT-base
chronic cerebral vascular accident,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
dry needling,1,other,3,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
dnhs technique,3,other,0,"{'tp': 1, 'fp': 2, 'fn': 0}",BioLinkBERT-base
chronic stroke,1,condition,12,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
haemorrhagic or ischemic cva,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
deep dry needling of,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
muscle stiffness,2,condition,1,"{'tp': 0, 'fp': 0, 'fn': 2}",BioLinkBERT-base
dnhs,2,other,0,"{'tp': 0, 'fp': 0, 'fn': 2}",BioLinkBERT-base
deep dry needling of myofascial trigger points,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
hypertonia,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
subacromial injection,3,other,0,"{'tp': 3, 'fp': 0, 'fn': 0}",BioLinkBERT-base
suprascapular nerve block,2,other,0,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
poststroke,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
shoulder pain,5,condition,3,"{'tp': 2, 'fp': 0, 'fn': 3}",BioLinkBERT-base
hemiplegia,3,condition,0,"{'tp': 3, 'fp': 0, 'fn': 0}",BioLinkBERT-base
hemiplegic shoulder pain,3,condition,0,"{'tp': 0, 'fp': 3, 'fn': 0}",BioLinkBERT-base
ultrasound - guided suprascapular nerve block,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
hemiplegic,4,condition,3,"{'tp': 0, 'fp': 1, 'fn': 3}",BioLinkBERT-base
ultrasound-guided suprascapular nerve block,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
mild traumatic brain injury,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
pth,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
mtbi,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
post - traumatic headache,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
phosphodiesterase 5 inhibition,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
migraine - like headache,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
phosphodiesterase 5 inhibitor,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
sildenafil,1,drug,1,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
persistent post - traumatic headache,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
persistent post-traumatic headache,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
migraine,1,condition,32,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
headache,1,condition,4,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
post-traumatic headache,1,condition,2,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
paliperidone palmitate,2,drug,0,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
schizophrenia,3,condition,68,"{'tp': 3, 'fp': 0, 'fn': 0}",BioLinkBERT-base
intralipid,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
intralipid emulsion,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
robotic gait training,2,physical,0,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
robotic training,2,physical,0,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
robotic walking,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
trexo robotic gait trainers,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
robotic trainer,2,physical,0,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
robotic gait trainers,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
robotic trainers,1,physical,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
cannot walk,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
difficulty walking on,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
cannot walk independently,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
impairments,1,condition,1,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
intensive,2,physical,0,"{'tp': 0, 'fp': 1, 'fn': 1}",BioLinkBERT-base
nervous system disorders,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
mobility impairments,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
memory decline,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
sdb,4,condition,10,"{'tp': 4, 'fp': 0, 'fn': 0}",BioLinkBERT-base
sleep disordered breathing,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
ad,3,condition,23,"{'tp': 3, 'fp': 0, 'fn': 0}",BioLinkBERT-base
cognitive decline,3,condition,1,"{'tp': 1, 'fp': 1, 'fn': 1}",BioLinkBERT-base
dementia,13,condition,38,"{'tp': 12, 'fp': 1, 'fn': 0}",BioLinkBERT-base
ipa,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
tele - nutrition counseling,2,behavioural,0,"{'tp': 0, 'fp': 2, 'fn': 0}",BioLinkBERT-base
tele - nutrition program,2,behavioural,0,"{'tp': 0, 'fp': 2, 'fn': 0}",BioLinkBERT-base
dietary,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
tele - nutrition,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
ipad,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
##d,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
tele-nutrition,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
dietary advice,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
tele-nutrition program,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
tele-nutrition counseling,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
weight management,2,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 2}",BioLinkBERT-base
youate,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
vibration of the plantar surface of the foot,1,other,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
plantar vibration,1,other,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
peripheral neuropathy,2,condition,4,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
pd,8,condition,79,"{'tp': 7, 'fp': 1, 'fn': 0}",BioLinkBERT-base
rhythmic auditory cueing,2,other,2,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
beathealth,3,other,0,"{'tp': 1, 'fp': 0, 'fn': 2}",BioLinkBERT-base
beathealth device,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
gait auto - rehabilitation program,2,physical,0,"{'tp': 0, 'fp': 2, 'fn': 0}",BioLinkBERT-base
parkinson ' s disease,9,condition,0,"{'tp': 0, 'fp': 9, 'fn': 0}",BioLinkBERT-base
cueing,1,other,1,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
gait auto-rehabilitation program,2,physical,0,"{'tp': 0, 'fp': 0, 'fn': 2}",BioLinkBERT-base
parkinson's disease,8,condition,83,"{'tp': 0, 'fp': 0, 'fn': 8}",BioLinkBERT-base
ttm,12,other,3,"{'tp': 12, 'fp': 0, 'fn': 0}",BioLinkBERT-base
stepped care,4,behavioural,0,"{'tp': 2, 'fp': 2, 'fn': 0}",BioLinkBERT-base
wait list,3,control,0,"{'tp': 1, 'fp': 2, 'fn': 0}",BioLinkBERT-base
trichotillomania,2,condition,3,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
habit reversal training,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
self - help treatment,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
model,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
delayed start,1,control,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
website,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
web - based self - help,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
stepped care model,2,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 2}",BioLinkBERT-base
web-based self-help,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
wait list/delayed start,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
anxiety,2,condition,23,"{'tp': 0, 'fp': 1, 'fn': 1}",BioLinkBERT-base
interactive website,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
in-person habit reversal training,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
psychological treatment,1,behavioural,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
depression,2,condition,28,"{'tp': 1, 'fp': 0, 'fn': 1}",BioLinkBERT-base
waiting list,1,control,1,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
cbt - i,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
group treatment for insomnia,1,behavioural,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
