"nct_id","intervention_type","official_title","description"
NCT02249572,Radiation,Vestibular Schwannoma - Radiosurgery or Expectation,"The purpose of this study is to compare the outcome of patients with vestibular schwannomas in two groups of randomised to either radiosurgery or expectation.

The optimal treatment for a small vestibular schwannoma is a matter of controversy and there are no class 1 studies investigating this. Even the natural tumor growth rate remains controversial and is reported to be from near 100% of cases showing growth to 40-60% in various reports. The clinical results of various treatment strategies are documented, but comparative studies are very few. Immediate radiosurgery or wait-and scan with subsequent treatment upon growth are two strategies that have both been used in many different centers. There are only two studies comparing these treatment modalities .These studies indicate significant effect of GKRS in reducing tumor growth, with less differences in hearing and complaint outcomes. None of the studies are blinded or randomised, allowing for bias.

The present study aims at comparing the two modalities above. To achieve this, we intend to randomise patients with newly diagnosed VS to either of Wait-and Scan or immediate radiosurgery.

The primary study endpoint is the relative tumor size measured as the ratio between tumor volume at four years compared with volume at inclusion. Secondary endpoints include symptom and sign development measured by clinical examination and by patient's responses to standardised validated questionnaires. In addition, the health economics involved with both strategies will be evaluated and compared, as well as the patient's working status.

Patients will be asked to participate if their VS is diagnosed within the last six months, their age is between 18 and 70, and pending there are no exclusion criteria (see below). A power analysis indicates that about 50 patients per group is sufficient.

In case of failure to recruit patients, we will change the design to a study based on patient's own choice of treatment.

The study will be announced according to international guidelines. A steering committee will monitor the study and an intermediate analysis will be performed when the study group has been followed for two years. If the effect aim is already observed, the study should nonetheless continue, as it is too early to evaluate the results after such a short time course.

It will also be discussed to do a follow-up of all patients ten years after inclusion."
NCT02255929,Radiation,Gamma Knife Thalamotomy for Treatment of Essential Tremor,The purpose of this study is to examine effects (good and bad) of gamma knife radiosurgery for essential tremor. The gamma knife places a small lesion in the brain to suppress tremors.
NCT02383004,Other,Acupuncture for the Prevention of Emergence Delirium in Children Undergoing Myringotomy Tube Placement,"Myringotomy tube placement is one of the most commonly performed operations in children. Emergence delirium after such procedures is common. During emergence delirium children can become both a danger to themselves and others around them, including family members and hospital staff.

The primary objective of this study is to determine if acupuncture, when used in combination with standard anesthetic management, decreases the incidence of emergence delirium in pediatric patients following myringotomy tube placement. Patients with and without premedication of midazolam will be included. A secondary objective of this study is to determine our institution's actual incidence of emergence delirium for this operation using a validated scale, the Pediatric Anesthesia Emergence Delirium (PAED) scale. We will also compare rates of emergence delirium in patients that received a premedication of midazolam versus (V) those that did not (NV).

This is a randomized double-blinded trial. We will enroll 100 children aged 1-6 years old. Premedication with midazolam will be decided by the anesthesiologist. If needed, the patient will receive a standard does of oral midazolam plus acetaminophen (V). If the patient does not require premedication with midazolam, oral acetaminophen will be given alone (NV).

Patients will then be randomized to receive either acupuncture with standard general anesthesia care (A) or to receive standard anesthetic care alone (S). Patients, their family members and recovery registered nurses (RNs) will not know if acupuncture was performed. Intraoperative anesthetic techniques will be standardized and include inhaled inductions with nitrous oxide and sevoflurane. Anesthesia maintenance will be inhaled sevoflurane and the usual pain medication ketorolac will be given intramuscularly prior to emergence. Acupuncture needles will be placed after anesthesia induction and removed prior to leaving the operating room. A total of 4 needles will be placed, one in each wrist at the Heart 7 (HT7) point and one in each ear at the Shen Men point. The needles will be inserted bilaterally to a depth of 1.8 mm.

In the PACU, a blinded study observer will evaluate the patient at four time points using the PAED scale: time of awakening and 5, 10 & 15 minutes after awakening. Follow up phone calls will be made one day and one week after surgery. Families will be asked about behavior after discharge, sleep and bed-wetting."
NCT02541032,Procedure,PeRiodontal Treatment to Eliminate Minority InEquality and Rural Disparities in Stroke,"The PREMIERS study is a proposal for conducting an adequately powered two center phase III randomized controlled trial to test whether intensive periodontal treatment reduces the risk of recurrent vascular events among ischemic stroke and TIA survivors. The study uses the resources in both states including established dental centers, Joint Commission Certified Stroke Centers, the Schools of Public Health, and the Institute for Partnerships to Eliminate Health Disparities. The proposal addresses specific issues with regards to recruitment of African-American and rural stroke/TIA patients advocating the use of culturally appropriate strategies to educate the study subjects regarding stroke, periodontal disease and the periodontal stroke link.

The study proposes to utilize economic evaluation of the periodontal intervention from the budgetary perspective. The focus will be on the financial sustainability of providing aggressive periodontal therapy (with certain, although relatively low expenditures) in exchange for a reduction of uncertain recurrent vascular events that may require high cost emergency department utilization and/or inpatient care. The sustainability of the proposed intervention after the completion of the project is integrally linked to the health economic assessment to show the health care cost savings. By integration with a rural primary care center, with an African American majority and households with average incomes below the state average, the study ensures that the proposed intervention to reduce stroke disparity is applicable to this target population."
NCT02572206,Radiation,Demonstration of mGluR5 Overexpression in Amish and Mennonite CNTNAP2 Mutation Carriers,The primary goal of the present study is to evaluate the utility of mGluR5 binding as measured by PET as a biomarker of the CNTNAP2 mutation and related /mTOR kinase pathway dysregulation.
NCT02588300,Procedure,Evaluation of the Upper Airway Collapse in Patients With Obstructive Sleep Apnea Syndrome by Drug Induced Sleep Endoscopy According to the Munich Sleep Video Protocol,"This is a prospective, interventional cohort study of drug-induced sleep endoscopy (DISE). The goal is to evaluate the upper airway in a cohort of patients with obstructive sleep apnea hypopnea syndrome (OSAHS) diagnosed in a prior polysomnography.

This study correlates the sedation level measured by entropy during DISE using propofol via a TCI pump with the local obstruction patterns of the upper airway according to the VOTE classification.

As OSAHS is a widespread disease and the DISE procedure has become a common tool for diagnosis and evaluation of further treatment, a growing number of research articles deal with this topic. These articles are available through pubmed."
NCT02631850,Behavioral,Video Game Rehabilitation for Outpatient Stroke (VIGoROUS): A Multi-center Comparative Effectiveness Trial of In-home Gamified Constraint-induced Movement Therapy for Rehabilitation of Chronic Upper Extremity Hemiparesis.,"The current proposal aims to conduct a multi-site randomized controlled trial comparing virtual-reality gaming delivery of Constraint Induced Movement therapy (CI therapy) with (1) traditional clinic-based CI therapy of equal total active therapy duration and (2) a control group equating the dose of in-person therapy. Individuals with chronic stroke will be randomized to one of four different interventions: (1) traditional clinic-based CI therapy (35 therapist/client contact hours), (2) therapist-as-consultant virtual reality CI therapy (5 therapist/client contact hours in the clinic and 15 hours of independent game play at home), (3) therapist-as-consultant virtual reality CI therapy with additional therapist contact via telerehabilitation (5 therapist/client contact hours in the clinic, 2.6 therapist contact hours via teleconference, and 15 hours of independent game play in the home), and (4) 5 hours of standard occupational therapy (OT) / physical therapy (PT). After 6-month follow-up, individuals assigned to standard OT/PT will cross over to a modified gaming therapy condition (a stand-alone application of the rehabilitation game without additional therapist contact)."
NCT02644980,Other,"Target Controlled Infusion of Etomidate or Propofol for Anesthesia of Thoracoscopic Mitral Valve Replacement Surgery,A Randomized Controlled Double-Blinded Study","For patients requiring the heart valve replacement surgery, heart function is injured in different degree.Thus, minimizing the impact of the anesthesia drug on the cardiovascular system has important clinical meanings. Etomidate has slight effect on the cardiovascular system, often used in the induction of anesthesia, however target controlled infusion etomidate in maintenance of anesthesia is less used. So, the trial is designed to observe the application value of TCI etomidate in thoracoscopic mitral valve replacement surgery."
NCT02843906,Radiation,"Cognitive, Morphological and Neurobiological Progressive Aspects in Bipolar Disorders in the Elderly: Toward to a Neurodegenerescence Detection?","The purpose of this study is to identify association between cerebrospinal fluid Alzheimer's Disease's neurodegenerescence biomarkers (tau, ptau, Aß40 and Aß1-42) and occurrence of cognitive deficits in older patients with bipolar disorders."
NCT03273816,Behavioral,Evaluation of the Benefit Provided by Sessions of Sophrology on the Intraoperative Management of Parkinsonian Patients in the Context of Deep Brain Stimulation Surgery.,"Deep brain stimulation surgery, which consists of intracerebral implantation of electrodes, is considered one of the most effective techniques for controlling the motor fluctuations of Parkinson's disease. The particularity of this surgery is the necessity of the awakening of the patient for the correct positioning of the electrodes, it is therefore a difficult test for the patient.

Medical sophrology is an ideal strategy to optimize the comfort of the patient during the operation thanks to its anxiolytic and analgesic virtues while guaranteeing the maintenance of a good patient vigilance favoring the cooperation with the operating room team. Indeed, sophrology is a body-mediated set of techniques, at the crossroads between hypnosis and yoga, which makes it possible to find a balance between emotions, thoughts and behaviors. It has already been applied in other fields such as oncology, pain management, preparation for childbirth, and for 5 years at the CHU of Rennes for preparation for the intervention of deep brain stimulation."
NCT03288948,Other,Binocular Amblyopia Treatment,To evaluate the effectiveness of enhanced binocular amblyopia treatments in achieving a more complete and stable recovery.
NCT03459118,Behavioral,The Impact of Dementia on Care and Outcomes Associated With a Function Focused Care Intervention Among Residents in Assisted Living Settings.,"This study will evaluate pain, management of pain, behavioral symptoms, and the quality of staff-resident interactions between residents with and without dementia, test the relationship of these variables to participation in function focused care at baseline, and consider if there is a differential impact of FFC-AL-EIT between those with and without dementia with regard to participation in function focused care, functional outcomes and physical activity over the 12 month study period. Findings from this study will provide new information on how to optimize function and physical activity among older adults with dementia in assisted living."
NCT03504150,Behavioral,Comparative Effectiveness of Two Self-guided Web-based Interventions for Youth and Young Adults With Migraine,This randomized controlled trial will compare the effectiveness of two online self-guided programs for youth and young adults with migraine against usual care.
NCT03517787,Other,"The Effect of Functional Electrical Stimulation and Therapeutic Exercise on Functional Properties of Skeletal Muscles, Sitting Postural Stability and Quality of Life in Traumatic Spinal Cord Injury Patients","Aim of the current study is to evaluate the effect functional electrical stimulation and therapeutic exercise on traumatic spinal cord injured participants'skeletal muscle characteristics, sitting balance, lung function and quality of life."
NCT03684577,Behavioral,Efficacy of Hypnotherapy Compared to a Wait-list Control Group in the Treatment of Agoraphobia,The purpose of the study is to compare the efficacy of Hypnotherapy for the treatment of Agoraphobia compared to a wait-list control group.
NCT03712917,Procedure,"Comparison of Therapeutic Effects of Greater Occipital Nerve Block, Topiramate, and Flunarizine on Episodic Migraine: A Randomised Parallel Group Study","Background: Preventive drug therapy in migraine aims to reduce the attack frequency, severity and duration of headache. Flunarizine and topiramate are widely used in the prevention of migraine attacks. Greater occipital nerve block (GONB) is an alternative treatment option for the prophylactic treatment of migraine. In this study, investigators compared the effectiveness of GONB, topiramate, and flunarizine in terms of reduction in post-treatment VAS scores and attack frequencies in patients with episodic migraine in a four-week period.

Material and Methods: At least one hundred and twenty migraine patients are aimed to be randomly divided into three treatment groups, namely flunarizine (n=40, estimated), topiramate (n=40, estimated) and GONB (n=40, estimated). The patients will be followed up for four weeks and the attack frequencies and VAS scores will be recorded weekly. At the end of the fourth week, the response rates based on 50% and 75% or more reduction in the VAS scores and attack frequencies will be calculated. Group-wise comparisons will be assessed statistically."
NCT03747848,Behavioral,A Treatment Protocol for Management of Fatigue in Parkinson's Disease Using Cognitive Behavioral Therapy,"Fatigue affects more than half of people living with Parkinson's disease. Despite its prevalence, treatment options remain limited. To improve patient outcome, a group treatment protocol was developed for PD fatigue management primarily using cognitive behavioral therapy. The program focuses on assisting individuals with PD who experience fatigue to establish proper sleep hygiene habits and a physical exercise routine to meet the end goal of reducing fatigue. The aim of the group is to change negative thoughts and behavior regarding changing sleep hygiene habits and exercise behavior into positive ones. This is a feasibility project that aims to explore the feasibility of this protocol as well as to produce a treatment protocol that is able to be replicated by other occupational therapists and health professionals who serve the PD population."
NCT03963258,Other,Short-Term Effects of Whole-Body Vibration on Upper Extremity Function in Subjects With Poststroke Hemiplegia,To investigate the effect of whole body vibration on upper limb motor function in hemiplegic patients with subacute stroke
NCT04057677,Behavioral,Exercise Training as an Intervention to Improve Muscle Function and Recovery Following Bed Rest in Older Adults With Type 2 Diabetes,"The purpose of this research is to gather data on how exercise can help recovery of muscle mass, strength, and physical function after bedrest in older adults with pre-diabetes and type 2 diabetes."
NCT04123223,Behavioral,Comparing Cognitive Remediation Approaches for Schizophrenia,"This research compares the relative efficacy of two empirically-supported, standardized programs of cognitive remediation for treatment of cognitive deficits and community function in schizophrenia to help inform best practices. The proposed study advances public health by developing and evaluating new behavioral techniques for improving psychosocial outcome in individuals diagnosed with schizophrenia."
NCT04156607,Other,The Effects of Kinesiotaping on Balance in Children With Down Syndrome.,This study aimed to explore the effects of Kinesio tape applied to plantar soles on balance in children with Down Syndrome (DS). Two groups including children with DS and a group with their typically developing peers evaluated. Half of the children with DS took Kinesio tape application to the plantar soles and the other half took sham taping application. All children evaluated with dynamic and static balance measurements and DS children evaluated immediately after taping and 45 minutes after taping again with the same measurements.
NCT04256382,Other,Dementia Pain Management Knowledge Scale Development and Impact of an Educational Program on Hospital Nurses' Knowledge Evaluation,This study aims to develop and test a scale for exploring hospital nurses' knowledge about dementia pain and dementia pain management.
NCT04405596,Other,Ambroxol as a Novel Disease Modifying Treatment for Lewy Body Dementia,"This is a randomized, placebo-controlled, double-blind study investigating whether the medication Ambroxol is safe,effectiveness and well tolerated for the treatment of Lewy Body Dementia (LBD). Currently the main treatments for patients with LBD target symptom management. However, none of the medications treat the underlying cause of the disease, which includes the accumulation of protein in the brain. Therefore, even if patients respond well to symptomatic treatment, they continue to deteriorate. Therefore, the purpose of the current study is to make sure Ambroxol is safe to take long term and to test the effects of Ambroxol in treating the cognitive impairments associated with LBD by modifying the underlying causes of the disease.

There will be a total of 15 people participating this this study, which will last 52 weeks. Over the study period patients will undergo clinical, neuropsychological and neuroimaging assessment to assess changes."
NCT04492696,Other,Comparison of Concussion Education Programs and Intent to Report Concussion in High School Football Athletes,"Importance: Concussion underreporting leads to delays in diagnosis and treatment, resulting in prolonged recovery. Athletes' report of concussion symptoms is therefore an important component of risk reduction. Numerous educational interventions to improve concussion knowledge and reporting exist.

Objective: Evaluate the comparative efficacy of three concussion education programs in improving concussion-reporting intention.

Design: Randomized clinical trial conducted from August 2018 to October 2018, with assessment before, immediately after, and one-month after educational intervention."
NCT04500795,Procedure,Prospective Study on the Use of Middle Meningeal Artery Embolization for Chronic Subdural Haematoma,"Subdural haematoma is a common neurosurgical condition that results in different levels of neurological deficits in patients. It can be further classified into acute and chronic, which have different pathophysiology. Acute haematoma is a common result of traumatic injuries involving the tearing of the bridging veins, while chronic subdural haematoma can be both a result of traumatic injuries or recurrence following surgical management of the acute counterpart. For symptomatic patients, they are often surgically managed by haematoma drainage via burr-hole drainage and craniotomy. Recurrent bleeding following close monitor or surgical evacuation of haematoma is however very high. Recent studies approximate the recurrence rate of 2%-33.3%. Recent evidence suggests the angiogenesis of middle meningeal arteries (MMA) in response to inflammation and healing process contributes to the development of chronic subdural haematoma, and its high recurrence chance. Several studies have looked into the use of middle meningeal artery embolization to halt the bleeding of a chronic subdural haematoma, and have found promising results in terms of haematoma reduction and prevention of surgical rescues."
NCT04555616,Behavioral,Environmental Design for Behavioral Regulation in People With Dementia,"Individuals with dementia present with changes in behaviors throughout the continuum of cognitive decline. Environmental features may be influential in behavioral regulation. The purpose of this study is to assess the feasibility of environmental design protocols in older adults with dementia and their caregivers. Thirty subjects with moderate to severe Alzheimer's disease as primary dementia type, and their caregivers, will be randomly assigned to one of three arms: standard care; standard environmental design protocol; or personalized environmental design protocol."
NCT04653688,Radiation,A Prospective Study on Markers of Disease Progression and Gait Within the Parkinsonian Population,"The aim of the project is to evaluate disease progression of patients with Parkinsonian syndrome of various severity through regular home-based gait parameters analysis.

We identified several steps in this project:

Acquisition of gait data in 120 patients with Parkinsonism at different stages in hospital and ecological condition (during 10 days at home), in a repetitive manner:

30 Early PD patients, before 3 years of disease duration (MDS criteria, 2018)
30 PD patients with motor fluctuations (5 to 8 years of disease duration) (MDS criteria, 2018)
30 PD patients with FoG (10 years of disease duration) (MDS criteria, 2018)
30 patients with MSA (less than 5 years after the first symptom)
Control groups will be composed by 30 healthy volunteers Correlation analysis with clinical measurements and biomarkers, namely blood biomarkers for neurodegeneration (4HN, NFLT …) and multimodal MRI repeated assessments (Iron overload, inflammation and degeneration) and genetic panel for common haplotypes involved in Parkinsonism."
NCT04654286,Procedure,Clinical Outcomes of Human Amniotic Membrane and Allogeneic Mesenchymal Stem Cells Composite Augmentation for Nerve Transfer Procedure in Brachial Plexus Injury Patients,The purpose of this clinical trial is to investigate the utility of composite wrapping comprising human amniotic membrane and allogeneic adipose-derived mesenchymal stem cells (HAM-AdMSC) for augmentation of nerve transfer procedure in upper TBPI patients
NCT04673058,Procedure,Effectiveness of Spinal Manipulation in Addition to Standard Pharmacological Treatment in Fibromyalgia : A Blinded Randomized Clinical Trial,"The aim of this study is to evaluate whether spinal manipulation, which is a potential treatment method for musculoskeletal pain, has an additional contribution in patients with fibromyalgia receiving standard pharmacological treatment."
NCT04732065,Radiation,"PNOC023: Open Label Phase 1 and Target Validation Study of ONC206 in Children and Young Adults With Newly Diagnosed or Recurrent Diffuse Midline Glioma (DMG), and Other Recurrent Primary Malignant Central Nervous System (CNS) Tumors","This phase I trial studies the effects and best dose of ONC206 alone or in combination with radiation therapy in treating patients with diffuse midline gliomas that is newly diagnosed or has come back (recurrent) or other recurrent primary malignant CNS tumors. ONC206 is a recently discovered compound that may stop cancer cells from growing. This drug has been shown in laboratory experiments to kill brain tumor cells by causing a so called ""stress response"" in tumor cells. This stress response causes cancer cells to die, but without affecting normal cells. ONC206 alone or in combination with radiation therapy may be effective in treating newly diagnosed or recurrent diffuse midline gliomas and other recurrent primary malignant CNS tumors."
