"nct_id","conditions","intervention_types","intervention_names"
NCT01418976,"Brain Injuries, Traumatic|Difficulties, Ambulation",Behavioral,Intensive Mobility Training (IMT)
NCT01429077,Nonfluent Aphasia|Stroke,Drug,Placebo comparator|levodopa/carbidopa
NCT01433315,Sleep Deprivation,Behavioral,sleep restriction
NCT01437644,Cerebral Palsy|Post-operative Pain,Drug,botulinum toxin intramuscular injection
NCT01444898,Prader-Willi Syndrome,Drug,Exenatide
NCT01448473,Head Trauma,Other,"2-views serie|4-views series"
NCT01475383,Tourette's Syndrome,Drug,PF-03654746|Placebo
NCT01492920,Fatigue|Malignant Ovarian Mixed Epithelial Tumor|Neuropathy|Neurotoxicity Syndrome|Ovarian Brenner Tumor|Ovarian Clear Cell Cystadenocarcinoma|Ovarian Endometrioid Adenocarcinoma|Ovarian Mucinous Cystadenocarcinoma|Ovarian Serous Cystadenocarcinoma|Pain|Recurrent Fallopian Tube Carcinoma|Recurrent Ovarian Carcinoma|Recurrent Primary Peritoneal Carcinoma,Dietary Supplement|Other,Acetyl-L-Carnitine Hydrochloride|Placebo|Quality-of-Life Assessment|Questionnaire Administration
NCT01495923,Radiculopathy|Sciatica,Drug|Procedure,Gabapentin|Placebo gabapentin|Sham epidural steroid injection|epidural steroid injection
NCT01515839,Traumatic Brain Injury,Dietary Supplement,Multivitamin Supplement intervention
NCT01518439,Chronic Respiratory Failure|Coughing|Neuromuscular Disease,Device|Other,Alpha 200®|Alpha 200® + physiotherapist|Cough Assist®|Cough Assist® + physiotherapist|physiotherapist
NCT01530620,"Bladder Disorder, Neurogenic|Neurogenic Bladder Disorder|Neurogenic Urinary Bladder Disorder|Overactive Detrusor Function|Urinary Bladder Disorder, Neurogenic|Urinary Bladder Neurogenic Dysfunction|Urinary Bladder, Neurogenic|Urinary Incontinence|Urologic Diseases",Drug,Propiverine hydrochloride ER (extended release)|Propiverine hydrochloride IR (immediate release)
NCT01537757,Alzheimer's Disease,Drug,MK-8931
NCT01540604,Becker Muscular Dystrophy|Duchenne Muscular Dystrophy,Drug,CRD007
NCT01550718,Dementia,Behavioral,ESML-EX (Physical Activity Program)|ESML-Social (Social Activity Program)
NCT01554527,"Attention Deficit Disorder With Hyperactivity|Child Behavior Disorders|Disorders of Excessive Somnolence|Sleep Apnea Syndromes|Sleep Apnea, Obstructive",Other|Procedure,CPAP treatment|No CPAP treatment
NCT01556165,Parkinson's Disease,Drug,placebo|rasagiline
NCT01596608,Depressive Disorder|Obsessive-Compulsive Disorder|Schizoaffective Disorder|Schizophrenia,Device,Magnetic Seizure Therapy (MagPro MST)
NCT01603446,MELAS Syndrome,Drug,L-Arginine
NCT01607151,Intracerebral Hemorrhage,Other,Hypothermia|Normothermia
NCT01609348,Alzheimer's Disease|Depression,Drug,Placebo|Venlafaxine
NCT01611987,Multiple Sclerosis,Other,General guideline approach|MStep
NCT01621737,Schizophrenia,Drug,Oxytocin|Placebo
NCT01626885,Schizophrenia,Drug,MP-214
NCT01662310,Schizophrenia,Drug,Paliperidone|Placebo
NCT01678755,Schizophrenia,Drug,ABT-126|Placebo
NCT01703988,Spinal Muscular Atrophy,Drug,Nusinersen
NCT01738893,Epilepsy,Drug,Gabapentin 300 mg
NCT01741532,Pantothenate Kinase-Associated Neurodegeneration,Drug,Deferiprone oral solution|Placebo
NCT01748656,Obesity Hypoventilation Syndrome,Device,AVAPS|IVAPS
NCT01757873,Postherpetic Neuralgia,Drug,Placebo|Z160
NCT01770678,Cerebral Palsy,Other,Constraint Induced Movement Therapy
NCT01788696,Parkinson Disease,Radiation,Group A - Early Imaging|Group B - Delayed Imaging
NCT01798329,Hepatic Encephalopathy,Dietary Supplement,probiotic VSL#3
NCT01810640,Brain Death|Liver Disease,Procedure,Percutaneous Liver Biopsy
NCT01822938,Stroke,Other,incentive program for physical activity
NCT01829009,Sarcopenia,Other,Resistance Exercise Group
NCT01831414,Spinal Cord Injury,Other,Water immersion at cervical level|Water immersion at xyphoid level
NCT01848509,Sleep Apnea,Device,With teletransmission
NCT01866384,Cerebral Hemorrhage|Hypothermia,Other|Procedure,Normal Temperature|mild induced hypothermia
NCT01867268,Dermal Sinus|Fibrolipoma of Filum Terminale|Lipomyelomeningocele|Split Cord Malformation|Tethered Cord Syndrome|Tumor,Drug|Other,Acetazolamide|Acetazolamide+ prone positioning|prone positioning
NCT01873547,Spinal Cord Injury,Biological|Other,cell therapy|rehabilitation
NCT01875445,Hair Pulling|Trichotillomania,Drug,Inositol|Placebo
NCT01876667,Stroke,Other,Intervention (CPCRS) Group|Placebo
NCT01881360,Fibromyalgia,Other,Gluten-free diet|Hypocaloric diet
NCT01945151,Cerebrovascular Accident,Other,Group 2 (G2) NMES is applied in the spastic muscle (gastrocnemius).
NCT01966172,Analgesia|Postoperative Pain,Drug,Gabapentin|Ibuprofen|Morphine|Paracetamol
NCT01995825,Epilepsy,Drug,Brand lamotrigine|Generic lamotrigine
NCT01997255,Sturge Weber Syndrome,Drug,Everolimus
NCT02011321,"Cerebral Aneurysm|Subarachnoid Hemorrhage|Vasospasm, Intracranial",Drug,clevidipine
NCT02016638,"High-Risk Pregnancy|Infant, Very Low Birth Weight|Obstructive Sleep Apnea|Pregnancy Induced Hypertension|Restless Leg Syndrome",Other,Polysomnography and ambulatory blood pressure recording
NCT02029547,Alzheimer's Disease,Drug,Florbetapir (18F)
NCT02034188,Multiple Sclerosis,Biological,Umbilical cord mesenchymal stem cells
NCT02038608,Parkinson's Disease,Device,PET
NCT02058940,Brain Injuries,Drug,Exenatide
NCT02065284,Ambulation Difficulty|Multiple Sclerosis,Other,Rhythmic Auditory Stimulation (RAS)
NCT02069314,Sarcopenia,Dietary Supplement,Carbohydrate (polycose) supplementation|Whey protein supplementation
NCT02098759,Epilepsy|TSC|Tuberous Sclerosis Complex,Device,epilepsy early diagnosis protocol
NCT02099383,Dehydration|Stroke,Other,normal saline
NCT02117726,Delirium,Drug,"Dexmedetomidine,midazolam|Propofol,midazolam"
NCT02119078,Age-Related Cognitive Decline|Delirium|Drug-Related Side Effects and Adverse Reactions|Frail Elderly|Hospital Acquired Pressure Ulcer,Other,Acute Care of Elders focused geriatric care
NCT02127294,"Foramen Ovale, Patent|Migraine",Device,transcatheter patent foreman ovale closure
NCT02139436,Spinal Cord Injury,Other,Arms-only-row training|FES-row-training|Time Control
NCT02157805,Sarcopenia,Other,beef meat
NCT02167022,Cerebral Palsy,Other,Physical and occupational therapy
NCT02195895,Bone Loss|Osteoporosis|Spinal Cord Injury,Dietary Supplement|Drug,Alendronate|Calcium|Vitamin D
NCT02241434,Duchenne Muscular Dystrophy,Biological,Stem Cell
NCT02245724,Mental Retardation,Biological,Stem Cell
NCT02252770,Argininosuccinate Lyase Deficiency|Argininosuccinic Aciduria|Urea Cycle Disorders,Dietary Supplement,Nitric oxide supplement|Placebo
NCT02253732,Alzheimer Disease|Healthy Volunteers|Mild Cognitive Impairment|Parkinson Disease,Behavioral,"3 months exercise intervention program"
NCT02274558,Tardive Dyskinesia,Drug,NBI-98854|Placebo
NCT02281097,Postural Orthostatic Tachycardia Syndrome,Other,Placebo|Stimulation
NCT02304913,Acupuncture|Cancer|Chemotherapy|Dysgeusia|Taste Disorders,Behavioral|Other,Dietary recommendations|Hypoglossal acupuncture|Sham acupuncture
NCT02311036,Cerebrovascular Diseases,Other,Comprehensive Rehabilitation
NCT02350127,Alzheimer's Disease|Dementia,Behavioral,Preventing Loss of Independence through Exercise (PLIE)|Usual Care
NCT02374567,Anxiety Disorders|Dementia|Depression|Psychosomatic Disorders|Schizophrenia,Drug,Acamprosate|Agomelatine|Alprazolam|Amisulpride|Amitriptyline|Amitriptyline oxide|Aripiprazole|Benperidol|Biperiden|Bromazepam|Bromperidol|Brotizolam|Bupropion|Buspirone|Carbamazepine|Chloral Hydrate|Chlorprothixene|Citalopram|Clobazam|Clomethiazole|Clomipramine|Clonazepam|Clozapine|Diazepam|Diphenhydramine|Donepezil|Doxepin|Duloxetine|Escitalopram|Fluoxetine|Flupentixol|Fluphenazine|Flurazepam|Fluspirilene|Fluvoxamine|Gabapentin|Galantamine|Haloperidol|Hydroxyzine|Imipramine|Lacosamide|Lamotrigine|Levetiracetam|Levomepromazine|Lithium|Lorazepam|Lormetazepam|Maprotiline|Melatonin|Melperone|Memantine|Mianserin|Midazolam|Mirtazapine|Moclobemide|Nicergoline|Nitrazepam|Nortriptyline|Olanzapine|Opipramol|Oxazepam|Oxcarbazepine|Paliperidone|Paroxetine|Perazine|Perphenazine|Phenobarbital|Phenytoin|Pimozide|Pipamperone|Piracetam|Pregabalin|Promethazine|Prothipendyl|Pyritinol|Quetiapine|Reboxetine|Risperidone|Rivastigmine|Sertindole|Sertraline|Sulpiride|Temazepam|Thioridazine|Tiapride|Topiramate|Tranylcypromine|Trazodone|Triazolam|Trimipramine|Valproic Acid|Venlafaxine|Zaleplon|Ziprasidone|Zolpidem|Zopiclone|Zuclopenthixol
NCT02388152,Alzheimer Disease,Drug,"Lu AF20513, double high dose|Lu AF20513, high dose|Lu AF20513, low dose|Lu AF20513, medium dose"
NCT02396082,Caregiver Burden|Dementia,Behavioral|Other,Augmented Usual Care|MIND-S Intervention
NCT02422173,Stroke,Device,Anodal transcranial direct current stimulation|Bilateral transcranial direct current stimulation|Cathodal transcranial direct current stimulation|Sham transcranial direct current stimulation
NCT02425527,"Brain Injuries|Brain Injuries, Traumatic|Injury, Brain, Traumatic|TBI (Traumatic Brain Injury)|Traumatic Brain Injury",Behavioral,The entertaining gaming|The rehabilitation gaming
NCT02427607,Epilepsy,Drug,Perampanel
NCT02429596,Epilepsy,Drug,Experimental
NCT02443701,Muscle Weakness|Sports Performance,Other,Exercise|LASER|NMES
NCT02444065,Bulimia Nervosa|Eating Disorder,Behavioral,Cognitive Behavior Therapy (CBT)|Motivational Interviewing (MI)
NCT02453893,Schizophrenia,Drug,Iloperidone|Risperidone
NCT02467153,Muscle Atrophy|Osteoporosis|Sarcopenia,Dietary Supplement|Other,Placebo|RET|Vitamin D3
NCT02473016,Trigeminal Neuralgia,Drug,Carbon Dioxide Drug Delivery System (CDDS)
NCT02481232,Meningococcal Meningitis,Biological,freeze-dried group ACYW135 MCV
NCT02490943,Erythema|MS (Multiple Sclerosis),Other,Cold Compress After Injection|Warm Compress Before Injection
NCT02500030,Neuromuscular Diseases,Procedure,Air Stacking|Glossopharyngeal Breathing
NCT02501434,"Aneurysmal Subarachnoid Hemorrhage|Heparin-induced Thrombocytopenia Type II|Intracranial Aneurysm|Neurobehavioral Manifestations|Vasospasm, Intracranial",Drug,Continuous Low-Dose IV Unfractionated Heparin Infusion
NCT02503098,Binge Eating Disorder|Bulimia Nervosa|Eating Disorders,Behavioral,Recovery Record adaptive smartphone application|Recovery Record standard smartphone application
NCT02507986,Atrial Fibrillation|Ischemic Stroke|Transient Ischemic Attack,Device,"7-Day Holter monitor.|Single lead ECG device"
NCT02522351,Dysphagia|Stroke,Other,Cereal extract concentration 1|Cereal extract concentration 2|Cereal extract concentration 3|Thicken up clear concentration 1|Thicken up clear concentration 2|Thicken up clear concentration 3
NCT02527590,Neuropathic Pain,Other,no stimulation (control)|pneumatic stimulations (healthy area)|pneumatic stimulations no auditory masking|pneumatic stimulations with audidory masking|pneumatic stimulations(allodynic area)
NCT02538445,Schizophrenia,Other,Memorization of the action verbs by means of another word|Memorization of the verbs by imagining the action|Memorization of the verbs by miming the action|Simple memorization of the verbs
NCT02551705,Huntington's Disease,Other,functional Imaging
NCT02553993,Stroke,Device|Other,Conventional weight-shifting(30 Mins)|Tetrax biofeedback(30 Mins)|Wii Fit(30 Mins)
NCT02555215,"Multiple Sclerosis, Relapsing-Remitting",Drug,dimethyl fumarate
NCT02566720,Acquired Brain Injury|Coma|Minimally Conscious State|Persistent Vegetative State|Traumatic Brain Injury,Drug|Procedure,Amantadine|MRI Tractography Study
NCT02571335,Multiple Sclerosis,Behavioral,Intensive Training|Normal Training
NCT02572206,Schizophrenia,Device|Radiation,MRI scan|PET/SPECT Scan
NCT02576587,Atrial Fibrillation|Sleep Apnea,Other,Continuous Positive Airway Pressure
NCT02583386,Multiple Sclerosis,Behavioral|Other,Electronic Fall Detector|Free From Falls fall prevention program
NCT02589262,Schizophrenia,Drug,AUT00206
NCT02628561,Cerebral Infarction|Cerebrovascular Disorders|Stroke,Behavioral|Device,Constraint-Induced Movement Therapy|Transcranial direct current stimulation
NCT02632279,Parkinson's Disease,Device|Dietary Supplement,Placebo|Stimulator OFF|Stimulator ON|Tryptophan (TRP) depletion
NCT02633709,Spinal Muscular Atrophy,Drug|Other,Itraconazole|Placebo|Risdiplam
NCT02644473,Deep Vein Thrombosis|Myocardial Infarction|Pulmonary Embolism|Stroke,Drug,Normal saline|Tranexamic Acid
NCT02647242,Parkinson's Disease,Behavioral,Auto rehabilitation program of gait with Beat Health device.
NCT02676375,Schizophrenia|Smoking Cessation,Drug|Other,Combination Bupropion + NRTs|Extended Treatment|Home Visits & Calls|Monotherapy
NCT02680704,"Brain Injuries|Critical Illness|Intracranial Hypertension|Lung Injury|Positive-Pressure Respiration, Intrinsic|Respiratory Failure",Other,PEEP titrated mechanical ventilation
NCT02690896,Alzheimer's Disease|Dementia,Behavioral,Community Support Groups|UCF Caregiver Support Group
NCT02697721,Alzheimer Disease|Caregivers|Dementia,Behavioral|Other,Control with delayed intervention|Powerful Tools for Caregivers
NCT02699346,Brain Concussion|Brain Injuries,Device,HS-1000 recording
NCT02713464,Kernicterus,Behavioral,maternal education
NCT02724865,Obstructive Sleep Apnea,Device,Herbst® (Oral appliance therapy)|Somnodent® (Oral appliance therapy)
NCT02751268,Emergence Agitation|Pain,Drug,Normal Saline|Ropivacaine
NCT02751905,Neuropathic Pain,Drug,BIIB074
NCT02757053,"Athletic Injuries|Brain Concussion|Brain Injuries|Diffuse Axonal Injury|Injury, Brain, Traumatic",Device,Guardian Cap
NCT02775136,"Brain Injuries|Brain Neoplasms|Hydrocephalus|Subarachnoid Hemorrhage|Vasospasm, Intracranial",Device,HS-1000 recording
NCT02800460,Parkinson Disease,Procedure,fMRI-3T
NCT02801630,Trigeminal Neuralgia,Device,PainShield SAW Patch Device
NCT02820441,"Sleep Apnea, Central|Ventricular Dysfunction",Drug,Placebo|Zopiclone
NCT02829801,Alzheimer Disease,Behavioral,AAT and cognitive stimulation and rehabilitation of social tie.|Cognitive stimulation and rehabilitation of social tie.
NCT02840643,Cerebral Palsy|Hemiplegia,Behavioral,Bimanual hand therapy|Constraint therapy
NCT02842853,Meningitis|Meningococcal Infections|Meningococcal Meningitis,Biological,"Meningococcal (Groups A, C, Y and W-135) Polysaccharide Diphtheria Toxoid Conjugate Vaccine|Meningococcal Polysaccharide (Serogroups A, C, Y, and W) Tetanus Toxoid Conjugate Vaccine"
NCT02846415,Alzheimer Disease|Dementia,Behavioral,Play Intervention for Dementia
NCT02848898,Multiple Sclerosis,Device|Other,Equistasi|Placebo
NCT02850055,Tinnitus,Other,Conventional Physiotherapy|Specific Manual Therapy
NCT02856035,Stroke,Other,Neural feedback plus FES and motor training
NCT02866240,Refractory Epilepsy,Device,Cathodal Transcranial Direct Current Stimulation (tDCS).
