"nct_id","conditions","intervention_types","intervention_names"
NCT00958607,Caregiver Mental Health|Caregiver Participation|Caregiver Sense of Control Over Life|Caregiver Social Support|Stroke,Behavioral,Self-directed program|Timing it Right Stroke Family Support Person Intervention
NCT00984308,Hypertension|Obstructive Sleep Apnea|Stroke|Transient Ischemic Attack,Procedure,CPAP Therapy for Newly Diagnosed Obstructive Sleep Apnea (OSA)
NCT00988351,Obstructive Sleep Apnea,Device,Auto-adjusting positive airway pressure treatment|Continuous positive airway pressure
NCT00995553,Schizoaffective Disorder|Schizophrenia,Behavioral,Cognitive Remediation|Computer Skills
NCT01019343,Dystonia|Movement Disorders|Parkinson's Disease|Tic Disorders|Tourette's Syndrome,Device|Diagnostic Test|Other|Procedure,"Arm Intellistretch Device|Behavioral tasks|EEG|EMG|Eye-tracking Device|Gait Trainer Treadmill (GTT)|MEG|MRI techniques|Peripheral Nerve Stimulation|Pulsed vibrator|QMAT|Standard psychiatric scales SCID-I, YBOCS and SCI-OBS-lifetime and cognitive scales MMSE and MOCA|TMS single/paired pulse|Trancutaneous spinal direct current stimulation (tsDCS)|Transcranial Direct Current Stimulation (tDCS)|Transcranial Sonography (TCS)|Treadmill Test|iMobility"
NCT01026298,Asthma|Obstructive Sleep Apnea,Other,FDA-Approved Treatment
NCT01029912,Hemiparesis|Lower Extremity Paresis|Stroke,Device,Electrical stimulator
NCT01037686,Deep Brain Stimulation|Parkinson's Disease,Behavioral|Device|Radiation,Injection of 15mCi of Tc-ECD and scanning by SPECT camera|Semantic verbal fluency task performance|Turning off the stimulator
NCT01038336,"Hearing Loss, Noise-Induced",Behavioral,Hearing Conservation Brochure|Multimedia Hearing Loss Prevention Program
NCT01050972,Cervical Pain|Migraine|Tension Type Headache,Behavioral,"Behavioral: Cognitive, Relaxation, Exercise Therapy"
NCT01118988,Chronic Daily Headaches|Chronic Pain|Complex Regional Pain Syndrome (CRPS)|Fibromyalgia|Functional Abdominal Pain|Irritable Bowel Syndrome (IBS)|Migraine Headaches|Myofacial Pain,Behavioral,Mentorship
NCT01119469,Hypochondriasis|Somatoform Disorders,Behavioral,Psychotherapy (CT or ET)
NCT01122381,"Headache, Migraine",Other,placebo comparator
NCT01128361,Alzheimer's Disease,Behavioral,Aerobic Exercise|Stretching
NCT01135303,Sleep Apnea Syndromes,Device,VistaO2 device
NCT01166828,Pressure Ulcers|Spinal Cord Injury,Behavioral,TELLEPUPPS
NCT01168245,Alzheimer Disease|Mild to Moderate,Device,NICE-System|Sham-NICE-System
NCT01175993,Adult|Traumatic Brain Injury|fMRI,Other,Elliptical exercise
NCT01206829,"Hearing Loss|Mental Fatigue|Stress, Psychological|Tinnitus",Behavioral,"8 session cognitive behavioral therapy|8-session CBTcourse"
NCT01217502,Hearing Loss|Low Vision,Behavioral,Self management program|self management program
NCT01223781,Gait|Parkinson Disease,Behavioral,Biofeedback-based motor learning for PD
NCT01225263,Migraine,Other,Placebo
NCT01259427,Bipolar Disorder|Major Depression With Psychotic Features|Schizoaffective Disorder|Schizophrenia,Behavioral,Ending Self Stigma (ESS)|Health and Wellness Group
NCT01261390,Obstructive Sleep Apnea,Behavioral|Device,Active PAP with Behavioral Modification (Active+Beh)|Active PAP with RT Support (Active-Beh)|Conservative Medical Therapy (CMT)|Sham PAP (Sham)
NCT01261780,"Neuropathy, Paraneoplastic",Device,MC-5A
NCT01279655,Multiple Sclerosis,Behavioral|Device,Bimanual Training|tDCS
NCT01282307,Schizophrenia,Behavioral,Guided Self-Determination GSD
NCT01292577,Schizoaffective Disorder|Schizophrenia,Behavioral,CET/PT|Treatment as Usual
NCT01294137,Ageing|Sleep Apnea,Device,ventilatory polygraphy
NCT01308801,Fibromyalgia,Device,active rTMS + rehabilitation exercise|placebo rTMS+ rehabilitation exercise
NCT01333566,Fibromyalgia,Behavioral,Intervention Group|Placebo Comparator: Control Group
NCT01343667,"Arterial Occlusive Diseases|Brain Diseases|Cardiovascular Diseases|Carotid Artery Diseases|Carotid Stenosis|Central Nervous System Diseases|Cerebrovascular Disorders|Constriction, Pathologic|Nervous System Diseases|Pathological Conditions, Anatomical|Vascular Diseases",Device,Gore Embolic Filter|Gore Flow Reversal System
NCT01362959,Delirium|Nicotine Replacement Therapy|Psychomotor Agitation|Substance Withdrawal Syndrome,Other,"Cutaneous patch, containing no active substances"
NCT01407341,Adult Spinal Cord Neoplasm|Spinal Bone Metastases|Spinal Cord Compression,Other|Procedure,bone graft|musculoskeletal complications management/prevention|quality-of-life assessment|questionnaire administration
NCT01427088,Schizophrenia,Device,"CR Technology, TAMAS for repetitive TMS"
NCT01432418,Movement Disorders,Other,Wheelchair skills training program
NCT01432613,"Dermatomyositis|Myositis|Myositis, Inclusion Body|Polymyositis",Procedure,MRI-oriented muscle biopsy
NCT01445613,Amaurosis Fugax|Carotid Artery Disease|Stroke|Transient Ischemic Attack (TIA),Device,RX Acculink Carotid Stent System (RX Acculink)
NCT01446601,Obstructive Sleep Apnea,Device,Hypoglossal Nerve Stimulation (HGNS) System (Apnex Medical )
NCT01450735,Carpal Tunnel Syndrome,Device,MANOS CTR™
NCT01458470,Huntington Disease,Other,Placebo
NCT01462084,Central Sleep Apnea (Diagnosis)|Chronic Opioid Use|Obstructive Sleep Apnea,Device,Adaptive servo-ventilation (ASV)|Bi-Level PAP
NCT01465269,Traumatic Brain Injury,Behavioral,Alternative Intervention|Group Interactive Structured Treatment
NCT01481558,Alzheimer's Disease|Apathy,Device,Transcranial direct current stimulation
NCT01487018,Zygomatic Fractures,Procedure,Navigation Surgery|Traditional Surgery
NCT01538095,Central Nervous System Neoplasm|Solid Neoplasm,Other|Procedure,Dynamic Contrast-Enhanced Magnetic Resonance Imaging|Laboratory Biomarker Analysis|Pharmacological Study
NCT01544738,Parkinson Disease,Other,Aponeurotic stimulation (the diacutaneous fibrolysis method)|Placebo stimulation
NCT01548781,Stroke,Behavioral,Impairment-based robotic intervention for reaching function
NCT01567943,Alcohol Abuse|Bipolar Disorder|Major Depressive Disorder|Schizophrenia,Behavioral,Contingency Management
NCT01573936,Acquired Brain Injury|Poliomyelitis|Spinal Cord Injury,Other,"Physical therapy, occupational therapy, psycotherapy, medical consultations"
NCT01575002,Chronic Pain|Corneal Pain|Neuropathic Pain,Device,Transcranial Direct Current Stimulation (tDCS)
NCT01579604,Cervical Spinal Cord Injury|Paresis|Plegia|Tetraplegia,Procedure,Nerve reconstruction
NCT01594528,Major Depression|Schizophrenia,Other,pain tests
NCT01612689,Epilepsy,Device,Accelerometer Device
NCT01623726,Schizophrenia|Transcranial Direct Current Stimulation,Procedure,Transcranial Direct Current Stimulation (tDCS)
NCT01639391,Amyotrophic Lateral Sclerosis,Procedure,skin biopsy
NCT01640041,Hemiparesis,Device,Radio-frequency Microstiumulator
NCT01648777,Analgesia|Cardiac Surgery|Critical Care Medicine|Multiperforated Catheter|Pneumonia,Device,L bupivacaine
NCT01651819,HTLV-1|Tropical Spastic Paraparesis,Procedure,Urological physical therapy
NCT01659749,Phenylketonuria|Pregnancy,Behavioral,Metabolic camp
NCT01666886,Obstructive Sleep Apnea Syndrome,Device,Mandibular Advancement Device (MAD)
NCT01679600,Cardiovascular Diseases|Stroke,Device,Feedback-controlled robotics-assisted treadmill exercise|Robotics-assisted treadmill exercise
NCT01684176,Stroke|Transient Ischemic Attack,Behavioral,Complex tailored intervention|Usual care
NCT01693094,Carpal Tunnel Syndrome|Cubital Tunnel Syndrome|Distal Radius Fractures|Trapeziometacarpal Arthrosis|Trigger Finger,Behavioral,Decision Aid
NCT01699139,"Brain Ischemia|Sleep Apnea, Obstructive",Device,lumbar corset|positional device
NCT01700153,Cerebral Palsy,Other,Classical therapy|Robotic-assisted therapy
NCT01708551,Hyperhidrosis,Device,Ulthera System Treatment
NCT01714349,Spinal Cord Injury,Procedure,Nerve Transfer
NCT01715948,Unilateral Deafness|Unilateral Hearing Loss,Device,Bone-anchored hearing device (BAHD)|CROS hearing aid
NCT01717144,Parkinson Disease,Behavioral,therapeutic education program
NCT01728974,Obstructive Sleep Apnea|Pathophysiology,Other,Pharyngeal topical anesthesia
NCT01730183,Spinal Cord Injury,Other,Bone marrow derived stem cells
NCT01738490,"Deafness|Ear Diseases|Hearing Disorders|Hearing Loss|Hearing Loss, Conductive|Otorhinolaryngologic Diseases",Device,Bone anchored hearing implant
NCT01746498,Alzheimer Disease,Procedure,Direct current stimulation using Anodal electrode|Sham direct current stimulation|direct current stimulation using cathodal electrode
NCT01761604,Trigeminal Neuralgia,Device,Nasal ganglion block for TN
NCT01763528,Body Mass Index Quantitative Trait Locus 8 Disorder|Tangier Disease,Other,nutrition intervention
NCT01779427,"Attention Deficit Hyperactivity Disorder (ADHD)|Brain Concussion|Head Injuries, Closed|Head Injury|Traumatic Brain Injury (TBI)",Behavioral,AIM
NCT01782248,Alzheimer Disease|Fronto-temporal Lobar Dementia,Other,Questionnary and IRM
NCT01782378,Gulf War Veterans Illness|Memory Disorders|Neurobehavioral Manifestations,Device,Real LED Treatment|Sham LED Treatment
NCT01784328,Cauda Equina Syndrome,Device,Peristeen Bowel Irrigation System
NCT01790880,Aphasia|Stroke,Behavioral,ORLA|ORLA + Writing
NCT01801150,Diabetes|Sleep Apnea,Device,CPAP nasal treatment
NCT01824472,Sleep Apnea Syndromes|Sleep Initiation and Maintenance Disorders,Behavioral|Device,CBT|CC|CPAP|sham CPAP
NCT01828398,Stroke|Upper Extremity Impairments,Device,real-tDCS + UE robot-assisted therapy|sham-tDCS + UE robot-assisted therapy
NCT01831908,Cardiovascular Risk Factors|Ischemic Heart Disease|Stroke,Other,Lifestyle counseling
NCT01839305,Fibromyalgia,Other,Hydrotherapy
NCT01841840,Hemiparesis|Hypertension|Pre-Hypertension|Stroke,Other,High-Frequency Pasive Vibration|Low-Frequency Passive Vibration
NCT01864941,Multiple Sclerosis,Device|Procedure,Catheter venography with balloon venoplasty|Catheter venography with balloon venoplasty and balloon
NCT01871818,Multiple Sclerosis,Behavioral,Combined program|Physiotherapy in private practice
NCT01874782,Orthostatic Hypotension|Postural Hypotension,Device,transcranial electrical stimulation
NCT01880255,Schizoaffective Disorder|Schizophrenia,Device,Repetitive Transcranial Magnetic Stimulation
NCT01880671,Migraine,Device,Inactive Migraine Medical Device|Migraine Medical Device
NCT01882257,Hypercapnia|Obstructive Sleep Apnea|Spinal Cord Injury,Device,BiPAP|BiPAP/AVAPS (Phillips Respironics)
NCT01886729,Tinnitus,Other,transcranial direct current stimulation (tDCS)
NCT01888640,Fibromyalgia,Device,TENS
NCT01900132,Inherited Neuromuscular Conditions|Inherited Neuropathies|Motor Neuron Disease|Neuromuscular Disease,Device,EIM testing|Electromyography (EMG)|Nerve &amp; muscle ultrasonography|Nerve conduction studies
NCT01901874,Carotid Artery Disease|Carotid Artery Stenosis,Device,Carotid Artery Stenting
NCT01918501,Multiple Sclerosis,Procedure,Blood testing
NCT01924312,Cerebrovascular Disease|Mild Cognitive Impairment,Behavioral,Heart Health Intervention
NCT01933438,Birth Related Brachial Plexus Injury|Obstetrical Brachial Plexus Palsy,Other,Control|Sup-ER Protocol
NCT01947205,Analgesia|Curettage|Paracervical Block|Paracetamol,Other,without drug
NCT02022085,"Deafness|Hearing Loss|Hearing Loss, Conductive",Device,Baha Attract System
NCT02029508,Benign Paroxysmal Positional Vertigo,Procedure,Modified Epley maneuver|Reverse Epley maneuver|Semont maneuver
NCT02030015,GM1 Gangliosidoses|GM2 Gangliosidoses|Sandhoff Disease|Tay-Sachs Disease,Other,Ketogenic Diet
NCT02033057,Polyneuropathy,Procedure,Muscular electrostimulation and percutaneus muscular biopsy.
NCT02034357,Parkinson's Disease|Sleep Disordered Breathing|Sleep Obstructive Apnea,Other,Neurocognitive function|Sleep evaluations
NCT02038192,Dementia,Behavioral,Living with Hope Program|Stories of the Present
NCT02046863,Bradykinesia|Parkinson's Disease|Tremor,Device,Automated Programming
NCT02057783,"Hypertension, Resistant to Conventional Therapy|Sleep Apnea",Other,Physical activity
NCT02058342,Childhood Obesity|Prader Willi Syndrome,Behavioral,Active Play at Home
NCT02059980,Obsessive Compulsive Disorder|Trichotillomania,Behavioral,Placebo Control Training|Response inhibition training
NCT02066948,"Body Composition, Beneficial|Impaired Glucose Tolerance|Paresis",Other,Meal Pattern|meal pattern|wt loss
NCT02068391,Cerebral Small Vessel Diseases,Behavioral,Exercise Program|Stretching Program
NCT02080806,Dysphagia|Stroke,Device,Mechanical Insufflation Exsufflation
NCT02088099,Traumatic Brain Injury,Other,Complex clinical intervention|Treatment as usual
NCT02116140,Central Sleep Apnea|Heart Failure|Obstructive Sleep Apnea,Other,[C11]Acetate and HED PET
NCT02118701,Dementia,Other,Shared Decision-Making educational training
NCT02123355,"Brain Injury|Cognitive Ability, General",Procedure,Intubation
NCT02129361,Traumatic Brain Injury,Behavioral,Adapted Screening and Brief Intervention (Adapted SBI)|Screening & Education Attention Control
NCT02131129,Schizoaffective Disorder|Schizophrenia|Schizophreniform Disorder,Device,Sham Comparator|rTMS
NCT02151175,"Epilepsy, Temporal Lobe",Device,LIFUP
NCT02154243,Orthostatic Hypotension,Other,Intravenous fluid bolus
NCT02190474,Chronic Widespread Pain|Fibromyalgia,Behavioral,Mindfulness Group
NCT02191267,Chronic Traumatic Encephalopathy,Device|Genetic|Radiation,Genetic Analysis for Genetic Risk Score for Tau.|MRI/MRS|[F18]-Florbetapir|[F18]-T807
NCT02199093,Apraxias|Stroke,Other,Functional Rehabilitation of apraxia|Traditional health educative protocol
NCT02207023,"Apoplexy|CVA|Cerebral Stroke|Cerebrovascular Accident|Cerebrovascular Accident, Acute|Cerebrovascular Apoplexy|Cerebrovascular Stroke|Stroke|Stroke, Acute|Vascular Accident, Brain",Behavioral,Healthy Lifestyle Training Program
NCT02212314,Williams Syndrome,Behavioral,Response Inhibition Training
NCT02235974,Brain Infarction|Brain Ischemia|Cerebral Infarction|Cerebrovascular Disorders|Stroke,Behavioral,Chronic intensive upper extremity motor training|Control|Early Intensive upper extremity motor training|Sub-acute intensive upper extremity motor training
NCT02255929,Essential Tremor,Radiation,Gamma Knife Radiosurgery
NCT02261766,Atrial Fibrillation|Stroke,Device,Holter monitoring and Thumb ECG
NCT02265029,"Fibromyalgia|Rheumatism, Muscular",Other,Immediate spa treatment|Late spa treatment
NCT02274649,"Injuries, Spinal Cord",Behavioral,general peer support|one-to-one peer mentoring
NCT02279901,Obstructive Sleep Apnea,Behavioral,IVR|Telemedicine Education
NCT02299284,Cerebral Palsy,Other,Intensive Home-based Bimanual and Lower-limb Training in Young Children With Hemiplegia
NCT02318459,"Gait, Unsteady|Muscle Weakness",Other,Traditionnal group rehabilitation|high intensity interval training-HIIT
NCT02326688,Hemiplegia,Other,Kinematic analysis of trunk compensation
NCT02335840,Hypertension|Post-Exercise Hypotension,Other,CAF-1|CAF-2|CAF-3|DESC
NCT02337114,"Brain Injuries, Traumatic",Behavioral,Acceptance and Commitment Therapy|Treatment as Usual
NCT02340910,Spinal Cord Injury,Procedure,Long Duration|Short Duration
NCT02350465,Sarcopenia,Behavioral,Concentric Exercise|Eccentric Exercise
NCT02407951,"Motor or Vocal Tic Disorder, Chronic|Tourette Syndrome",Behavioral,CBIT group|Psycho-Educational group
NCT02412696,Obesity|Obstructive Sleep Apnea|Preeclampsia|Pregnancy|Sleep,Device|Other,Nasal Dilator Strips|Positive Airway Pressure
NCT02426671,Tinnitus,Device,MuteButton sensory stimulation device
NCT02427997,Multiple Sclerosis,Behavioral,Treadmill training|Treadmill training with Virtual Reality
NCT02428816,Multiple System Atrophy|Parkinson's Disease,Behavioral|Other,MRI acquisition|behavioral evaluations
NCT02435784,Communication|Schizophrenia,Other,The Two-Way Communication Checklist|Treatment as usual
NCT02438553,"Headache, Migraine",Device,OSTNS Neurostimulator|Placebo OSTNS Neurostimulator
NCT02441374,Stroke,Device|Other,Classical kinesiotherapy.|Tubular mesh.
NCT02451683,Spinal Cord Injury,Other,Electrophysiology Assessment of Location|Electrophysiology Assessment of Time Domain|Training with some stimulation
NCT02463318,Multiple Sclerosis|Oxidative Stress,Other,Hydrogen peroxide
NCT02466165,Healthy Controls|Multiple Sclerosis,Behavioral,Physical exercise
NCT02475239,Benign Paroxysmal Positional Vertigo,Behavioral,Normal daily activity|Postural restriction
NCT02494518,Stroke,Behavioral,Forced Exercise & Upper Extremity Repetitive Task Practice|Stroke Education & Upper Extremity Repetitive Task Practice|Voluntary Exercise & Upper Extremity Repetitive Task Practice
NCT02494648,"Acute Coronary Syndrome|Sleep Apnea, Obstructive",Device|Other,"Control|POWERbreathe Fitness Plus, (POWERbreathe International Ltd, UK) [Inspiratory muscles strengthening]"
NCT02500784,Alzheimer's Disease|Cognitive Dysfunction,Other,Formoterol B (placebo)
NCT02503930,Parkinson Disease,Device,Active tDCS|Sham tDCS
NCT02525640,Hearing Loss,Device,Hearing Aid
NCT02549885,Migraine Disorders,Other,PNF contract-relax|Static stretching
NCT02560597,Epilepsia Partialis Continua|Status Epilepticus,Procedure,repetitive transcranial magnetic stimulation
NCT02574234,Delirium,Other,Assessment of cognitive functions|Determination of apelin and inflammatory cytokines|Liquid sampling cerebrospinal|Postoperative delirium research|Residual cognitive dysfunction research
NCT02579655,Chronic Kidney Disease|Coronary Disease|Diabetes Mellitus|Heart Failure|Hypercholesterolemia|Hypertension|Stroke,Behavioral,Copayment Elimination|Personalized Education
NCT02582216,Neuralgia,Device,"3D augmented reality"
NCT02609607,Constipation|Fecal Incontinence|Multiple Sclerosis,Other,Placebo
NCT02623699,Amyotrophic Lateral Sclerosis,Other,Placebo
NCT02634671,Schizophrenia,Other,control group|schizophrenia|the 22q11 deletion syndrome
NCT02664506,Aphasia,Behavioral,Word repetition after a time delay.
NCT02675270,"Alzheimer Disease|Anomia|Aphasia, Primary Progressive",Behavioral,Lexical|Orthographic|Phonological|Semantic|Untrained
NCT02680522,Parkinson Disease,Other,Exercise
NCT02684825,Brain Disease|Brain Infarction|Brain Ischemia|Cardiac Arrhythmias|Central Nervous System Diseases|Cerebral Infarction|Cerebrovascular Disorders|Ischemic Stroke|Nervous System Diseases,Device,Reveal LINQTM- LNQ11 Internal Loop Recorder plus standard cardiac monitoring
NCT02687633,Tuberous Sclerosis Complex,Behavioral,JASPER
NCT02699359,Brain Concussion|Brain Injuries,Device,HS-1000 recording
NCT02701998,"Exercise|Ischemic Attack, Transient|Sedentary Lifestyle|Stroke",Behavioral|Other,Physical Activity Intervention|mHealth-Enhance Physical Activity Intervention
NCT02708485,Alzheimer's Disease,Other,Physical exercise
NCT02719600,Down Syndrome,Behavioral,Virtual reality
NCT02726191,Epilepsy,Behavioral,Familiar Faces Exercises|Lost in Migration Exercise|Memory Match Exercise|Memory Matrix Exercise|Monster Garden Exercise|Pair-Match (Across-Modality) Exercise|Playing Koi Exercise|Sample-Match (Within Modality) Exercise|Spatial Match Exercise|Story Recall Exercise|Temporal Sequence Reconstruction Exercise|Token Task Exercise|Triad-FiguresExercise
NCT02726776,"Circulatory Collapse|Circulatory Failure|Orthostatic Hypotension|Syncope, Vasovagal, Neurally-Mediated",Other,Climbing|Suspension in a harness
NCT02728752,Dermatomyositis,Other,Placebo
NCT02729311,Dementia,Behavioral,Paired PLIÉ Program
NCT02729766,Inappropriate ADH Syndrome,Other,Induced hypotonic hyponatremia - SIAD model
NCT02731365,Parkinson's Disease,Device,Activa PC+S
NCT02743702,Neuromuscular Diseases,Other,RESPIRATORY PHYSIOTHERAPY|USUAL THERAPIES
NCT02746484,Alzheimer Disease|Cognitive Impairments|Dementia,Other,Ability platform program|Usual care program
NCT02750566,Distorted; Balance|Post-Concussion Symptoms,Other|Procedure,Counseling|Osteopathic Manipulative Treatment
NCT02757547,Epilepsy,Device,Transcranial magnetic stimulation - Active Arm|Transcranial magnetic stimulation - Placebo Arm
NCT02758990,"Anxiety|Arthralgia|Arthritis|Dyspnea|Headache|Migraine Disorders|Obesity|Respiratory Sounds|Rhinitis|Rhinitis, Allergic|Sleep Deprivation|Sleep Initiation and Maintenance Disorders",Device|Other,Axon Eyewear|Broccoli|Chocolate|Coffee|Spinach
NCT02767609,Alzheimer's Disease|Multiple Sclerosis|Traumatic Brain Injury|Tumor,Device,Magnetic Resonance Imaging
NCT02772510,Stroke,Device,Functional electrical stimulation|Smart glove system with functional electrical stimulation
NCT02773862,Brain Injuries|Intracranial Hypertension,Device,HS-1000
NCT02797418,Mental Retardation,Behavioral,Cognitive remediation program
NCT02798601,Head Trauma,Other,Hypernatremia
NCT02799017,Aphasia|Language,Other,Intensive Phonology Treatment|Intensive SFA Treatment
NCT02807012,Stroke,Other,Nursing educational intervention
