entity_token,frequency,entity_class
agitation,6,CONDITION
bradykinesia,6,CONDITION
lamotrigine,6,DRUG
niacin,6,DRUG
insomnia,6,CONDITION
phenylketonuria,6,CONDITION
pramipexole,6,DRUG
radiation therapy,6,RADIOTHERAPY
dermatomyositis,6,CONDITION
ropinirole,6,DRUG
propofol,6,DRUG
pregabalin,6,DRUG
gabapentin,6,DRUG
sarcoidosis,6,CONDITION
usual care,6,CONTROL
hypothermia,6,OTHER
nitric oxide,6,DRUG
ambroxol,6,DRUG
perampanel,6,DRUG
spastic cerebral palsy,6,CONDITION
tes,6,CONDITION
post-stroke,6,CONDITION
diabetic peripheral neuropathy,6,CONDITION
blinatumomab,6,DRUG
rasagiline,6,DRUG
electroacupuncture,6,OTHER
sms,6,CONDITION
mst,6,CONTROL
bpsd,6,CONDITION
pots,6,CONDITION
restless legs syndrome,6,CONDITION
mse,6,OTHER
hepatic encephalopathy,6,CONDITION
lead it!,6,OTHER
menactra,6,DRUG
carepath,6,OTHER
concussion,6,CONDITION
nmes,6,OTHER
sdm,6,OTHER
creatine,6,DRUG
nocturia,6,CONDITION
dex,5,DRUG
huntington's disease,5,CONDITION
nf2,5,CONDITION
thc,5,DRUG
hiv-1,5,CONDITION
lorazepam,5,DRUG
electrical stimulation,5,OTHER
exercise training,5,PHYSICAL
essential tremor,5,CONDITION
abc,5,DRUG
dtg/3tc,5,DRUG
hemiplegic cerebral palsy,5,CONDITION
parkinsonism,5,CONDITION
bg00012,5,DRUG
paliperidone,5,DRUG
abi,5,CONDITION
trichotillomania,5,CONDITION
ocd,5,CONDITION
chronic sci,5,CONDITION
act,5,BEHAVIOURAL
mechanical ventilation,5,OTHER
cognitive deficits,5,CONDITION
mk-8931,5,DRUG
cea,5,SURGICAL
lidocaine,5,DRUG
post-operative pain,5,CONDITION
ataluren,5,DRUG
myozyme,5,DRUG
scs,5,OTHER
subacute stroke,5,CONDITION
rtt,5,CONDITION
alendronate,5,DRUG
control,5,CONTROL
uc,5,CONTROL
ketamine,5,DRUG
botulinum toxin,5,DRUG
itbs,5,OTHER
frailty,5,CONDITION
ads-mr,5,CONDITION
dpn,5,CONDITION
valganciclovir,5,DRUG
modafinil,5,DRUG
ect,5,CONTROL
postmenopausal,5,CONDITION
liver resection,5,CONDITION
caffeine,5,DRUG
mt,5,OTHER
epa,5,DRUG
positive airway pressure,5,OTHER
neurotropin,5,DRUG
atrial fibrillation,5,CONDITION
af,5,CONDITION
hyperacusis,5,CONDITION
start,5,OTHER
cogane,5,DRUG
treadmill walking exercise,5,PHYSICAL
sunbrite,5,BEHAVIOURAL
joint laxity,5,CONDITION
shatavari,5,OTHER
cbt,5,BEHAVIOURAL
risdiplam,5,DRUG
cooling,5,OTHER
rad001,4,DRUG
vestibular schwannoma,4,CONDITION
id,4,CONDITION
type 2 diabetes,4,CONDITION
hiv,4,CONDITION
friedreich's ataxia,4,CONDITION
olanzapine,4,DRUG
phototherapy,4,OTHER
rhythmic auditory stimulation,4,OTHER
diazepam,4,DRUG
carbamazepine,4,DRUG
hemiplegia,4,CONDITION
dronabinol,4,DRUG
telemedicine,4,OTHER
cimt,4,PHYSICAL
amantadine,4,DRUG
ataxia-telangiectasia,4,CONDITION
a-t,4,CONDITION
ziprazidone,4,DRUG
relapsing-remitting multiple sclerosis,4,CONDITION
glatiramer acetate,4,DRUG
msa,4,CONDITION
reading disorder,4,CONDITION
hirrem,4,OTHER
cognitive decline,4,CONDITION
standard care,4,CONTROL
rls,4,CONDITION
virtual reality,4,PHYSICAL
vr,4,OTHER
oral appliances,4,OTHER
oral appliance,4,OTHER
radiation,4,RADIOTHERAPY
oxytocin,4,DRUG
headaches,4,CONDITION
postherpetic neuralgia,4,CONDITION
tau,4,CONTROL
paralyzed,4,CONDITION
physical activity,4,OTHER
robotic exoskeleton,4,PHYSICAL
massage therapy,4,OTHER
cognitive impairments,4,CONDITION
moxibustion,4,OTHER
rehabilitation therapy,4,PHYSICAL
etomidate,4,DRUG
intracerebral hemorrhage,4,CONDITION
iph,4,CONDITION
hearing impaired,4,CONDITION
se,4,CONDITION
aquatic therapy,4,PHYSICAL
nabilone,4,DRUG
oxidative stress,4,CONDITION
trigeminal neuralgia,4,CONDITION
fremanezumab,4,DRUG
npc-14,4,DRUG
aphasia,4,CONDITION
heparinization,4,DRUG
transient ischemic attack,4,CONDITION
rett syndrome,4,CONDITION
tpa,4,CONTROL
hf,4,CONDITION
lipoic acid,4,DRUG
esml-social,4,OTHER
esml-ex,4,OTHER
remimazolam,4,DRUG
brain injury,4,CONDITION
prpp,4,BEHAVIOURAL
electroconvulsive therapy,4,CONTROL
radiosurgery,4,RADIOTHERAPY
sudep,4,CONDITION
severe brain injury,4,CONDITION
erector spinae plane block,4,OTHER
espb,4,OTHER
cardiac surgery,4,CONDITION
therapeutic ultrasound,4,OTHER
d-cycloserine,4,DRUG
ragt,4,PHYSICAL
istradefylline,4,DRUG
nivolumab,4,DRUG
down syndrome,4,CONDITION
desflurane,4,DRUG
biofeedback,4,OTHER
excessive daytime sleepiness,4,CONDITION
flunarizine,4,DRUG
episodic migraine,4,CONDITION
fed-f,4,BEHAVIOURAL
autologous stem cell transplantation,4,SURGICAL
myofascial release,4,OTHER
hypotonic hyponatremia,4,CONDITION
lumbosacral radiculopathy,4,CONDITION
gv1001,4,DRUG
bcaas,4,DRUG
carotid artery stenosis,4,CONDITION
inflammation,4,CONDITION
fus,4,OTHER
xp13512,4,DRUG
tap block,4,OTHER
bci,4,OTHER
asp6981,4,DRUG
generalized myasthenia gravis,4,CONDITION
hmb,4,DRUG
pap,4,OTHER
postoperative cognitive disorders,4,CONDITION
aat,4,OTHER
bright light,4,OTHER
pids,4,CONDITION
c-mill training,4,PHYSICAL
dry needling,4,OTHER
dsp,4,CONDITION
pv,4,PHYSICAL
sibutramine,4,DRUG
sleepiness,4,CONDITION
quetiapine fumarate,4,DRUG
entonox,4,DRUG
aab-003,4,DRUG
clinical pharmacy specialists,4,OTHER
p1g10,4,DRUG
disruptive behavior,4,CONDITION
arterial hypotension,4,CONDITION
computerized attention training,3,BEHAVIOURAL
anorexia nervosa,3,CONDITION
htlv-1,3,CONDITION
asymptomatic carotid artery stenosis,3,CONDITION
cervical mobilization,3,PHYSICAL
tumors,3,CONDITION
estriol,3,DRUG
imovax polio,3,DRUG
cbd,3,DRUG
intellectual disabilities,3,CONDITION
stress,3,CONDITION
st,3,OTHER
sensors technology,3,OTHER
haloperidol,3,DRUG
trns,3,OTHER
schizoaffective disorder,3,CONDITION
dystonia,3,CONDITION
ras,3,OTHER
mandibular advancement device,3,OTHER
mad,3,OTHER
meningiomas,3,CONDITION
subacromial injection,3,OTHER
pea,3,DRUG
sta-1 capsule,3,OTHER
constraint induced movement therapy,3,PHYSICAL
parkinson,3,CONDITION
a-t.,3,CONDITION
physical therapy,3,PHYSICAL
clonidine,3,DRUG
tourette syndrome,3,CONDITION
vitamin b12,3,DRUG
diabetes mellitus,3,CONDITION
amisulpride,3,DRUG
aeds,3,DRUG
aed,3,DRUG
preterm,3,CONDITION
hyperactivity disorder,3,CONDITION
adhd,3,CONDITION
protein substitute,3,OTHER
post-traumatic headache,3,CONDITION
lanreotide,3,DRUG
incomplete spinal cord injury,3,CONDITION
psp,3,CONDITION
acute ischaemic stroke,3,CONDITION
asd,3,CONDITION
high-quality pre-operative videos,3,OTHER
hand surgery,3,CONDITION
muscle stiffness,3,CONDITION
eliprodil,3,DRUG
stbi,3,CONDITION
chronic migraine,3,CONDITION
migraine headaches,3,CONDITION
physical exercise,3,PHYSICAL
heart failure,3,CONDITION
baf312,3,DRUG
functional and cognitive decline,3,CONDITION
surgery,3,SURGICAL
nasal surgery,3,CONDITION
targeted temperature management,3,OTHER
didgeridoo,3,OTHER
postoperative pain,3,CONDITION
post surgical pain,3,CONDITION
temozolomide,3,DRUG
botulinum toxin type a,3,DRUG
partial seizures,3,CONDITION
prader-willi syndrome,3,CONDITION
pws,3,CONDITION
iti,3,OTHER
pompe disease,3,CONDITION
pdvibe2,3,OTHER
epileptic,3,CONDITION
mild alzheimer's disease,3,CONDITION
aggression,3,CONDITION
idd,3,CONDITION
probiotics,3,OTHER
fragile x,3,CONDITION
isolated systolic hypertension,3,CONDITION
theophylline,3,DRUG
dysgeusia,3,CONDITION
fibromyalgia syndrome,3,CONDITION
lbd,3,CONDITION
sleep wake disorders,3,CONDITION
speech-language therapy,3,OTHER
myringotomy tube placement,3,CONDITION
peripheral neuropathic pain,3,CONDITION
balance exercises,3,CONTROL
heparin,3,DRUG
gait training,3,PHYSICAL
pirfenidone,3,DRUG
pa,3,PHYSICAL
cardio exercise program,3,PHYSICAL
csa,3,CONDITION
asv,3,OTHER
oral motor exercises,3,PHYSICAL
breathing exercises,3,PHYSICAL
sustained hypernatremia,3,OTHER
partial-onset seizures,3,CONDITION
eating disorders,3,CONDITION
early stage dementia,3,CONDITION
f-pst,3,BEHAVIOURAL
cognitive challenges,3,CONDITION
duloxetine,3,DRUG
neurodevelopment therapy,3,OTHER
carotid endarterectomy,3,SURGICAL
nmd,3,CONDITION
gpb,3,OTHER
as,3,OTHER
hip surgery,3,CONDITION
hypertonic saline,3,DRUG
saffron,3,OTHER
chamomile,3,OTHER
metformin,3,DRUG
rcmp,3,OTHER
magic camp,3,OTHER
dlpfc,3,OTHER
dcs,3,DRUG
mental retardation,3,CONDITION
autism spectrum disorder,3,CONDITION
hearing-impaired,3,CONDITION
asymptomatic ccmv,3,CONDITION
sleep disordered breathing,3,CONDITION
cfs,3,CONDITION
menthol,3,DRUG
carbon-dioxide,3,DRUG
vbi,3,CONDITION
tevar,3,CONDITION
bf2.649,3,DRUG
pitolisant,3,DRUG
eds,3,CONDITION
spinraza,3,DRUG
gonb,3,SURGICAL
isotretinoin,3,DRUG
sms intervention,3,OTHER
empagliflozin,3,DRUG
parkinsonian,3,CONDITION
anakinra,3,DRUG
acute episode,3,CONDITION
bcaa,3,DRUG
zolpidem,3,DRUG
median nerve stimulation,3,OTHER
severe dementia,3,CONDITION
calcium,3,DRUG
pda-002,3,SURGICAL
esmolol,3,DRUG
idiopathic parkinson's disease,3,CONDITION
mild and moderate hepatic impairment,3,CONDITION
ghostly app,3,OTHER
actimmune,3,DRUG
liver resection surgery,3,CONDITION
brain computer interface,3,OTHER
hip fracture surgery,3,CONDITION
mt-mse,3,OTHER
warm acupuncture,3,OTHER
cognitive remediation,3,BEHAVIOURAL
conventional gait training,3,CONTROL
fshd,3,CONDITION
ctbs,3,OTHER
cerebellar stimulation,3,OTHER
st101,3,DRUG
aricept,3,DRUG
xanamem,3,DRUG
optic neuritis,3,CONDITION
asld,3,CONDITION
golytely,3,DRUG
rituximab,3,DRUG
exchange transfusion,3,OTHER
steroid,3,DRUG
compression garments,3,OTHER
tacs,3,OTHER
dementias,3,CONDITION
nipocalimab,3,DRUG
cerebellar ataxia,3,CONDITION
ctdcs,3,OTHER
acrophobia,3,CONDITION
cbs,3,CONDITION
dysmenorrhea,3,CONDITION
cpp,3,CONDITION
cvt-427,3,DRUG
n-acetyl-l-leucine,3,DRUG
ib1001,3,DRUG
mnd,3,CONDITION
tachosil,3,OTHER
acu,3,OTHER
moxa,3,OTHER
tia,3,CONDITION
moderate to severe dementia,3,CONDITION
22q11.2ds,3,CONDITION
motor imagery,3,OTHER
arterial stiffness,3,CONDITION
obese,3,CONDITION
telephone support,3,BEHAVIOURAL
sam-531,3,DRUG
paf,3,CONDITION
hg,3,CONDITION
head-mounted display,3,OTHER
immersive virtual reality,3,OTHER
taps,3,OTHER
exotropia,3,CONDITION
masitinib,3,DRUG
carbetocin,3,DRUG
lv-101,3,DRUG
pf-05236812,3,DRUG
deficit syndrome,3,CONDITION
gaa,3,DRUG
pf-03654746,3,DRUG
tourette's syndrome,3,CONDITION
primary parkinsonian pain,3,CONDITION
neurologic music therapy,3,OTHER
nmt,3,OTHER
post-spinal headache,3,CONDITION
vasospasm,3,CONDITION
shatavari supplementation,3,OTHER
encephalitis,3,CONDITION
cere-120,3,OTHER
blz-100,3,DRUG
home mechanical ventilation,3,OTHER
tavns,3,OTHER
tnk,3,DRUG
an,2,CONDITION
ham/tsp,2,CONDITION
avonex,2,DRUG
hgns,2,OTHER
early induced hypernatremia,2,OTHER
tachycardia,2,CONDITION
clenbuterol,2,DRUG
jzp385,2,DRUG
periodontal disease,2,CONDITION
acas,2,CONDITION
traditional therapy,2,CONTROL
traditional + cervical mobilization,2,PHYSICAL
citalopram,2,DRUG
early hd,2,CONDITION
sleep-disordered breathing,2,CONDITION
adenotonsillectomy,2,SURGICAL
severe blepharoptosis,2,CONDITION
neurofibromatosis type 2,2,CONDITION
acute intermittent hypoxia,2,OTHER
relapsing-remitting ms,2,CONDITION
relapsing remitting multiple sclerosis,2,CONDITION
generalized major motor seizures,2,CONDITION
prep-to-play,2,BEHAVIOURAL
ip program,2,BEHAVIOURAL
small fiber neuropathy,2,CONDITION
gi dysmotility,2,CONDITION
updated sound processor,2,OTHER
arthritis,2,CONDITION
tuberculosis meningitis,2,CONDITION
chemotherapy-induced painful peripheral neuropathy,2,CONDITION
cipn,2,CONDITION
sham stimulation,2,CONTROL
cti-1601,2,DRUG
tryptophan depletion,2,OTHER
septorhinoplasty,2,CONDITION
task-oriented training,2,PHYSICAL
eszopiclone,2,DRUG
risperdal,2,DRUG
consta,2,DRUG
tsc,2,CONDITION
home based walking program,2,PHYSICAL
dbf,2,DRUG
polyphenol,2,DRUG
rolandic epilepsy,2,CONDITION
sleep training,2,BEHAVIOURAL
suprascapular nerve block,2,OTHER
sci -110,2,DRUG
tetrahydrocannabinol,2,DRUG
complex regional pain syndrome type i,2,CONDITION
crps-1,2,CONDITION
crps,2,CONDITION
endovascular treatment,2,CONDITION
intracranial aneurysms,2,CONDITION
hydrocoil,2,OTHER
sodium oxybate,2,DRUG
xyrem,2,DRUG
cabotegravir,2,DRUG
rilpivirine,2,DRUG
integrase inhibitor,2,DRUG
complete spinal cord injury,2,CONDITION
fes,2,OTHER
hcp,2,CONDITION
movement disorder,2,CONDITION
chorea,2,CONDITION
cariprazine,2,DRUG
tic,2,CONDITION
binocular amblyopia,2,CONDITION
early parkinson's disease,2,CONDITION
ziprasidone,2,DRUG
hydrodissection,2,OTHER
antiepileptic drugs,2,DRUG
ga,2,DRUG
falls,2,CONDITION
paliperidone palmitate,2,DRUG
erythropoietin,2,DRUG
multiple system atrophy,2,CONDITION
atomoxetine,2,DRUG
orthostatic hypotension,2,CONDITION
hirrem-sop,2,OTHER
mncc,2,DRUG
bilateral exablate ablation of the pallidothalamic tract,2,OTHER
ptt,2,OTHER
motor complications,2,CONDITION
phenylalanine-free protein substitute,2,OTHER
lucerastat,2,DRUG
fabry disease,2,CONDITION
hearing for learning initiative,2,BEHAVIOURAL
current practice,2,CONTROL
hpdsc,2,SURGICAL
abobotulinumtoxina,2,DRUG
environmental design,2,OTHER
behavioral regulation,2,BEHAVIOURAL
primary restless legs syndrome,2,CONDITION
supplemental inspired oxygen,2,OTHER
frontotemporal dementia,2,CONDITION
collaborative care,2,OTHER
usual neurology care,2,OTHER
rit,2,BEHAVIOURAL
plt,2,CONTROL
acromegaly,2,CONDITION
brain tumor,2,CONDITION
isci,2,CONDITION
sertraline,2,DRUG
desmoteplase,2,DRUG
robotic trainer,2,PHYSICAL
robotic training,2,PHYSICAL
robotic gait training,2,PHYSICAL
social cognition impairment,2,CONDITION
autism spectrum disorders,2,CONDITION
oxt,2,DRUG
hyalase,2,DRUG
"chronic, incomplete spinal cord injury",2,CONDITION
speeded anomia therapy,2,OTHER
chronic post-stroke aphasia,2,CONDITION
motor dysfunction,2,CONDITION
soc,2,CONTROL
fluorescence-guided resection,2,SURGICAL
malignant gliomas,2,CONDITION
5-aminolevulinic acid,2,DRUG
5-ala,2,DRUG
conventional resection,2,CONTROL
treatment as usual,2,CONTROL
lat8881,2,DRUG
wellness and team solutions program,2,OTHER
severe mental illness,2,CONDITION
functional strength training,2,PHYSICAL
zydena,2,DRUG
udenafil,2,DRUG
normal and subcortical vascular cognitive impairment,2,CONDITION
specific manual therapy,2,OTHER
temporomandibular disorder,2,CONDITION
person-centered internet-based health action process,2,OTHER
spa therapy,2,OTHER
tenderness,2,CONDITION
chronic obstructive pulmonary disease,2,CONDITION
calmare,2,OTHER
intensive care unit,2,CONDITION
delirium prevention bundle,2,OTHER
polymyositis,2,CONDITION
anx005,2,DRUG
multimodal individualized intervention,2,OTHER
sch 900800,2,DRUG
l-dopa,2,DRUG
combined occipital and supraorbital transcutaneous nerve stimulation,2,OTHER
dexamethazone,2,DRUG
low-intensity laser,2,OTHER
eswt,2,OTHER
bell's palsy,2,CONDITION
chronic spinal cord injury,2,CONDITION
rehabilitation,2,PHYSICAL
percutaneous electrical nerve stimulation,2,OTHER
requip,2,DRUG
spastic,2,CONDITION
craniotomy surgery,2,CONDITION
somnodent,2,OTHER
herbst appliance,2,OTHER
mild and moderate osa,2,CONDITION
balance,2,CONDITION
proprioceptive neuromuscular facilitation,2,PHYSICAL
intensive motor training,2,PHYSICAL
fixed pressure,2,OTHER
thoracoscopic mitral valve replacement,2,CONDITION
bat4406f,2,DRUG
neuromyelitis optica spectrum disorders,2,CONDITION
renal insufficiency,2,CONDITION
eculizumab,2,DRUG
neuromyelitis optica,2,CONDITION
wid-clz18,2,DRUG
clozaril,2,DRUG
clozapine,2,DRUG
fragile brain,2,CONDITION
sativex,2,DRUG
diabetic neuropathy,2,CONDITION
ich,2,CONDITION
airway collapsibility,2,CONDITION
traditional chinese medicine,2,OTHER
vgh-ad1,2,OTHER
traumatic coma,2,CONDITION
bia 28-6156,2,DRUG
trigger finger release,2,CONDITION
epinephrine,2,DRUG
post operative pain,2,CONDITION
modified autoset device,2,OTHER
autoset device,2,CONTROL
vpap auto,2,CONTROL
topotecan,2,DRUG
botox,2,DRUG
transcranial magnetic stimulation,2,OTHER
dystrophinopathy,2,CONDITION
mind-body interventions,2,OTHER
immune tolerance induction,2,OTHER
deferiprone,2,DRUG
pkan,2,CONDITION
spinal cord stimulation,2,OTHER
intensive cognitive rehabilitation,2,OTHER
ion373,2,DRUG
group acyw135 meningococcal conjugate,2,DRUG
abe,2,CONDITION
assertive community treatment,2,OTHER
transcutaneous tibial nerve stimulation,2,OTHER
chronic low back pain,2,CONDITION
juvenile pilocytic astrocytomas,2,CONDITION
optic nerve pathway gliomas,2,CONDITION
consecutive exotropia,2,CONDITION
docosahexaenoic acid,2,DRUG
severe behavioural problems,2,CONDITION
intellectual and developmental disabilities,2,CONDITION
sbp,2,CONDITION
stroke-in-evolution,2,CONDITION
bun/cr ratio based hydration therapy,2,OTHER
service dogs,2,OTHER
prebiotics,2,OTHER
ascorbic acid,2,DRUG
tocopherol,2,DRUG
fxs,2,CONDITION
antioxidant,2,DRUG
antihypertensive therapy,2,DRUG
surface acoustic wave patch device,2,OTHER
sham device,2,CONTROL
od,2,CONDITION
bright light treatment,2,OTHER
argininosuccinic aciduria,2,CONDITION
asa,2,CONDITION
no,2,DRUG
trust,2,PHYSICAL
serious mental illness,2,CONDITION
lewy body dementia,2,CONDITION
dtpa-hbv-ipv,2,DRUG
hib,2,DRUG
per,2,DRUG
phonak hearing systems,2,OTHER
central nervous system tumors,2,CONDITION
indocyanine green,2,OTHER
pervasive developmental disorders,2,CONDITION
antipsychotic medication,2,DRUG
pdd,2,CONDITION
acetaminophen,2,DRUG
huntington disease,2,CONDITION
intracranial aneurysm,2,CONDITION
alzheimer,2,CONDITION
cpwalker,2,PHYSICAL
actipatch,2,OTHER
aspirin,2,DRUG
clopidogrel,2,DRUG
neurofibromatosis type 1,2,CONDITION
plexiform neurofibromas,2,CONDITION
juvenile myoclonic epilepsy,2,CONDITION
trans-spinal electrical stimulation,2,OTHER
med,2,OTHER
hyperprolactinemia,2,CONDITION
antipsychotic,2,DRUG
injection site erythema,2,CONDITION
eye mask,2,OTHER
earplugs,2,OTHER
intensive care,2,CONDITION
bev,2,DRUG
rgbm,2,CONDITION
rmp,2,PHYSICAL
standard physiotherapy,2,CONTROL
lam-002a,2,DRUG
rt-pa,2,DRUG
amblyopia,2,CONDITION
osahs,2,CONDITION
epilepsia partialis continua,2,CONDITION
epc,2,CONDITION
refractory status epilepticus,2,CONDITION
ziconotide,2,DRUG
paired plié program,2,PHYSICAL
family-based treatment,2,BEHAVIOURAL
ophthalmic surgery,2,CONDITION
benzodiazepines,2,DRUG
brain injuries,2,CONDITION
community rehabilitation,2,BEHAVIOURAL
staggered intervention,2,CONTROL
attention training interventions,2,BEHAVIOURAL
silkworms (bombyx mori l.) pupae extracts,2,OTHER
total hip replacement,2,CONDITION
juvenile primary fibromyalgia syndrome,2,CONDITION
remote ischemic conditioning,2,OTHER
ustekinumab,2,DRUG
lactobacillus plantarum ps128,2,OTHER
glutamine,2,DRUG
breast cancer,2,CONDITION
paclitaxel,2,DRUG
transcranial electric stimulation,2,OTHER
memory impairment,2,CONDITION
early alzheimer's disease,2,CONDITION
emfit mattress monitor dvm-gprs-v2,2,OTHER
air stacking,2,OTHER
glossopharyngeal breathing,2,OTHER
motivational interviewing,2,BEHAVIOURAL
critically ill,2,CONDITION
sleep apnea syndrome,2,CONDITION
positive end expiratory pressure,2,OTHER
thrombolysis,2,OTHER
spontaneous cerebral hemorrhage,2,CONDITION
puncture aspiration,2,SURGICAL
cerebral hemorrhage,2,CONDITION
insulin resistance,2,CONDITION
moderate to severe osa,2,CONDITION
sgs-742,2,DRUG
ssadh deficiency,2,CONDITION
hemiplegic cp,2,CONDITION
depressive,2,CONDITION
non-invasive brain stimulation,2,OTHER
intermittent theta-burst stimulation,2,OTHER
hemiparesis,2,CONDITION
kw-6002,2,DRUG
advanced parkinson's disease,2,CONDITION
b-all,2,CONDITION
supratentorial craniotomy,2,CONDITION
dopaminergic therapy,2,CONDITION
occupational therapy,2,CONTROL
alzt-op1a,2,DRUG
mild to moderate als,2,CONDITION
audiobooks for hearing loss app,2,OTHER
auditory training,2,OTHER
ci and ha users,2,CONDITION
sensory integration therapy on balance and functional mobility,2,PHYSICAL
minor-to moderate-risk noncardiac surgery,2,CONDITION
mencevax acw135 polysaccharide vaccine,2,DRUG
ccmv-infected,2,CONDITION
self-supporting nasopharyngeal airway,2,OTHER
ssnpa,2,OTHER
covid,2,CONDITION
physical frailty,2,CONDITION
open spina bifida,2,CONDITION
partial onset seizures,2,CONDITION
constipation,2,CONDITION
dyssynergic defecation,2,CONDITION
clinically definite multiple sclerosis,2,CONDITION
paroxetine,2,DRUG
recombinant human endostatin,2,DRUG
cognitive dysfunction,2,CONDITION
iacd,2,OTHER
narcolepsy,2,CONDITION
ndx-1017,2,DRUG
sma type ii,2,CONDITION
nusinersen,2,DRUG
ozone,2,DRUG
chemotherapy-induced peripheral neuropathy,2,CONDITION
lidcombe program,2,BEHAVIOURAL
dm199,2,DRUG
lacosamide,2,DRUG
spinal manipulation,2,OTHER
vagus nerve stimulation,2,OTHER
post covid syndrome,2,CONDITION
greater occipital nerve block,2,SURGICAL
galantamine,2,DRUG
recurrent high-grade glioma,2,CONDITION
tension-type headaches,2,CONDITION
screw retained arch bar,2,OTHER
conventional erich's arch bar,2,OTHER
maxillomandibular fixation,2,OTHER
myotonic dystrophy type 1(dm1),2,CONDITION
paravertebral block,2,OTHER
esp block,2,OTHER
rem sleep behavior disorder,2,CONDITION
jardiance,2,DRUG
early pd,2,CONDITION
inclusion body myositis,2,CONDITION
myositis,2,CONDITION
1072nm infrared (ir) phototherapy,2,OTHER
chf 5074,2,DRUG
peripheral sensitization,2,CONDITION
guardian cap,2,OTHER
mns,2,OTHER
magnetic seizure therapy,2,OTHER
caesarean,2,CONDITION
ropivacaine,2,DRUG
auditory cues,2,OTHER
isms,2,OTHER
behavioural disturbances,2,CONDITION
