ICD Node URI,ICD Parent URI,Mesh ID,MeSH Tree Number,ICD Title,MeSH Common name,MeSH Disease Class,ICD Disease Class,MeSH Synonyms
,,D001308,C10.597.606.762.200| C10.228.140.068.094,,Auditory Perceptual Disorders,Neurologic Manifestations,,"Comprehension Disorder, Auditory| Auditory Processing Disorders| Processing Disorder, Auditory| Psychoacoustical Disorder| Auditory Processing Disorder| Disorders, Psychoacoustical| Auditory Comprehension Disorder| Disorders, Auditory Comprehension| Auditory Perceptual Disorder| Comprehension Disorders, Auditory| Acoustic Perceptual Disorder| Auditory Comprehension Disorders| Disorder, Acoustic Perceptual| Perceptual Disorders, Auditory| Disorder, Auditory Processing| Auditory Perceptual Disorders| Acoustic Perceptual Disorders| Disorders, Acoustic Perceptual| Perceptual Disorder, Acoustic| Disorder, Auditory Comprehension| Perceptual Disorders, Acoustic| Disorder, Psychoacoustical| Disorders, Auditory Processing| Perceptual Disorder, Auditory| Psychoacoustical Disorders| Processing Disorders, Auditory"
,,D001342,C10.177,,Autonomic Nervous System Diseases,Autonomic Nervous System Diseases,,"Nervous System Diseases, Autonomic| ANS Disease| Autonomic Nervous System Diseases| Autonomic Central Nervous System Diseases| Autonomic Disease| Central Autonomic Nervous System Diseases| ANS Diseases| Disorders of the Autonomic Nervous System| Autonomic Diseases| ANS (Autonomic Nervous System) Diseases| Autonomic Nervous System Disorders"
,,D001480,C10.228.140.079,,Basal Ganglia Diseases,Central Nervous System Diseases,,Basal Ganglia Diseases| Basal Ganglia Disorder| Basal Ganglia Disorders| Basal Ganglia Disease
,,D001750,C10.597.900,,"Urinary Bladder, Neurogenic",Neurologic Manifestations,,"Urinary Bladder, Neurogenic| Neurogenic Bladder Disorders| Neurogenic Dysfunction of the Urinary Bladder| Neurogenic Urinary Bladder Disorder| Neurogenic Bladder Disorder| Bladder, Neurogenic| Bladder Disorder, Neurogenic| Neurogenic Bladder| Neuropathic Bladder| Urinary Bladder Disorder, Neurogenic| Urinary Bladder Neurogenic Dysfunction| Neurogenic Urinary Bladder"
,,D001766,C10.597.751.941.162,,Blindness,Neurologic Manifestations,,Blindness
http://id.who.int/icd/entity/78422942,http://id.who.int/icd/entity/1425591047,D001906,C10.720.150| C10.668.758.200,Botulism,Botulism,Neurotoxicity Syndromes,Diseases of the nervous system,"Toxico-Infectious Botulism| Botulism| Botulism, Toxico-Infectious| Toxico Infectious Botulism| Clostridium botulinum Infection| Clostridium botulinum Infections| Infection, Clostridium botulinum| Botulism, Toxico Infectious"
,,D001922,C10.228.140.116| C10.228.228.090,,Brain Abscess,Central Nervous System Diseases,,"Brain Abscesses| Brain Abscess| Abscess, Brain"
,,D001924,C10.900.300.087.235.250| C10.900.300.350.300| C10.228.140.199.444.250,,Brain Concussion,"Trauma, Nervous System",,"Cerebral Concussion| Brain Concussions| Commotio Cerebri| Concussion, Cerebral| Concussion, Brain| Brain Concussion| Cerebral Concussions"
,,D001925,C10.228.140.140,,"Brain Damage, Chronic",Central Nervous System Diseases,,"Encephalopathy, Chronic| Chronic Encephalopathy| Brain Damage, Chronic| Chronic Brain Damage"
http://id.who.int/icd/entity/1228918777,http://id.who.int/icd/entity/988657115,D001926,C10.597.606.358.800.200.100| C10.228.140.151,Brain death,Brain Death,Neurologic Manifestations,Diseases of the nervous system,"Brain Dead| Death, Brain| Coma Depasse| Brain Deads| Brain Death"
,,D001927,C10.228.140,,Brain Diseases,Central Nervous System Diseases,,"Brain Disorders| Brain Diseases| Brain Disorder| Central Nervous System Disorders, Intracranial| Brain Disease| Intracranial CNS Disorders| Encephalon Diseases| Intracranial CNS Disorder| Intracranial Central Nervous System Disorders| Central Nervous System Intracranial Disorders| CNS Disorders, Intracranial| Encephalon Disease| CNS Disorder, Intracranial"
,,D001928,C10.228.140.163,,"Brain Diseases, Metabolic",Central Nervous System Diseases,,"Brain Syndrome, Metabolic| Metabolic Brain Disorders| Metabolic Disorder, Brain| Metabolic Encephalopathy| Brain Disorders, Metabolic| Metabolic Brain Syndrome| Metabolic Encephalopathies| Metabolic Disorders, Brain| Metabolic Brain Syndromes| Brain Metabolic Disorder| Metabolic Brain Diseases| Encephalopathies, Metabolic| Brain Diseases, Metabolic| Brain Metabolic Disorders| Brain Disorder, Metabolic| Metabolic Brain Disorder| Metabolic Brain Disease| Encephalopathy, Metabolic| Brain Disease, Metabolic"
,,D001929,C10.228.140.187,,Brain Edema,Central Nervous System Diseases,,"Brain Swelling| Brain Swellings| Brain Edema| Intracranial Edema| Edema, Brain| Swelling, Brain| Edema, Intracranial"
,,D001930,C10.900.300.087| C10.228.140.199,,Brain Injuries,"Trauma, Nervous System",,"Injury, Brain| Brain Injuries| Brain Injury| Injuries, Brain"
,,D001932,C10.551.240.250| C10.228.140.211,,Brain Neoplasms,Nervous System Neoplasms,,"Brain Neoplasm| Neoplasms, Brain| Tumor, Brain| Brain Tumors| Neoplasm, Brain| Brain Tumor| Brain Neoplasms"
,,D002340,C10.228.140.300.200,,Carotid Artery Diseases,Central Nervous System Diseases,,"Artery Disorder, Carotid| Artery Disorders, Carotid| Carotid Artery Disorder| Carotid Artery Disorders| Carotid Artery Disease| Arterial Diseases, Carotid| Arterial Disease, Carotid| Artery Diseases, Carotid| Disorders, Carotid Artery| Artery Disease, Carotid| Carotid Arterial Disease| Carotid Artery Diseases| Carotid Arterial Diseases"
,,D002341,C10.228.140.300.200.355,,Carotid Artery Thrombosis,Central Nervous System Diseases,,"Carotid Artery Thrombosis| Carotid Thrombosis| Thrombosis, Carotid Artery| Thrombosis, Carotid| Carotid Artery Thromboses"
http://id.who.int/icd/entity/1275186848,http://id.who.int/icd/entity/304675531,D002349,C10.668.829.550.200| C10.668.829.500.500.200,Carpal tunnel syndrome,Carpal Tunnel Syndrome,Neuromuscular Diseases,Diseases of the nervous system,"Carpal Tunnel Syndrome| Median Neuropathy, Carpal Tunnel| Syndromes, Carpal Tunnel| Syndrome, Carpal Tunnel| Entrapment Neuropathy, Carpal Tunnel| Compression Neuropathy, Carpal Tunnel| Carpal Tunnel Syndromes| Amyotrophy, Thenar, Of Carpal Origin"
,,D002375,C10.597.350.200,,Catalepsy,Neurologic Manifestations,,Anochlesia| Catalepsy| Catalepsies| Anochlesias
,,D002385,C10.886.425.800.200.750.500,,Cataplexy,Sleep Wake Disorders,,"Attacks, Cataleptic| Tonelessness Syndrome| Syndrome, Tonelessness| Syndrome, Henneberg| Cataplexy| Cataleptic Attacks| Attack, Cataleptic| Syndromes, Tonelessness| Tonelessness Syndromes| Henneberg Syndrome| Cataleptic Attack"
http://id.who.int/icd/entity/486722075,http://id.who.int/icd/entity/334423054,D002389,C10.597.606.115,Catatonia,Catatonia,Neurologic Manifestations,"Mental, behavioural and neurodevelopmental",Catatonias| Catatonia
,,D002422,C10.177.195.200| C10.668.829.600.200| C10.668.829.250.200,,Causalgia,Autonomic Nervous System Diseases,,"Causalgia| Syndromes, Causalgia| Deafferentation Pain| Causalgia Syndromes| Syndrome, Causalgia| Complex Regional Pain Syndrome Type II| Pain, Deafferentation| Causalgia Syndrome| Type II Complex Regional Pain Syndrome| CRPS Type II"
,,D002493,C10.228,,Central Nervous System Diseases,Central Nervous System Diseases,,Central Nervous System Diseases| Central Nervous System Disease| Central Nervous System Disorder| Central Nervous System Disorders| CNS Disease| CNS Diseases
,,D002494,C10.228.228,,Central Nervous System Infections,Central Nervous System Diseases,,"Infections, CNS| CNS Infections| Infections, Central Nervous System| Infection, CNS| CNS Infection| Central Nervous System Infection| Central Nervous System Infections"
,,D002524,C10.228.140.252.190| C10.597.350.090.500,,Cerebellar Ataxia,Central Nervous System Diseases,,"Cerebellar Incoordinations| Cerebellar Ataxia| Ataxias, Cerebellar| Ataxia, Cerebellar| Cerebellar Ataxias| Cerebellar Incoordination| Incoordinations, Cerebellar| Incoordination, Cerebellar"
