Mesh ID,Common name,Synonyms,Tree Number,Disease Class
D000071072,Acute Febrile Encephalopathy,"Acute Encephalitis Syndromes| Acute Febrile Encephalopathy| Acute Febrile Encephalopathies| Acute Encephalitis Syndrome| Encephalopathy, Acute Febrile| Encephalopathies, Acute Febrile| Febrile Encephalopathies, Acute",C10.228.140.021,Central Nervous System Diseases
D000071075,Small Fiber Neuropathy,"Neuropathies, Small Fibre| Small Nerve Fiber Neuropathy| Neuropathy, Small Fiber| Small Fibre Neuropathy| Small Fiber Neuropathy| Small Fiber Neuropathies| Neuropathy, Small Fibre| Small Fibre Neuropathies| Neuropathies, Small Fiber",C10.668.829.860,Neuromuscular Diseases
D000071257,Emergence Delirium,"Excitement, Postanesthetic| Emergence Excitement| Agitation, Emergence| Emergence Agitation| Delirium, Post-Operative| Emergence Delirium| Agitations, Emergence| Anesthesia Emergence Delirium| Delirium, Emergence| Agitated Emergence| Excitement, Emergence| Emergence, Agitated| Emergence Delirium, Anesthesia| Delirium, Postoperative| Delirium, Anesthesia Emergence| Post Operative Delirium| Post-Operative Delirium| Postoperative Delirium| Postanesthetic Excitement",C10.597.606.337.500.500,Neurologic Manifestations
D000071699,Bilateral Vestibulopathy,"Vestibular Insufficiency, Bilateral| Vestibular Loss, Bilateral| Vestibulopathy, Bilateral| Bilateral Vestibulopathy| Bilateral Vestibular Insufficiency| Vestibular Deficiency, Bilateral| Bilateral Vestibular Loss| Bilateral Vestibular Deficiency| Vestibular Areflexia",C10.597.057,Neurologic Manifestations
D000072659,Hypophysitis,Hypophysitides| Hypophysitis,C10.228.140.617.738.275,Central Nervous System Diseases
D000073376,Epileptic Syndromes,"Syndromic Epilepsies| Epilepsy, Syndromic| Epileptic Syndrome| Epilepsy Syndromes| Epilepsy Syndrome| Epilepsies, Syndromic| Epileptic Syndromes| Syndromic Epilepsy",C10.228.140.490.493,Central Nervous System Diseases
D000073839,Trisomy 13 Syndrome,Trisomy 13 Syndromes| Bartholin Patau Syndrome| Patau Syndrome| Patau's Syndrome| Pataus Syndrome| Chromosome 13 Trisomy Syndrome| Trisomy 13 Syndrome| Bartholin-Patau Syndrome,C10.597.606.360.835,Neurologic Manifestations
D000074042,Cerebral Intraventricular Hemorrhage,"Cerebral Intraventricular Haemorrhage| Cerebral Intraventricular Hemorrhages| Intraventricular Haemorrhages, Cerebral| Intraventricular Haemorrhage, Cerebral| Haemorrhage, Cerebral Intraventricular| Cerebral Intraventricular Hemorrhage| Hemorrhage, Cerebral Intraventricular| Intraventricular Hemorrhage, Cerebral| Cerebral Intraventricular Haemorrhages",C10.228.140.300.535.200.600,Central Nervous System Diseases
D000075562,Charles Bonnet Syndrome,Charles Bonnet Syndrome,C10.597.606.762.300.500,Neurologic Manifestations
D000076042,Alcoholic Korsakoff Syndrome,"Wernicke-Korsakoff Syndrome, Alcoholic| Alcohol Induced Korsakoff Syndrome| Korsakoff Syndrome, Alcohol-Induced| Alcohol-Induced Korsakoff Syndrome| Alcoholic Wernicke-Korsakoff Syndrome| Alcoholic Korsakoff Syndrome| Korsakoff Syndrome, Alcoholic| Alcoholic Wernicke Korsakoff Syndrome",C10.720.112.100.250| C10.597.606.525.400.500,Neurotoxicity Syndromes
D000076984,Neonatal Brachial Plexus Palsy,Neonatal Brachial Plexus Palsy| Obstetrical Brachial Plexus Palsy| Obstetrical Brachial Plexus Lesion,C10.668.829.100.750,Neuromuscular Diseases
D000077162,Neurolymphomatosis,Neurolymphomatoses| Neurolymphomatosis,C10.551.568,Nervous System Neoplasms
D000077684,Cauda Equina Syndrome,Cauda Equina Syndromes| Cauda Equina Syndrome,C10.668.829.550.350| C10.668.829.800.750.150,Neuromuscular Diseases
D000160,Vestibulocochlear Nerve Diseases,Cranial Nerve VIII Diseases| Eighth Cranial Nerve Diseases| Cranial Nerve VIII Disorders| Vestibulocochlear Nerve Disease| Vestibulocochlear Nerve Diseases,C10.292.910,Cranial Nerve Diseases
D000170,Acrodynia,"Acrodynic Erythema| Swift Disease| Feers Disease| Chronic Childhood Mercurialism| Erythema, Acrodynic| Swift's Disease| Childhood Mercurialisms, Chronic| Chronic Childhood Mercurialisms| Feer Disease| Mercurialism, Chronic Childhood| Feer's Disease| Swifts Disease| Acrodynia| Pink Disease| Childhood Mercurialism, Chronic",C10.720.475.600.150| C10.668.829.025,Neurotoxicity Syndromes
D000172,Acromegaly,"Somatotropin Hypersecretion Syndrome (Acromegaly)| Syndromes, Somatotropin Hypersecretion (Acromegaly)| Somatotropin Hypersecretion Syndromes (Acromegaly)| Inappropriate Growth Hormone Secretion Syndrome (Acromegaly)| Hypersecretion Syndrome, Somatotropin (Acromegaly)| Hypersecretion Syndromes, Somatotropin (Acromegaly)| Inappropriate GH Secretion Syndrome (Acromegaly)| Acromegaly| Syndrome, Somatotropin Hypersecretion (Acromegaly)",C10.228.140.617.738.250.100,Central Nervous System Diseases
D000270,Adie Syndrome,"Pupils, Poorly Reacting| Adie's Syndrome| Holmes-Adie Syndrome| Poorly Reacting Pupils| Syndrome, Adie's| Syndrome, Holmes-Adie| Poorly Reacting Pupil| Holmes Adie Syndrome| Adie Syndrome| Syndrome, Adie| Pupil, Poorly Reacting",C10.292.562.700.250| C10.177.045,Cranial Nerve Diseases
D000326,Adrenoleukodystrophy,"ALD (Adrenoleukodystrophy)| Siemerling Creutzfeldt Disease| X Linked Adrenoleukodystrophy| Schilder Addison Complex| Leukodystrophies, Melanodermic| Leukodystrophy, Melanodermic| X-ALD| X-ALD (X-Linked Adrenoleukodystrophy)| Addison Disease and Cerebral Sclerosis| Adrenoleukodystrophy| Bronze Schilder Disease| Siemerling-Creutzfeldt Disease| X-Linked Adrenoleukodystrophy| X ALD| Melanodermic Leukodystrophy| Adrenoleukodystrophy, X-Linked| Schilder-Addison Complex| X ALD (X Linked Adrenoleukodystrophy)",C10.228.140.163.100.084| C10.314.400.250| C10.228.140.695.625.250| C10.228.140.163.100.362.250| C10.597.606.360.455.124,Central Nervous System Diseases
D000370,Ageusia,Ageusia| Taste Loss| Loss of Taste,C10.597.751.861.184,Neurologic Manifestations
D000377,Agnosia,Agnosia| Agnosias,C10.597.606.762.100,Neurologic Manifestations
D000381,Agraphia,Agraphias| Agraphia,C10.597.606.150.500.050,Neurologic Manifestations
D000405,Akinetic Mutism,"Autism, Akinetic| Akinetic Mutism| Coma Vigil| Akinetic Autism| Akinetic Mutisms| Vigils, Coma| Vigil, Coma| Coma Vigilans| Mutism, Akinetic",C10.228.140.042,Central Nervous System Diseases
D000425,Alcohol Amnestic Disorder,"Alcohol Amnestic Syndrome| Alcohol Induced Dysmnesic Psychosis| Dysmnesic Psychoses, Alcohol-Induced| Amnestic Psychoses, Alcohol-Induced| Amnestic Syndromes, Alcohol-Induced| Psychosis, Alcohol-Induced Dysmnesic| Psychosis, Alcohol-Induced Amnestic| Alcohol-Induced Dysmnesic Psychosis| Amnestic Disorder, Alcohol| Psychoses, Alcohol-Induced Dysmnesic| Alcohol Amnestic Disorders| Alcohol-Induced Amnestic Psychoses| Alcohol-Induced Dysmnesic Syndromes| Amnestic Syndrome, Alcohol-Induced| Alcohol-Induced Amnestic Psychosis| Alcohol Induced Amnestic Syndrome| Dysmnesic Psychosis, Alcohol-Induced| Alcohol-Induced Dysmnesic Syndrome| Alcohol-Induced Persisting Amnestic Disorder| Alcohol Amnestic Disorder| Amnestic Psychosis, Alcohol Induced| Alcohol Induced Persisting Amnestic Disorder| Dysmnesic Syndrome, Alcohol-Induced| Amnestic Psychosis, Alcohol-Induced| Psychoses, Alcohol-Induced Amnestic| Alcohol Induced Dysmnesic Syndrome| Dysmnesic Syndromes, Alcohol-Induced| Alcohol Amnestic Syndromes| Alcohol-Induced Amnestic Syndrome| Alcohol-Induced Amnestic Syndromes| Alcohol Induced Amnestic Psychosis| Alcohol-Induced Dysmnesic Psychoses",C10.720.112.100,Neurotoxicity Syndromes
D000430,Alcohol Withdrawal Delirium,"Alcohol Withdrawal Delirium| Delirium Tremens, Alcohol Withdrawal Induced| Alcohol Withdrawal-Induced Delirium Tremens| Alcohol Withdrawal Induced Delirium Tremens| Delirium Tremens| Delirium, Alcohol Withdrawal",C10.720.112.200,Neurotoxicity Syndromes
D000544,Alzheimer Disease,"Alzheimer Dementia| Sclerosis, Alzheimer| Alzheimer Type Dementia| Alzheimer Dementias| Alzheimers Diseases| Alzheimer Syndrome| Dementia, Alzheimer| Alzheimer-Type Dementia (ATD)| Alzheimer Type Dementia (ATD)| Primary Senile Degenerative Dementia| Alzheimer Disease| Dementia, Senile| Dementia, Primary Senile Degenerative| Alzheimer's Diseases| Alzheimer Sclerosis| Senile Dementia| Dementia, Alzheimer Type| Alzheimer Type Senile Dementia| Senile Dementia, Alzheimer Type| Alzheimer's Disease| Dementia, Alzheimer-Type (ATD)| Alzheimer Diseases",C10.574.945.249| C10.228.140.380.100,Neurodegenerative Diseases
D000550,Amblyopia,Amblyopias| Amblyopia,C10.597.751.941.073| C10.228.140.055,Neurologic Manifestations
D000647,Amnesia,Amnesias| Amnesia| Amnesia Memory Loss| Amnesia-Memory Loss| Amnesia-Memory Losses,C10.597.606.525.100,Neurologic Manifestations
D000690,Amyotrophic Lateral Sclerosis,"Disease, Lou-Gehrigs| ALS Amyotrophic Lateral Sclerosis| Sclerosis, Amyotrophic Lateral| Lou Gehrig Disease| ALS - Amyotrophic Lateral Sclerosis| Charcot Disease| Amyotrophic Lateral Sclerosis| Gehrig's Disease| Lou-Gehrigs Disease| Gehrig Disease| Gehrigs Disease| Motor Neuron Disease, Amyotrophic Lateral Sclerosis| Lou Gehrig's Disease",C10.228.854.139| C10.574.562.250| C10.574.950.050| C10.668.467.250,Central Nervous System Diseases
D000699,"Pain Insensitivity, Congenital","Congenital Analgesia| Channelopathy-Associated Insensitivity To Pain| Congenital Indifference to Pain| Pain Indifference, Congenital| Congenital Pain Indifference| Congenital Pain Indifferences| Analgesia, Congenital| Pain Insensitivity, Congenital| Congenital Insensitivity To Pain| Insensitivity, Congenital Pain| Insensitivity To Pain, Congenital| Congenital Pain Insensitivity",C10.668.829.700,Neuromuscular Diseases
D000757,Anencephaly,"Brain Congenital Absence| Anencephalus| Anencephaly| Anencephalias| Absence of Brain, Congenital| Anencephalia| Congenital Absence of Brain",C10.500.680.196,Nervous System Malformations
D000795,Fabry Disease,"Fabry Disease| alpha Galactosidase A Deficiency| alpha-Galactosidase A Deficiency Disease| Deficiency, Ceramide Trihexosidase| Lipidosis, Hereditary Dystopic| Angiokeratoma Corporis Diffusum| Hereditary Dystopic Lipidosis| Deficiency, GLA| Ceramide Trihexosidase Deficiency| alpha-Galactosidase A Deficiency| Angiokeratoma, Diffuse| alpha Galactosidase A Deficiency Disease| Deficiency, alpha-Galactosidase A| GLA Deficiency| Anderson-Fabry Disease| Angiokeratoma Diffuse| Fabry's Disease| Diffuse Angiokeratoma| Anderson Fabry Disease",C10.228.140.163.100.435.825.200| C10.228.140.300.275.374,Central Nervous System Diseases
D000849,Anomia,"Nominal Dysphasias| Anomic Dysphasias| Dysphasias, Nominal| Aphasia, Anomic| Dysnomias| Dysnomia| Dysphasia, Anomic| Nominal Aphasia| Anomic Dysphasia| Anomia| Dysphasias, Anomic| Amnesic Aphasia| Aphasia, Nominal| Dysphasia, Nominal| Nominal Dysphasia| Aphasia, Amnesic| Anomic Aphasia",C10.597.606.150.500.090,Neurologic Manifestations
D000857,Olfaction Disorders,Olfaction Disorder| Smell Disorders| Olfaction Disorders| Smell Disorder,C10.597.751.600,Neurologic Manifestations
D001037,Aphasia,"Anepia| Logamnesias| Deafness, Word| Alogias| Logagnosias| Word Deafness| Anepias| Logamnesia| Logagnosia| Logasthenias| Alogia| Aphasia| Logasthenia",C10.597.606.150.500.800.100,Neurologic Manifestations
D001044,Aphonia,Voice Absences| Aphonia| Voice Absence| Absence of Voice,C10.597.975.100,Neurologic Manifestations
D001072,Apraxias,Dyspraxias| Apraxias| Dyspraxia| Apraxia,C10.597.606.881.350,Neurologic Manifestations
D001139,Arnold-Chiari Malformation,"Arnold-Chiari Malformation| Arnold Chiari Malformation| Deformity, Arnold-Chiari| Malformation, Arnold Chiari| Arnold-Chiari Syndrome| Arnold Chiari Deformity| Arnold Chiari Syndrome| Malformation, Arnold-Chiari| Arnold-Chiari Deformity| Syndrome, Arnold-Chiari",C10.500.680.291,Nervous System Malformations
D001184,Articulation Disorders,"Disorder, Disarticulation| Phonological Impairment| Articulation Disorders| Articulation Disorder, Speech| Speech Articulation Disorders| Impairment, Phonology| Impairments, Phonological| Articulation Disorder| Misarticulation| Impairments, Phonology| Disarticulation Disorder| Phonology Impairments| Phonological Impairments| Disorders, Disarticulation| Phonology Impairment| Disarticulation Disorders| Speech Articulation Disorder| Impairment, Phonological| Articulation Disorders, Speech",C10.597.606.150.500.800.150,Neurologic Manifestations
D001259,Ataxia,"Impairment, Coordination| Dyssynergia| Ataxy| Ataxia| Coordination Impairments| Impairments, Coordination| Ataxias| Coordination Impairment",C10.597.350.090,Neurologic Manifestations
D001260,Ataxia Telangiectasia,"Ataxia Telangiectasia| Syndrome, Louis-Bar| Ataxia Telangiectasia Syndrome| Louis-Bar Syndrome| Louis Bar Syndrome| Syndrome, Ataxia Telangiectasia| Ataxia-Telangiectasia| Telangiectasia, Cerebello-Oculocutaneous",C10.562.100| C10.597.350.090.500.530.060| C10.228.140.252.190.530.060,Neurocutaneous Syndromes
D001264,Athetosis,"Athetoses| Hammond Disease| Athetosis| Athetoid Movement| Movement, Athetoid| Athetoid Movements| Movements, Athetoid| Hammond Diseases| Hammonds Disease| Disease, Hammond's| Diseases, Hammond| Diseases, Hammond's| Hammond's Disease| Hammond's Diseases| Disease, Hammond",C10.597.350.110,Neurologic Manifestations
D001304,"Auditory Diseases, Central","Auditory Diseases, Central| Auditory Dysfunction, Central| Central Auditory Disease| Central Auditory Dysfunction| Dysfunctions, Central Auditory| Central Auditory Pathway Disorders| Central Auditory Diseases| Auditory Disease, Central| Dysfunction, Central Auditory| Auditory Pathway Disorders, Central",C10.228.140.068,Central Nervous System Diseases
D001308,Auditory Perceptual Disorders,"Comprehension Disorder, Auditory| Auditory Processing Disorders| Processing Disorder, Auditory| Psychoacoustical Disorder| Auditory Processing Disorder| Disorders, Psychoacoustical| Auditory Comprehension Disorder| Disorders, Auditory Comprehension| Auditory Perceptual Disorder| Comprehension Disorders, Auditory| Acoustic Perceptual Disorder| Auditory Comprehension Disorders| Disorder, Acoustic Perceptual| Perceptual Disorders, Auditory| Disorder, Auditory Processing| Auditory Perceptual Disorders| Acoustic Perceptual Disorders| Disorders, Acoustic Perceptual| Perceptual Disorder, Acoustic| Disorder, Auditory Comprehension| Perceptual Disorders, Acoustic| Disorder, Psychoacoustical| Disorders, Auditory Processing| Perceptual Disorder, Auditory| Psychoacoustical Disorders| Processing Disorders, Auditory",C10.597.606.762.200| C10.228.140.068.094,Neurologic Manifestations
D001342,Autonomic Nervous System Diseases,"Nervous System Diseases, Autonomic| ANS Disease| Autonomic Nervous System Diseases| Autonomic Central Nervous System Diseases| Autonomic Disease| Central Autonomic Nervous System Diseases| ANS Diseases| Disorders of the Autonomic Nervous System| Autonomic Diseases| ANS (Autonomic Nervous System) Diseases| Autonomic Nervous System Disorders",C10.177,Autonomic Nervous System Diseases
D001480,Basal Ganglia Diseases,Basal Ganglia Diseases| Basal Ganglia Disorder| Basal Ganglia Disorders| Basal Ganglia Disease,C10.228.140.079,Central Nervous System Diseases
D001750,"Urinary Bladder, Neurogenic","Urinary Bladder, Neurogenic| Neurogenic Bladder Disorders| Neurogenic Dysfunction of the Urinary Bladder| Neurogenic Urinary Bladder Disorder| Neurogenic Bladder Disorder| Bladder, Neurogenic| Bladder Disorder, Neurogenic| Neurogenic Bladder| Neuropathic Bladder| Urinary Bladder Disorder, Neurogenic| Urinary Bladder Neurogenic Dysfunction| Neurogenic Urinary Bladder",C10.597.900,Neurologic Manifestations
D001766,Blindness,Blindness,C10.597.751.941.162,Neurologic Manifestations
D001906,Botulism,"Toxico-Infectious Botulism| Botulism| Botulism, Toxico-Infectious| Toxico Infectious Botulism| Clostridium botulinum Infection| Clostridium botulinum Infections| Infection, Clostridium botulinum| Botulism, Toxico Infectious",C10.720.150| C10.668.758.200,Neurotoxicity Syndromes
D001922,Brain Abscess,"Brain Abscesses| Brain Abscess| Abscess, Brain",C10.228.140.116| C10.228.228.090,Central Nervous System Diseases
D001924,Brain Concussion,"Cerebral Concussion| Brain Concussions| Commotio Cerebri| Concussion, Cerebral| Concussion, Brain| Brain Concussion| Cerebral Concussions",C10.900.300.087.235.250| C10.900.300.350.300| C10.228.140.199.444.250,"Trauma, Nervous System"
D001925,"Brain Damage, Chronic","Encephalopathy, Chronic| Chronic Encephalopathy| Brain Damage, Chronic| Chronic Brain Damage",C10.228.140.140,Central Nervous System Diseases
D001926,Brain Death,"Brain Dead| Death, Brain| Coma Depasse| Brain Deads| Brain Death",C10.597.606.358.800.200.100| C10.228.140.151,Neurologic Manifestations
D001927,Brain Diseases,"Brain Disorders| Brain Diseases| Brain Disorder| Central Nervous System Disorders, Intracranial| Brain Disease| Intracranial CNS Disorders| Encephalon Diseases| Intracranial CNS Disorder| Intracranial Central Nervous System Disorders| Central Nervous System Intracranial Disorders| CNS Disorders, Intracranial| Encephalon Disease| CNS Disorder, Intracranial",C10.228.140,Central Nervous System Diseases
D001928,"Brain Diseases, Metabolic","Brain Syndrome, Metabolic| Metabolic Brain Disorders| Metabolic Disorder, Brain| Metabolic Encephalopathy| Brain Disorders, Metabolic| Metabolic Brain Syndrome| Metabolic Encephalopathies| Metabolic Disorders, Brain| Metabolic Brain Syndromes| Brain Metabolic Disorder| Metabolic Brain Diseases| Encephalopathies, Metabolic| Brain Diseases, Metabolic| Brain Metabolic Disorders| Brain Disorder, Metabolic| Metabolic Brain Disorder| Metabolic Brain Disease| Encephalopathy, Metabolic| Brain Disease, Metabolic",C10.228.140.163,Central Nervous System Diseases
D001929,Brain Edema,"Brain Swelling| Brain Swellings| Brain Edema| Intracranial Edema| Edema, Brain| Swelling, Brain| Edema, Intracranial",C10.228.140.187,Central Nervous System Diseases
D001930,Brain Injuries,"Injury, Brain| Brain Injuries| Brain Injury| Injuries, Brain",C10.900.300.087| C10.228.140.199,"Trauma, Nervous System"
D001932,Brain Neoplasms,"Brain Neoplasm| Neoplasms, Brain| Tumor, Brain| Brain Tumors| Neoplasm, Brain| Brain Tumor| Brain Neoplasms",C10.551.240.250| C10.228.140.211,Nervous System Neoplasms
D002340,Carotid Artery Diseases,"Artery Disorder, Carotid| Artery Disorders, Carotid| Carotid Artery Disorder| Carotid Artery Disorders| Carotid Artery Disease| Arterial Diseases, Carotid| Arterial Disease, Carotid| Artery Diseases, Carotid| Disorders, Carotid Artery| Artery Disease, Carotid| Carotid Arterial Disease| Carotid Artery Diseases| Carotid Arterial Diseases",C10.228.140.300.200,Central Nervous System Diseases
D002341,Carotid Artery Thrombosis,"Carotid Artery Thrombosis| Carotid Thrombosis| Thrombosis, Carotid Artery| Thrombosis, Carotid| Carotid Artery Thromboses",C10.228.140.300.200.355,Central Nervous System Diseases
D002349,Carpal Tunnel Syndrome,"Carpal Tunnel Syndrome| Median Neuropathy, Carpal Tunnel| Syndromes, Carpal Tunnel| Syndrome, Carpal Tunnel| Entrapment Neuropathy, Carpal Tunnel| Compression Neuropathy, Carpal Tunnel| Carpal Tunnel Syndromes| Amyotrophy, Thenar, Of Carpal Origin",C10.668.829.550.200| C10.668.829.500.500.200,Neuromuscular Diseases
D002375,Catalepsy,Anochlesia| Catalepsy| Catalepsies| Anochlesias,C10.597.350.200,Neurologic Manifestations
D002385,Cataplexy,"Attacks, Cataleptic| Tonelessness Syndrome| Syndrome, Tonelessness| Syndrome, Henneberg| Cataplexy| Cataleptic Attacks| Attack, Cataleptic| Syndromes, Tonelessness| Tonelessness Syndromes| Henneberg Syndrome| Cataleptic Attack",C10.886.425.800.200.750.500,Sleep Wake Disorders
D002389,Catatonia,Catatonias| Catatonia,C10.597.606.115,Neurologic Manifestations
D002422,Causalgia,"Causalgia| Syndromes, Causalgia| Deafferentation Pain| Causalgia Syndromes| Syndrome, Causalgia| Complex Regional Pain Syndrome Type II| Pain, Deafferentation| Causalgia Syndrome| Type II Complex Regional Pain Syndrome| CRPS Type II",C10.177.195.200| C10.668.829.600.200| C10.668.829.250.200,Autonomic Nervous System Diseases
D002493,Central Nervous System Diseases,Central Nervous System Diseases| Central Nervous System Disease| Central Nervous System Disorder| Central Nervous System Disorders| CNS Disease| CNS Diseases,C10.228,Central Nervous System Diseases
D002494,Central Nervous System Infections,"Infections, CNS| CNS Infections| Infections, Central Nervous System| Infection, CNS| CNS Infection| Central Nervous System Infection| Central Nervous System Infections",C10.228.228,Central Nervous System Diseases
D002524,Cerebellar Ataxia,"Cerebellar Incoordinations| Cerebellar Ataxia| Ataxias, Cerebellar| Ataxia, Cerebellar| Cerebellar Ataxias| Cerebellar Incoordination| Incoordinations, Cerebellar| Incoordination, Cerebellar",C10.228.140.252.190| C10.597.350.090.500,Central Nervous System Diseases
D002526,Cerebellar Diseases,"Cerebellum Diseases| Disease, Cerebellar| Syndrome, Cerebellar| Cerebellar Disorder| Cerebellar Syndromes| Cerebellar Disorders| Cerebellar Syndrome| Cerebellum Disease| Cerebellar Diseases| Cerebellar Dysfunction| Cerebellar Disease| Disorder, Cerebellar| Dysfunction, Cerebellar| Cerebellar Dysfunctions| Disease, Cerebellum",C10.228.140.252,Central Nervous System Diseases
D002527,Myoclonic Cerebellar Dyssynergia,"Cerebellar Dyssynergia, Myoclonic| Cerebellar Atrophy, Dentate| Dyssynergias, Myoclonic Cerebellar| Dyssynergia, Cerebellar| Ramsay Hunt Cerebellar Syndrome| Dentate Cerebellar Ataxias| Atrophy, Dentate Cerebellar| Atrophies, Dentate Cerebellar| Cerebellar Dyssynergia| Dentate Nucleus Syndrome, Ramsay Hunt| Dyssynergia Cerebellaris Progressiva| Ataxia, Dentate Cerebellar| Myoclonic Cerebellar Dyssynergias| Dentate Cerebellar Atrophies| Ramsay Hunt Dentate Syndrome| Dyssynergia Cerebellaris Myoclonica| Ataxias, Dentate Cerebellar| Cerebellar Dyssynergias| Myoclonic Cerebellar Dyssynergia| Dyssynergia, Myoclonic Cerebellar| Cerebellar Ataxias, Dentate| Cerebellar Dyssynergias, Myoclonic| Dyssynergias, Cerebellar| Dentate Cerebellar Atrophy| Dentate Cerebellar Ataxia",C10.228.140.252.700.250| C10.574.500.825.250| C10.228.854.787.500,Central Nervous System Diseases
D002528,Cerebellar Neoplasms,"Cerebellar Neoplasms| Cerebellar Neoplasm| Neoplasm, Cerebellar| Cerebellar Tumor| Cerebellar Tumors| Tumor, Cerebellar| Neoplasms, Cerebellar",C10.551.240.250.400.300| C10.228.140.211.500.200| C10.228.140.252.200,Nervous System Neoplasms
D002532,Intracranial Aneurysm,"Intracranial Aneurysms| Intracranial Aneurysm| Aneurysm, Intracranial| Aneurysms, Intracranial",C10.228.140.300.510.600,Central Nervous System Diseases
D002534,"Hypoxia, Brain","Hypoxia, Cerebral| Brain Hypoxia| Cerebral Hypoxia| Hypoxia, Brain",C10.228.140.624,Central Nervous System Diseases
D002537,Intracranial Arteriosclerosis,"Intracranial Arterioscleroses| Intracranial Arteriosclerosis| Arterioscleroses, Intracranial| Arteriosclerosis, Intracranial",C10.228.140.300.510.800,Central Nervous System Diseases
D002538,Intracranial Arteriovenous Malformations,"Arteriovenous Malformations, Intracranial| AVM (Arteriovenous Malformation) Intracranial| Intracranial Arteriovenous Malformations| Malformations, Intracranial Arteriovenous| Malformation, Intracranial Arteriovenous| Intracranial Arteriovenous Malformations, Congenital| Arteriovenous Malformation, Intracranial| Congenital Intracranial Arteriovenous Malformations| Intracranial Arteriovenous Malformation",C10.228.140.300.520| C10.500.190.500,Central Nervous System Diseases
