Neurological Disease,Source,Disease Class
Acquired structural lesions of the autonomic nervous system,ICD,Diseases of the nervous system
Acquired trochlear nerve palsy,ICD,Diseases of the nervous system
Acquired-Immune Deficiency Syndrome Dementia Complex,MeSH,Central Nervous System Diseases
Acrocallosal Syndrome,MeSH,Nervous System Malformations
Acrocallosal Syndromes,MeSH,Nervous System Malformations
Acrodynia,MeSH,Neurotoxicity Syndromes
Acrodynic Erythema,MeSH,Neurotoxicity Syndromes
Acromegaly,MeSH,Central Nervous System Diseases
Acromegaly Due To Pituitary Adenoma,MeSH,Central Nervous System Diseases
Acroparaesthesia,ICD,Diseases of the nervous system
"Acroparaesthesia, simple",ICD,Diseases of the nervous system
"Acroparaesthesia, vasomotor",ICD,Diseases of the nervous system
Acrophobia,ICD,Diseases of the nervous system
Actin myopathy,ICD,Diseases of the nervous system
"Activator Deficiencies, GM2",MeSH,Central Nervous System Diseases
"Activator Deficiencies, Hexosaminidase",MeSH,Central Nervous System Diseases
Activator Deficiency GM2 Gangliosidosis,MeSH,Central Nervous System Diseases
"Activator Deficiency, GM2",MeSH,Central Nervous System Diseases
"Activator Deficiency, Hexosaminidase",MeSH,Central Nervous System Diseases
Activator Deficient Tay Sachs Disease,MeSH,Central Nervous System Diseases
Activator-Deficient Tay-Sachs Disease,MeSH,Central Nervous System Diseases
Activator-Deficient Tay-Sachs Diseases,MeSH,Central Nervous System Diseases
Acute Disseminated Encephalomyelitides,MeSH,Central Nervous System Diseases
Acute Disseminated Encephalomyelitis,MeSH,Central Nervous System Diseases
Acute Encephalitis Syndrome,MeSH,Central Nervous System Diseases
Acute Encephalitis Syndromes,MeSH,Central Nervous System Diseases
Acute Febrile Encephalopathies,MeSH,Central Nervous System Diseases
Acute Febrile Encephalopathy,MeSH,Central Nervous System Diseases
Acute Hemorrhagic Encephalomyelitides,MeSH,Autoimmune Diseases of the Nervous System
Acute Hemorrhagic Encephalomyelitis,MeSH,Autoimmune Diseases of the Nervous System
Acute Hemorrhagic Leukoencephalitides,MeSH,Autoimmune Diseases of the Nervous System
Acute Hemorrhagic Leukoencephalitis,MeSH,Autoimmune Diseases of the Nervous System
Acute Idiopathic Facial Neuropathy,MeSH,Cranial Nerve Diseases
Acute Inflammatory Facial Neuropathy,MeSH,Cranial Nerve Diseases
Acute Poliomyelitis,MeSH,Neuromuscular Diseases
"Acute Poliomyelitis, Epidemic",MeSH,Neuromuscular Diseases
Acute Subdural Hematoma,MeSH,"Trauma, Nervous System"
Acute Subdural Hematomas,MeSH,"Trauma, Nervous System"
Acute alcoholic myopathy,ICD,Diseases of the nervous system
Acute and transient psychotic disorder,ICD,Diseases of the nervous system
"Acute and transient psychotic disorder, first episode",ICD,Diseases of the nervous system
"Acute and transient psychotic disorder, first episode, currently symptomatic",ICD,Diseases of the nervous system
"Acute and transient psychotic disorder, first episode, in full remission",ICD,Diseases of the nervous system
"Acute and transient psychotic disorder, first episode, in partial remission",ICD,Diseases of the nervous system
"Acute and transient psychotic disorder, multiple episodes",ICD,Diseases of the nervous system
"Acute and transient psychotic disorder, multiple episodes, currently symptomatic",ICD,Diseases of the nervous system
"Acute and transient psychotic disorder, multiple episodes, in full remission",ICD,Diseases of the nervous system
"Acute and transient psychotic disorder, multiple episodes, in partial remission",ICD,Diseases of the nervous system
Acute anterior polioencephalomyelitis,ICD,Diseases of the nervous system
Acute arterial infarction of the spinal cord,ICD,Diseases of the nervous system
Acute ascending poliomyelitis,ICD,Diseases of the nervous system
Acute atrophic infantile spinal paralysis,ICD,Diseases of the nervous system
Acute atrophic spinal paralysis,ICD,Diseases of the nervous system
"Acute back pain, not otherwise specified",ICD,Diseases of the nervous system
Acute bulbar polioencephalitis,ICD,Diseases of the nervous system
Acute cerebrovascular disease,ICD,Diseases of the nervous system
Acute cerebrovascular insufficiency,ICD,Diseases of the nervous system
Acute disseminated encephalitis,ICD,Diseases of the nervous system
Acute disseminated encephalomyelitis,ICD,Diseases of the nervous system
Acute dystonic reaction,ICD,Diseases of the nervous system
Acute glossopharyngeal zoster neuropathy,ICD,Diseases of the nervous system
Acute haemorrhagic leukoencephalitis,ICD,Diseases of the nervous system
Acute headache associated with craniotomy,ICD,Diseases of the nervous system
Acute headache associated with mild traumatic injury to the head,ICD,Diseases of the nervous system
Acute headache associated with moderate or severe injury to the head,ICD,Diseases of the nervous system
Acute headache associated with traumatic injury to the head,ICD,Diseases of the nervous system
Acute headache associated with whiplash injury,ICD,Diseases of the nervous system
Acute herpetic geniculate ganglionitis,ICD,Diseases of the nervous system
Acute inflammatory demyelinating polyneuropathy,ICD,Diseases of the nervous system
Acute intoxication by the combined effects of fentanyl and heroin,ICD,Diseases of the nervous system
Acute intoxication due to fentanyl,ICD,Diseases of the nervous system
Acute methadone intoxication,ICD,Diseases of the nervous system
Acute methamphetamine intoxication,ICD,Diseases of the nervous system
Acute motor axonal neuropathy,ICD,Diseases of the nervous system
Acute motor sensory axonal neuropathy,ICD,Diseases of the nervous system
Acute multiple neuropathy,ICD,Diseases of the nervous system
Acute neuropathy of cranial nerve due to zoster,ICD,Diseases of the nervous system
Acute nonepidemic poliomyelitis,ICD,Diseases of the nervous system
Acute nonparalytic poliomyelitis,ICD,Diseases of the nervous system
Acute panautonomic neuropathy,ICD,Diseases of the nervous system
Acute paralytic bulbar poliomyelitis,ICD,Diseases of the nervous system
"Acute paralytic poliomyelitis, not elsewhere classified",ICD,Diseases of the nervous system
"Acute paralytic poliomyelitis, vaccine-associated",ICD,Diseases of the nervous system
"Acute paralytic poliomyelitis, wild virus, imported",ICD,Diseases of the nervous system
"Acute paralytic poliomyelitis, wild virus, indigenous",ICD,Diseases of the nervous system
Acute poliomyelitis,ICD,Diseases of the nervous system
Acute repetitive seizures,ICD,Diseases of the nervous system
Acute seizures due to alcohol withdrawal,ICD,Diseases of the nervous system
Acute seizures due to central nervous system infections or infestations,ICD,Diseases of the nervous system
Acute sensory ataxic neuropathy,ICD,Diseases of the nervous system
Acute sensory polyneuropathy,ICD,Diseases of the nervous system
Acute toxic encephalopathy,ICD,Diseases of the nervous system
Acute toxicity due to early brain irradiation,ICD,Diseases of the nervous system
Acute transverse myelitis in demyelinating disease of the central nervous system,ICD,Diseases of the nervous system
Acute traumatic subdural haemorrhage,ICD,Diseases of the nervous system
Acute trigeminal zoster neuropathy,ICD,Diseases of the nervous system
Acute trochlear nerve palsy,ICD,Diseases of the nervous system
Acute venous infarction of the spinal cord,ICD,Diseases of the nervous system
Acute vestibular syndrome,ICD,Diseases of the nervous system
Acute vestibular syndrome due to acute attack of episodic vestibular disorder,ICD,Diseases of the nervous system
Acute vestibular syndrome due to anxiety or fear-related disorders,ICD,Diseases of the nervous system
Acute vestibular syndrome due to cerebrovascular disease,ICD,Diseases of the nervous system
Acute vestibular syndrome due to injury to the head,ICD,Diseases of the nervous system
Acute whiplash associated disorder with complaint of neck pain with musculoskeletal signs,ICD,Diseases of the nervous system
Acute whiplash associated disorder with complaint of neck pain with neurological signs,ICD,Diseases of the nervous system
"Acute whiplash associated disorder with complaint of neck pain, stiffness or tenderness only",ICD,Diseases of the nervous system
Acute whiplash injury associated with pain disorders,ICD,Diseases of the nervous system
Addison Disease and Cerebral Sclerosis,MeSH,Central Nervous System Diseases
Adenohypophyseal Hyposecretion,MeSH,Central Nervous System Diseases
"Adenoma, Corticotroph",MeSH,Central Nervous System Diseases
"Adenoma, Lactotroph",MeSH,Central Nervous System Diseases
"Adenoma, Prolactin-Secreting, Pituitary",MeSH,Central Nervous System Diseases
"Adenoma, Somatotroph",MeSH,Central Nervous System Diseases
"Adenomas, Corticotroph",MeSH,Central Nervous System Diseases
"Adenomas, Lactotroph",MeSH,Central Nervous System Diseases
"Adenomas, Somatotroph",MeSH,Central Nervous System Diseases
Adhesive arachnoiditis,ICD,Diseases of the nervous system
Adie Pupil,MeSH,Neurologic Manifestations
Adie Syndrome,MeSH,Cranial Nerve Diseases
Adie's Pupil,MeSH,Neurologic Manifestations
Adie's Syndrome,MeSH,Cranial Nerve Diseases
Adies Pupil,MeSH,Neurologic Manifestations
Adjustment disorder,ICD,Diseases of the nervous system
Adjustment reaction with destructiveness,ICD,Diseases of the nervous system
Adolescent Myoclonic Epilepsy,MeSH,Central Nervous System Diseases
Adrenoleukodystrophy,MeSH|ICD,Diseases of the nervous system|Central Nervous System Diseases
"Adrenoleukodystrophy, X-Linked",MeSH,Central Nervous System Diseases
Adrenomyeloneuropathy,ICD,Diseases of the nervous system
Adult Krabbe disease,ICD,Diseases of the nervous system
Adult Neurologic Saturnism,MeSH,Neurotoxicity Syndromes
Adult Refsum Disease,MeSH,Nervous System Malformations
Adult Refsum Diseases,MeSH,Nervous System Malformations
Adult dermatomyositis,ICD,Diseases of the nervous system
Adult dermatomyositis with calcinosis,ICD,Diseases of the nervous system
Adult dermatomyositis with overlap to nonorgan specific systemic autoimmune disorders,ICD,Diseases of the nervous system
Adult intestinal botulism,ICD,Diseases of the nervous system
Adult metachromatic leukodystrophy,ICD,Diseases of the nervous system
"Adult onset spinal muscular atrophy, Type IV",ICD,Diseases of the nervous system
Adult-onset autosomal dominant leukodystrophy,ICD,Diseases of the nervous system
Adult-onset dystonia-parkinsonism,ICD,Diseases of the nervous system
Adult-onset familial primary dystonia,ICD,Diseases of the nervous system
Adult-onset leukodystrophy with axonal spheroids,ICD,Diseases of the nervous system
Adult-onset nemaline myopathy,ICD,Diseases of the nervous system
Adult-onset sporadic primary dystonia,ICD,Diseases of the nervous system
Adult-onset tics,ICD,Diseases of the nervous system
Advanced Alzheimer disease,ICD,Diseases of the nervous system
Advanced sleep-wake phase disorder,ICD,Diseases of the nervous system
Adverse outcome following fetal skin biopsy,ICD,Diseases of the nervous system
Adynamia Episodica Hereditaria,MeSH,Neuromuscular Diseases
Adynamia Episodica Hereditaria with or without Myotonia,MeSH,Neuromuscular Diseases
Aesthesioneuroblastoma,MeSH,Cranial Nerve Diseases
Aesthesioneuroblastomas,MeSH,Cranial Nerve Diseases
Age-associated cognitive decline,ICD,Diseases of the nervous system
"Ageneses, Corpus Callosum",MeSH,Nervous System Malformations
Agenesis of Corpus Callosum,MeSH,Nervous System Malformations
Agenesis of Corpus Callosum with Chorioretinal Abnormality,MeSH,Nervous System Malformations
Agenesis of Corpus Callosum with Infantile Spasms and Ocular Abnormalities,MeSH,Nervous System Malformations
"Agenesis, Corpus Callosum",MeSH,Nervous System Malformations
Ageusia,MeSH,Neurologic Manifestations
Agitated Emergence,MeSH,Neurologic Manifestations
Agitated depression single episode without psychotic symptoms,ICD,Diseases of the nervous system
Agitation or aggression in dementia,ICD,Diseases of the nervous system
"Agitation, Emergence",MeSH,Neurologic Manifestations
"Agitation, Psychomotor",MeSH,Neurologic Manifestations
"Agitations, Emergence",MeSH,Neurologic Manifestations
Agnosia,MeSH|ICD,Diseases of the nervous system|Neurologic Manifestations
Agnosia for Face,MeSH,Neurologic Manifestations
Agnosia for Faces,MeSH,Neurologic Manifestations
"Agnosia, Facial Recognition",MeSH,Neurologic Manifestations
"Agnosia, Visual Verbal",MeSH,Neurologic Manifestations
Agnosias,MeSH,Neurologic Manifestations
"Agnosias, Facial Recognition",MeSH,Neurologic Manifestations
"Agnosias, Visual Verbal",MeSH,Neurologic Manifestations
Agoraphobia,ICD,Diseases of the nervous system
Agrammatism,ICD,Diseases of the nervous system
Agraphia,MeSH|ICD,Diseases of the nervous system|Neurologic Manifestations
"Agraphia, Alexia Without",MeSH,Neurologic Manifestations
Agraphias,MeSH,Neurologic Manifestations
"Agraphias, Alexia Without",MeSH,Neurologic Manifestations
Agyria Pachygyria Band Spectrum,MeSH,Nervous System Malformations
Agyria-Pachygyria-Band Spectrum,MeSH,Nervous System Malformations
Aicardi Syndrome,MeSH,Nervous System Malformations
Aicardi syndrome,ICD,Diseases of the nervous system
Aicardi's Syndrome,MeSH,Nervous System Malformations
"Air embolism following infusion, transfusion or therapeutic injection",ICD,Diseases of the nervous system
"Airocele, Cranial",MeSH,Central Nervous System Diseases
"Airoceles, Cranial",MeSH,Central Nervous System Diseases
Airocoele,ICD,Diseases of the nervous system
Akathisia,ICD,Diseases of the nervous system
Akathisia due to drugs,ICD,Diseases of the nervous system
Akathisia not related to drugs,ICD,Diseases of the nervous system
"Akathisia, Drug Induced",MeSH,Neurotoxicity Syndromes
"Akathisia, Drug-Induced",MeSH,Neurotoxicity Syndromes
Akinesia,ICD,Diseases of the nervous system
Akinetic Autism,MeSH,Central Nervous System Diseases
Akinetic Mutism,MeSH,Central Nervous System Diseases
Akinetic Mutisms,MeSH,Central Nervous System Diseases
Akinetic mutism,ICD,Diseases of the nervous system
Alalia,ICD,Diseases of the nervous system
"Alcohol Abuse, Nervous System",MeSH,Neurotoxicity Syndromes
Alcohol Amnestic Disorder,MeSH,Neurotoxicity Syndromes
Alcohol Amnestic Disorders,MeSH,Neurotoxicity Syndromes
Alcohol Amnestic Syndrome,MeSH,Neurotoxicity Syndromes
Alcohol Amnestic Syndromes,MeSH,Neurotoxicity Syndromes
Alcohol Induced Amnestic Psychosis,MeSH,Neurotoxicity Syndromes
Alcohol Induced Amnestic Syndrome,MeSH,Neurotoxicity Syndromes
"Alcohol Induced Disorders, Nervous System",MeSH,Neurotoxicity Syndromes
Alcohol Induced Dysmnesic Psychosis,MeSH,Neurotoxicity Syndromes
Alcohol Induced Dysmnesic Syndrome,MeSH,Neurotoxicity Syndromes
Alcohol Induced Korsakoff Syndrome,MeSH,Neurotoxicity Syndromes
Alcohol Induced Peripheral Neuropathy,MeSH,Neurotoxicity Syndromes
Alcohol Induced Persisting Amnestic Disorder,MeSH,Neurotoxicity Syndromes
Alcohol Induced Polyneuropathy,MeSH,Neurotoxicity Syndromes
Alcohol Related Autonomic Polyneuropathy,MeSH,Neurotoxicity Syndromes
Alcohol Related Polyneuropathy,MeSH,Neurotoxicity Syndromes
Alcohol Related Seizures,MeSH,Neurotoxicity Syndromes
Alcohol Withdrawal Delirium,MeSH,Neurotoxicity Syndromes
Alcohol Withdrawal Induced Delirium Tremens,MeSH,Neurotoxicity Syndromes
Alcohol Withdrawal Induced Seizure,MeSH,Neurotoxicity Syndromes
Alcohol Withdrawal Seizure,MeSH,Neurotoxicity Syndromes
Alcohol Withdrawal Seizures,MeSH,Neurotoxicity Syndromes
Alcohol Withdrawal-Induced Delirium Tremens,MeSH,Neurotoxicity Syndromes
Alcohol Withdrawal-Induced Seizure,MeSH,Neurotoxicity Syndromes
Alcohol Withdrawal-Induced Seizures,MeSH,Neurotoxicity Syndromes
Alcohol dependence,ICD,Diseases of the nervous system
"Alcohol dependence, current use, continuous",ICD,Diseases of the nervous system
"Alcohol dependence, current use, episodic",ICD,Diseases of the nervous system
"Alcohol dependence, early full remission",ICD,Diseases of the nervous system
"Alcohol dependence, sustained full remission",ICD,Diseases of the nervous system
"Alcohol dependence, sustained partial remission",ICD,Diseases of the nervous system
Alcohol intoxication,ICD,Diseases of the nervous system
Alcohol withdrawal,ICD,Diseases of the nervous system
Alcohol withdrawal with perceptual disturbances,ICD,Diseases of the nervous system
Alcohol withdrawal with perceptual disturbances and seizures,ICD,Diseases of the nervous system
