,nct_id,source,text,ner_manual_ct_target,ner_manual_ct_target_idx,ner_manual_ct_target_disease,ner_manual_ct_target_intervention
10,NCT00675155,OfficialTitle+BriefSummary,Phase 1 Study to Determine the Efficacy of Using Far Infrared Radiation for Stroke Rehabilitation | A stroke is a sudden loss of brain function. It is caused by the interruption of flow of blood to the brain (ischemic stroke) or the rupture of blood vessels in the brain (hemorrhagic stroke). This study will investigate the use of far infrared radiation for stroke rehabilitation.,"[(49, 71, 'RADIOTHERAPY', 'Far Infrared Radiation'), (76, 82, 'CONDITION', 'Stroke'), (102, 108, 'CONDITION', 'stroke'), (209, 224, 'CONDITION', 'ischemic stroke'), (272, 290, 'CONDITION', 'hemorrhagic stroke'), (332, 354, 'RADIOTHERAPY', 'far infrared radiation'), (359, 365, 'CONDITION', 'stroke')]","[(49, 71), (76, 82), (102, 108), (209, 224), (272, 290), (332, 354), (359, 365)]","[(76, 82, 'CONDITION'), (102, 108, 'CONDITION'), (209, 224, 'CONDITION'), (272, 290, 'CONDITION'), (359, 365, 'CONDITION')]","[(49, 71, 'RADIOTHERAPY'), (332, 354, 'RADIOTHERAPY')]"
11,NCT00772278,OfficialTitle+BriefSummary,"A Randomized Evaluation of Short Term and Long Term Outcome After Endovascular Repair by Stenting of Carotid Artery Stenosis in Patients With Severe (70% and Higher) Asymptomatic Carotid Stenosis | Purpose of this study:

Primary:

• Comparison of cardiovascular mortality and morbidity which includes cardiac and neurological morbidity (TIA and CVA) in the two invasive treatments of asymptomatic carotid artery stenosis

Secondary:

Comparison of non cardiovascular morbidity caused by the two invasive techniques

morbidity at the site of incision (infection or local hematoma)
damage to cranial nerves (hypoglossus, vagus)
brain hyperperfusion which is defined as severe headache which is not responsive to analgesics with or without nausea and vomiting.
events of bradycardia within the first 24 hours, clinically evident and/or silent
microembolic brain events immediately after the procedure and their relationship with morbidity and/or mortality due to TIA's or CVA's
the change in the stenotic carotid artery at the time of follow up with duplex of neck arteries
the comparison of the affect of the two procedures on patient life style","[(66, 97, 'SURGICAL', 'Endovascular Repair by Stenting'), (101, 124, 'CONDITION', 'Carotid Artery Stenosis'), (142, 195, 'CONDITION', 'Severe (70% and Higher) Asymptomatic Carotid Stenosis'), (385, 421, 'CONDITION', 'asymptomatic carotid artery stenosis')]","[(66, 97), (101, 124), (142, 195), (385, 421)]","[(101, 124, 'CONDITION'), (142, 195, 'CONDITION'), (385, 421, 'CONDITION')]","[(66, 97, 'SURGICAL')]"
12,NCT00780806,OfficialTitle+BriefSummary,An Open-Label Safety And Blood Collection Study In Mnb Rlp2086 Vaccinated Healthy Adult Volunteers For Immunological Assay Development | The purpose of this study is to evaluate the safety of an investigational meningococcal B rLP2086 vaccine in adults and to obtain blood samples from immunized subjects for use in assay development.,"[(51, 62, 'DRUG', 'Mnb Rlp2086'), (211, 242, 'DRUG', 'meningococcal B rLP2086 vaccine')]","[(51, 62), (211, 242)]",[],"[(51, 62, 'DRUG'), (211, 242, 'DRUG')]"
13,NCT00817128,OfficialTitle+BriefSummary,"Pain Exposure Physical Therapy Or Conservative Therapy for Patients With Complex Regional Pain Syndrome Type I | The current Dutch CBO guideline treatment of Complex Regional Pain Syndrome Type I (CRPS-1) is very disappointing with chronification, disability and subsequent high medical costs and personal suffering. A possible better treatment is intensive function-oriented physical therapy or Pain Exposure in Physical Therapy (PEPT). However, there are no adequate studies performed that demonstrate the efficacy of PEPT and therefore PEPT is lacking in the Dutch CBO CRPS-1 guidelines. Despite a lacking scientific argumentation, the PEPT approach or Macedonian therapy, is now being adopted on a large scale among physical therapists in The Netherlands. There are two level C retrospective cohort studies demonstrating a promising and clinical relevant beneficial effect on pain and function after PEPT. In response to the growing demand for scientific argumentation among doctors and physical therapists with respect to the efficacy of PEPT, we conducted a pilot study at the UMC St Radboud Nijmegen. The results of this pilot study were very promising and therefore, we decided to design a large RCT to investigate the treatment effects and costs in CRPS patients treated with PEPT compared to CRPS patients treated with usual therapy according to the Dutch CBO guidelines.","[(0, 30, 'PHYSICAL', 'Pain Exposure Physical Therapy'), (34, 54, 'CONTROL', 'Conservative Therapy'), (73, 110, 'CONDITION', 'Complex Regional Pain Syndrome Type I'), (158, 195, 'CONDITION', 'Complex Regional Pain Syndrome Type I'), (197, 203, 'CONDITION', 'CRPS-1'), (348, 392, 'PHYSICAL', 'intensive function-oriented physical therapy'), (396, 429, 'PHYSICAL', 'Pain Exposure in Physical Therapy'), (431, 435, 'PHYSICAL', 'PEPT'), (520, 524, 'PHYSICAL', 'PEPT'), (539, 543, 'PHYSICAL', 'PEPT'), (572, 578, 'CONDITION', 'CRPS-1'), (639, 643, 'PHYSICAL', 'PEPT'), (656, 674, 'PHYSICAL', 'Macedonian therapy'), (880, 884, 'CONDITION', 'pain'), (904, 908, 'PHYSICAL', 'PEPT'), (1043, 1047, 'PHYSICAL', 'PEPT'), (1258, 1262, 'CONDITION', 'CRPS'), (1285, 1289, 'PHYSICAL', 'PEPT'), (1302, 1306, 'CONDITION', 'CRPS'), (1329, 1342, 'CONTROL', 'usual therapy')]","[(0, 30), (34, 54), (73, 110), (158, 195), (197, 203), (348, 392), (396, 429), (431, 435), (520, 524), (539, 543), (572, 578), (639, 643), (656, 674), (880, 884), (904, 908), (1043, 1047), (1258, 1262), (1285, 1289), (1302, 1306), (1329, 1342)]","[(73, 110, 'CONDITION'), (158, 195, 'CONDITION'), (197, 203, 'CONDITION'), (572, 578, 'CONDITION'), (880, 884, 'CONDITION'), (1258, 1262, 'CONDITION'), (1302, 1306, 'CONDITION')]","[(0, 30, 'PHYSICAL'), (34, 54, 'CONTROL'), (348, 392, 'PHYSICAL'), (396, 429, 'PHYSICAL'), (431, 435, 'PHYSICAL'), (520, 524, 'PHYSICAL'), (539, 543, 'PHYSICAL'), (639, 643, 'PHYSICAL'), (656, 674, 'PHYSICAL'), (904, 908, 'PHYSICAL'), (1043, 1047, 'PHYSICAL'), (1285, 1289, 'PHYSICAL'), (1329, 1342, 'CONTROL')]"
14,NCT00895960,OfficialTitle+BriefSummary,"Phase I/II Trial of Dasatinib (Sprycel) With Radiation Therapy and Concomitant and Adjuvant Temozolomide in Patients With Newly-Diagnosed Glioblastoma | Phase I:

Primary Objectives:

-To define the maximum tolerated dose (MTD) of dasatinib (Sprycel) with radiotherapy (RT) and 6 weeks of concomitant temozolomide (TMZ) administered at 75 mg/m^2/day in patients with newly-diagnosed glioblastoma (GBM).

Secondary Objectives:

To characterize the safety profile of dasatinib (Sprycel) in combination with radiotherapy (RT) and concomitant TMZ in patients with newly-diagnosed GBM.
To characterize the safety profile of dasatinib (Sprycel) in combination with adjuvant TMZ in patients with glioblastoma after RT.

STUDY DID NOT PROGRESS TO PHASE II PORTION.

Phase II:

Primary Objectives:

-To determine the effectiveness of dasatinib (Sprycel) with radiotherapy (RT) and 6 weeks of concomitant temozolomide (TMZ) administered at 75 mg/m^2/day followed by adjuvant temozolomide with concurrent dasatinib in patients with newly-diagnosed glioblastoma (GBM) as measured by overall survival.

Secondary Objectives:

To determine the efficacy of this treatment as measured by radiographic response (RR), progression-free survival (PFS) and time to progression (TTP).
To characterize the safety profile of dasatinib (Sprycel) in combination with RT and concomitant TMZ in patients with newly-diagnosed GBM.
To characterize the safety profile of dasatinib (Sprycel) in combination with adjuvant TMZ in patients with GBM after RT.

Exploratory Objectives:

-To correlate tumor genotype, tumor expression of dasatinib target proteins (e.g. Src, EphA2, c-kit and PDGFR), and PTEN levels with response to therapy with dasatinib and temozolomide.","[(20, 29, 'DRUG', 'Dasatinib'), (31, 38, 'DRUG', 'Sprycel'), (45, 62, 'RADIOTHERAPY', 'Radiation Therapy'), (92, 104, 'DRUG', 'Temozolomide'), (122, 150, 'CONDITION', 'Newly-Diagnosed Glioblastoma'), (231, 240, 'DRUG', 'dasatinib'), (242, 249, 'DRUG', 'Sprycel'), (256, 268, 'RADIOTHERAPY', 'radiotherapy'), (270, 272, 'RADIOTHERAPY', 'RT'), (301, 313, 'DRUG', 'temozolomide'), (315, 318, 'DRUG', 'TMZ'), (367, 395, 'CONDITION', 'newly-diagnosed glioblastoma'), (397, 400, 'CONDITION', 'GBM'), (465, 474, 'DRUG', 'dasatinib'), (476, 483, 'DRUG', 'Sprycel'), (505, 517, 'RADIOTHERAPY', 'radiotherapy'), (519, 521, 'RADIOTHERAPY', 'RT'), (539, 542, 'DRUG', 'TMZ'), (560, 579, 'CONDITION', 'newly-diagnosed GBM'), (619, 628, 'DRUG', 'dasatinib'), (630, 637, 'DRUG', 'Sprycel'), (668, 671, 'DRUG', 'TMZ'), (689, 701, 'CONDITION', 'glioblastoma'), (708, 710, 'RADIOTHERAPY', 'RT'), (825, 834, 'DRUG', 'dasatinib'), (836, 843, 'DRUG', 'Sprycel'), (850, 862, 'RADIOTHERAPY', 'radiotherapy'), (864, 866, 'RADIOTHERAPY', 'RT'), (895, 907, 'DRUG', 'temozolomide'), (909, 912, 'DRUG', 'TMZ'), (965, 977, 'DRUG', 'temozolomide'), (994, 1003, 'DRUG', 'dasatinib'), (1021, 1049, 'CONDITION', 'newly-diagnosed glioblastoma'), (1051, 1054, 'CONDITION', 'GBM'), (1301, 1310, 'DRUG', 'dasatinib'), (1312, 1319, 'DRUG', 'Sprycel'), (1341, 1343, 'RADIOTHERAPY', 'RT'), (1360, 1363, 'DRUG', 'TMZ'), (1381, 1400, 'CONDITION', 'newly-diagnosed GBM'), (1440, 1449, 'DRUG', 'dasatinib'), (1451, 1458, 'DRUG', 'Sprycel'), (1489, 1492, 'DRUG', 'TMZ'), (1510, 1513, 'CONDITION', 'GBM'), (1520, 1522, 'RADIOTHERAPY', 'RT'), (1564, 1569, 'CONDITION', 'tumor'), (1580, 1585, 'CONDITION', 'tumor'), (1600, 1609, 'DRUG', 'dasatinib'), (1708, 1717, 'DRUG', 'dasatinib'), (1722, 1734, 'DRUG', 'temozolomide')]","[(20, 29), (31, 38), (45, 62), (92, 104), (122, 150), (231, 240), (242, 249), (256, 268), (270, 272), (301, 313), (315, 318), (367, 395), (397, 400), (465, 474), (476, 483), (505, 517), (519, 521), (539, 542), (560, 579), (619, 628), (630, 637), (668, 671), (689, 701), (708, 710), (825, 834), (836, 843), (850, 862), (864, 866), (895, 907), (909, 912), (965, 977), (994, 1003), (1021, 1049), (1051, 1054), (1301, 1310), (1312, 1319), (1341, 1343), (1360, 1363), (1381, 1400), (1440, 1449), (1451, 1458), (1489, 1492), (1510, 1513), (1520, 1522), (1564, 1569), (1580, 1585), (1600, 1609), (1708, 1717), (1722, 1734)]","[(122, 150, 'CONDITION'), (367, 395, 'CONDITION'), (397, 400, 'CONDITION'), (560, 579, 'CONDITION'), (689, 701, 'CONDITION'), (1021, 1049, 'CONDITION'), (1051, 1054, 'CONDITION'), (1381, 1400, 'CONDITION'), (1510, 1513, 'CONDITION'), (1564, 1569, 'CONDITION'), (1580, 1585, 'CONDITION')]","[(20, 29, 'DRUG'), (31, 38, 'DRUG'), (45, 62, 'RADIOTHERAPY'), (92, 104, 'DRUG'), (231, 240, 'DRUG'), (242, 249, 'DRUG'), (256, 268, 'RADIOTHERAPY'), (270, 272, 'RADIOTHERAPY'), (301, 313, 'DRUG'), (315, 318, 'DRUG'), (465, 474, 'DRUG'), (476, 483, 'DRUG'), (505, 517, 'RADIOTHERAPY'), (519, 521, 'RADIOTHERAPY'), (539, 542, 'DRUG'), (619, 628, 'DRUG'), (630, 637, 'DRUG'), (668, 671, 'DRUG'), (708, 710, 'RADIOTHERAPY'), (825, 834, 'DRUG'), (836, 843, 'DRUG'), (850, 862, 'RADIOTHERAPY'), (864, 866, 'RADIOTHERAPY'), (895, 907, 'DRUG'), (909, 912, 'DRUG'), (965, 977, 'DRUG'), (994, 1003, 'DRUG'), (1301, 1310, 'DRUG'), (1312, 1319, 'DRUG'), (1341, 1343, 'RADIOTHERAPY'), (1360, 1363, 'DRUG'), (1440, 1449, 'DRUG'), (1451, 1458, 'DRUG'), (1489, 1492, 'DRUG'), (1520, 1522, 'RADIOTHERAPY'), (1600, 1609, 'DRUG'), (1708, 1717, 'DRUG'), (1722, 1734, 'DRUG')]"
15,NCT01000350,OfficialTitle+BriefSummary,Intravenous Saline on Exercise Tolerance in Orthostatic Intolerance | The investigators will test whether an intravenous infusion of saline (salt water) will improve the exercise capacity in patients with postural tachycardia syndrome (POTS).,"[(12, 18, 'DRUG', 'Saline'), (44, 67, 'CONDITION', 'Orthostatic Intolerance'), (133, 139, 'DRUG', 'saline'), (141, 151, 'DRUG', 'salt water'), (205, 234, 'CONDITION', 'postural tachycardia syndrome'), (236, 240, 'CONDITION', 'POTS')]","[(12, 18), (44, 67), (133, 139), (141, 151), (205, 234), (236, 240)]","[(44, 67, 'CONDITION'), (205, 234, 'CONDITION'), (236, 240, 'CONDITION')]","[(12, 18, 'DRUG'), (133, 139, 'DRUG'), (141, 151, 'DRUG')]"
16,NCT01168466,OfficialTitle+BriefSummary,"Pilot Study of EEG and Cerebral Blood Flow Biofeedback Training in Remediating Cognitive and Behavioral Deficits in Adults With a Dementing Illness. | This study measures whether the symptoms of frontotemporal dementia (FTD) can be successfully treated by (a) biofeedback training to increase brain blood flow, (b) biofeedback to increase the frequency of the brain's dominant brainwave rhythm, and (c) rhythmic stimulation to increase the brain's dominant brainwave frequency.","[(23, 63, 'OTHER', 'Cerebral Blood Flow Biofeedback Training'), (79, 112, 'CONDITION', 'Cognitive and Behavioral Deficits'), (130, 139, 'CONDITION', 'Dementing'), (195, 218, 'CONDITION', 'frontotemporal dementia'), (220, 223, 'CONDITION', 'FTD'), (260, 280, 'OTHER', 'biofeedback training'), (315, 326, 'OTHER', 'biofeedback'), (403, 423, 'OTHER', 'rhythmic stimulation')]","[(23, 63), (79, 112), (130, 139), (195, 218), (220, 223), (260, 280), (315, 326), (403, 423)]","[(79, 112, 'CONDITION'), (130, 139, 'CONDITION'), (195, 218, 'CONDITION'), (220, 223, 'CONDITION')]","[(23, 63, 'OTHER'), (260, 280, 'OTHER'), (315, 326, 'OTHER'), (403, 423, 'OTHER')]"
17,NCT01546467,OfficialTitle+BriefSummary,"Cognitive Remediation in Early Phase Psychosis | The purpose of the study is to investigate the effect of a 30 hour cognitive remediation program for young patients with early phase schizophrenia spectrum disorders on cognitive, clinical and functional outcome measures. The remediation program is integrated with whatever active rehabilitation the participant is currently attending (school, work, day program etc).","[(0, 21, 'BEHAVIOURAL', 'Cognitive Remediation'), (25, 46, 'CONDITION', 'Early Phase Psychosis'), (116, 145, 'BEHAVIOURAL', 'cognitive remediation program'), (170, 214, 'CONDITION', 'early phase schizophrenia spectrum disorders'), (275, 294, 'BEHAVIOURAL', 'remediation program')]","[(0, 21), (25, 46), (116, 145), (170, 214), (275, 294)]","[(25, 46, 'CONDITION'), (170, 214, 'CONDITION')]","[(0, 21, 'BEHAVIOURAL'), (116, 145, 'BEHAVIOURAL'), (275, 294, 'BEHAVIOURAL')]"
18,NCT01608516,OfficialTitle+BriefSummary,"Multimodal Assessment of the Inflammatory Atheromatous Plaque : Comparison Between 68Ga-NODAGA-RGD PET/CT, 18F-FDG PET/CT, MRI AND US | The present study aims at assessing the ability of 68Ga-NODAGA-RGD PET/CT for the detection of inflammatory atheromatous plaques in the carotid arteries, compared to 18F-FDG PET/CT, MRI and US and to determine the contribution of each imaging technique. Current gold standard for inflammation is histopathology.

Hypothesis : 68Ga-NODAGA-RGD might give a better initial evaluation of patients with atheromatous plaques in the carotid artery eligible for endarterectomy.","[(29, 61, 'CONDITION', 'Inflammatory Atheromatous Plaque'), (231, 264, 'CONDITION', 'inflammatory atheromatous plaques'), (534, 554, 'CONDITION', 'atheromatous plaques')]","[(29, 61), (231, 264), (534, 554)]","[(29, 61, 'CONDITION'), (231, 264, 'CONDITION'), (534, 554, 'CONDITION')]",[]
19,NCT01826058,OfficialTitle+BriefSummary,"Spine Stereotactic Body Radiation Therapy for Metastatic Epidural Spinal Cord: Prospective Phase II Study | Metastatic epidural spinal cord compression (MESCC) is a frequent oncologic emergency that requires to be treated promptly. Although direct decompressive surgery is the most effective treatment, surgery is only used in selected patients because most patients have a poor overall condition and short life expectancy. Radiation therapy (RT), therefore, is the most commonly used for patients with MESCC, but conventional RT alone can achieve modest neurologic outcomes.

The hypothesis to use stereotactic body radiation therapy (SBRT) for MESCC is that the rapid decompression of epidural mass, durable local control and subsequently improved neurologic outcomes compared to conventional RT are expected when MESCC is treated with SBRT.","[(0, 41, 'RADIOTHERAPY', 'Spine Stereotactic Body Radiation Therapy'), (46, 77, 'CONDITION', 'Metastatic Epidural Spinal Cord'), (108, 151, 'CONDITION', 'Metastatic epidural spinal cord compression'), (153, 158, 'CONDITION', 'MESCC'), (424, 441, 'RADIOTHERAPY', 'Radiation therapy'), (443, 445, 'RADIOTHERAPY', 'RT'), (503, 508, 'CONDITION', 'MESCC'), (514, 535, 'CONTROL', 'conventional RT alone'), (599, 634, 'RADIOTHERAPY', 'stereotactic body radiation therapy'), (636, 640, 'RADIOTHERAPY', 'SBRT'), (646, 651, 'CONDITION', 'MESCC'), (782, 797, 'CONTROL', 'conventional RT'), (816, 821, 'CONDITION', 'MESCC'), (838, 842, 'RADIOTHERAPY', 'SBRT')]","[(0, 41), (46, 77), (108, 151), (153, 158), (424, 441), (443, 445), (503, 508), (514, 535), (599, 634), (636, 640), (646, 651), (782, 797), (816, 821), (838, 842)]","[(46, 77, 'CONDITION'), (108, 151, 'CONDITION'), (153, 158, 'CONDITION'), (503, 508, 'CONDITION'), (646, 651, 'CONDITION'), (816, 821, 'CONDITION')]","[(0, 41, 'RADIOTHERAPY'), (424, 441, 'RADIOTHERAPY'), (443, 445, 'RADIOTHERAPY'), (514, 535, 'CONTROL'), (599, 634, 'RADIOTHERAPY'), (636, 640, 'RADIOTHERAPY'), (782, 797, 'CONTROL'), (838, 842, 'RADIOTHERAPY')]"
20,NCT02066558,OfficialTitle+BriefSummary,Basic Research on Carbon Monoxide's Headache Inducing Characteristics and Effects on the Cerebral Arteries and Blood Flow in a Humane Experimental Headache Model | In this study the investigators will research the hypothesis that the gas carbon monoxide induces headache and increases the blood flow velocity in the middle cerebral artery.,"[(18, 44, 'CONDITION', ""Carbon Monoxide's Headache""), (147, 155, 'CONDITION', 'Headache'), (262, 270, 'CONDITION', 'headache')]","[(18, 44), (147, 155), (262, 270)]","[(18, 44, 'CONDITION'), (147, 155, 'CONDITION'), (262, 270, 'CONDITION')]",[]
21,NCT02180867,OfficialTitle+BriefSummary,"Pazopanib Neoadjuvant Trial in Non-Rhabdomyosarcoma Soft Tissue Sarcomas (PAZNTIS): A Phase II/III Randomized Trial of Preoperative Chemoradiation or Preoperative Radiation Plus or Minus Pazopanib (NSC# 737754) | This randomized phase II/III trial studies how well pazopanib, when combined with chemotherapy and radiation therapy or radiation therapy alone, work in the treatment of patients with newly diagnosed non-rhabdomyosarcoma soft tissue sarcomas that can eventually be removed by surgery. Radiation therapy uses high energy x-rays to kill tumor cells. Drugs used in chemotherapy, such as ifosfamide and doxorubicin, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Pazopanib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. It is not yet known whether these therapies can be safely combined and if they work better when given together in treating patients with non-rhabdomyosarcoma soft tissue sarcomas.","[(0, 9, 'DRUG', 'Pazopanib'), (31, 72, 'CONDITION', 'Non-Rhabdomyosarcoma Soft Tissue Sarcomas'), (132, 146, 'OTHER', 'Chemoradiation'), (163, 172, 'RADIOTHERAPY', 'Radiation'), (187, 196, 'DRUG', 'Pazopanib'), (198, 209, 'DRUG', 'NSC# 737754'), (265, 274, 'DRUG', 'pazopanib'), (295, 307, 'OTHER', 'chemotherapy'), (312, 329, 'RADIOTHERAPY', 'radiation therapy'), (333, 356, 'CONTROL', 'radiation therapy alone'), (413, 454, 'CONDITION', 'non-rhabdomyosarcoma soft tissue sarcomas'), (498, 515, 'RADIOTHERAPY', 'Radiation therapy'), (548, 553, 'CONDITION', 'tumor'), (670, 675, 'CONDITION', 'tumor'), (780, 789, 'DRUG', 'Pazopanib'), (813, 818, 'CONDITION', 'tumor'), (1018, 1059, 'CONDITION', 'non-rhabdomyosarcoma soft tissue sarcomas')]","[(0, 9), (31, 72), (132, 146), (163, 172), (187, 196), (198, 209), (265, 274), (295, 307), (312, 329), (333, 356), (413, 454), (498, 515), (548, 553), (670, 675), (780, 789), (813, 818), (1018, 1059)]","[(31, 72, 'CONDITION'), (413, 454, 'CONDITION'), (548, 553, 'CONDITION'), (670, 675, 'CONDITION'), (813, 818, 'CONDITION'), (1018, 1059, 'CONDITION')]","[(0, 9, 'DRUG'), (132, 146, 'OTHER'), (163, 172, 'RADIOTHERAPY'), (187, 196, 'DRUG'), (198, 209, 'DRUG'), (265, 274, 'DRUG'), (295, 307, 'OTHER'), (312, 329, 'RADIOTHERAPY'), (333, 356, 'CONTROL'), (498, 515, 'RADIOTHERAPY'), (780, 789, 'DRUG')]"
22,NCT02249572,OfficialTitle+BriefSummary,"Vestibular Schwannoma - Radiosurgery or Expectation | The purpose of this study is to compare the outcome of patients with vestibular schwannomas in two groups of randomised to either radiosurgery or expectation.

The optimal treatment for a small vestibular schwannoma is a matter of controversy and there are no class 1 studies investigating this. Even the natural tumor growth rate remains controversial and is reported to be from near 100% of cases showing growth to 40-60% in various reports. The clinical results of various treatment strategies are documented, but comparative studies are very few. Immediate radiosurgery or wait-and scan with subsequent treatment upon growth are two strategies that have both been used in many different centers. There are only two studies comparing these treatment modalities .These studies indicate significant effect of GKRS in reducing tumor growth, with less differences in hearing and complaint outcomes. None of the studies are blinded or randomised, allowing for bias.

The present study aims at comparing the two modalities above. To achieve this, we intend to randomise patients with newly diagnosed VS to either of Wait-and Scan or immediate radiosurgery.

The primary study endpoint is the relative tumor size measured as the ratio between tumor volume at four years compared with volume at inclusion. Secondary endpoints include symptom and sign development measured by clinical examination and by patient's responses to standardised validated questionnaires. In addition, the health economics involved with both strategies will be evaluated and compared, as well as the patient's working status.

Patients will be asked to participate if their VS is diagnosed within the last six months, their age is between 18 and 70, and pending there are no exclusion criteria (see below). A power analysis indicates that about 50 patients per group is sufficient.

In case of failure to recruit patients, we will change the design to a study based on patient's own choice of treatment.

The study will be announced according to international guidelines. A steering committee will monitor the study and an intermediate analysis will be performed when the study group has been followed for two years. If the effect aim is already observed, the study should nonetheless continue, as it is too early to evaluate the results after such a short time course.

It will also be discussed to do a follow-up of all patients ten years after inclusion.","[(0, 21, 'CONDITION', 'Vestibular Schwannoma'), (24, 36, 'RADIOTHERAPY', 'Radiosurgery'), (123, 145, 'CONDITION', 'vestibular schwannomas'), (184, 196, 'RADIOTHERAPY', 'radiosurgery'), (248, 269, 'CONDITION', 'vestibular schwannoma'), (367, 372, 'CONDITION', 'tumor'), (615, 627, 'RADIOTHERAPY', 'radiosurgery'), (864, 868, 'RADIOTHERAPY', 'GKRS'), (881, 886, 'CONDITION', 'tumor'), (1135, 1153, 'CONDITION', 'newly diagnosed VS'), (1194, 1206, 'RADIOTHERAPY', 'radiosurgery'), (1252, 1257, 'CONDITION', 'tumor'), (1293, 1298, 'CONDITION', 'tumor'), (1699, 1701, 'CONDITION', 'VS')]","[(0, 21), (24, 36), (123, 145), (184, 196), (248, 269), (367, 372), (615, 627), (864, 868), (881, 886), (1135, 1153), (1194, 1206), (1252, 1257), (1293, 1298), (1699, 1701)]","[(0, 21, 'CONDITION'), (123, 145, 'CONDITION'), (248, 269, 'CONDITION'), (367, 372, 'CONDITION'), (881, 886, 'CONDITION'), (1135, 1153, 'CONDITION'), (1252, 1257, 'CONDITION'), (1293, 1298, 'CONDITION'), (1699, 1701, 'CONDITION')]","[(24, 36, 'RADIOTHERAPY'), (184, 196, 'RADIOTHERAPY'), (615, 627, 'RADIOTHERAPY'), (864, 868, 'RADIOTHERAPY'), (1194, 1206, 'RADIOTHERAPY')]"
23,NCT02255929,OfficialTitle+BriefSummary,Gamma Knife Thalamotomy for Treatment of Essential Tremor | The purpose of this study is to examine effects (good and bad) of gamma knife radiosurgery for essential tremor. The gamma knife places a small lesion in the brain to suppress tremors.,"[(0, 23, 'RADIOTHERAPY', 'Gamma Knife Thalamotomy'), (41, 57, 'CONDITION', 'Essential Tremor'), (126, 150, 'RADIOTHERAPY', 'gamma knife radiosurgery'), (155, 171, 'CONDITION', 'essential tremor'), (177, 188, 'RADIOTHERAPY', 'gamma knife'), (236, 243, 'CONDITION', 'tremors')]","[(0, 23), (41, 57), (126, 150), (155, 171), (177, 188), (236, 243)]","[(41, 57, 'CONDITION'), (155, 171, 'CONDITION'), (236, 243, 'CONDITION')]","[(0, 23, 'RADIOTHERAPY'), (126, 150, 'RADIOTHERAPY'), (177, 188, 'RADIOTHERAPY')]"
